"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Albin Berglund, Linus Berglund","Elofssonhallen",1,5,"Sandåkerns SK",1
"2",2,"Albin Berglund, Linus Berglund","Elofssonhallen",1,5,"Röbäcks IF",1
"3",3,"Albin Berglund, Linus Berglund","Storsjöhallen",1,5,"Holmsund City IBC",1
"4",4,"Albin Berglund, Linus Berglund","Storsjöhallen",1,5,"Gimonäs Umeå IF",1
"5",5,"Albin Berglund, Linus Berglund","Sävaråhallen",2,5,"Sävar IK",1
"6",6,"Albin Berglund, Linus Berglund","Sävaråhallen",2,5,"IBF Dalen",1
"7",7,"Albin Berglund, Linus Berglund","Sävaråhallen",2,5,"Ersboda SK",1
"8",8,"Albin Berglund, Linus Berglund","Sävaråhallen",2,5,"Sävar IK",1
"9",9,"Albin Berglund, Linus Berglund","Vildmannahallen",1,5,"Sandåkerns SK",1
"10",10,"Albin Berglund, Linus Berglund","Vildmannahallen",1,5,"IBF Dalen",1
"11",11,"Albin Lycksell, Anton Sundström","Balderhallen B",1,1,"Rönnskär Railcare IF ",1
"12",12,"Albin Lycksell, Anton Sundström","Balderhallen B",1,1,"Skellefteå IBS ",1
"13",13,"Alexandra Nimrodsson, Hanna Wendén","Elofssonhallen",1,6,"Röbäcks IF",1
"14",14,"Alexandra Nimrodsson, Hanna Wendén","Elofssonhallen",1,6,"Obbola IK",1
"15",15,"Alexandra Nimrodsson, Hanna Wendén","Midgårdshallen",2,6,"Umeå City IBF",1
"16",16,"Alexandra Nimrodsson, Hanna Wendén","Midgårdshallen",2,6,"IBF Dalen",1
"17",17,"Alexandra Nimrodsson, Hanna Wendén","Midgårdshallen",2,6,"Umeå City IBF",1
"18",18,"Alexandra Nimrodsson, Hanna Wendén","Midgårdshallen",2,6,"Täfteå IK",1
"19",19,"Alexandra Nimrodsson, Hanna Wendén","Sporthallen Musköten",1,6,"IBF Dalen",1
"20",20,"Alexandra Nimrodsson, Hanna Wendén","Sporthallen Musköten",1,6,"Holmsund City IBC",1
"21",21,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,6,"Holmsund City IBC",1
"22",22,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,6,"IBF Dalen",1
"23",23,"Alexandra Nimrodsson, Hanna Wendén","Sävaråhallen",1,6,"Umeå City IBF",1
"24",24,"Alexandra Nimrodsson, Hanna Wendén","Sävaråhallen",1,6,"Sävar IK",1
"25",25,"Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Hissjö SK",1
"26",26,"Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Obbola IK",1
"27",27,"Alva Forss, Agnes Persson","Vildmannahallen",1,1,"Umeå City IBF",1
"28",28,"Alva Forss, Agnes Persson","Vildmannahallen",1,1,"IBF Dalen",1
"29",29,"Alva Forss, Lina Näsström","Ersängshallen",2,2,"Täfteå IK",1
"30",30,"Alva Forss, Lina Näsström","Ersängshallen",2,2,"Holmsund City IBC",1
"31",31,"Alva Forss, Lina Näsström","Ersängshallen",2,2,"Ersmarks IK",2
"32",32,"Alvin Gustavsson","Lejonströmshallen",1,1,"Kågedalens AIF ",1
"33",33,"Alvin Gustavsson","Lejonströmshallen",1,1,"Gamla Stan IBK ",1
"34",34,"Alvin Gustavsson, Elias Norden","Balderhallen A",3,3,"Skellefteå IBK ",1
"35",35,"Alvin Gustavsson, Elias Norden","Balderhallen A",3,3,"Kågedalens AIF ",1
"36",36,"Alvin Gustavsson, Elias Norden","Balderhallen A",3,3,"Skellefteå IBK ",2
"37",37,"Alvin Gustavsson, Elias Norden","Balderhallen A",3,3,"Kågedalens AIF ",2
"38",38,"Alvin Gustavsson, Micael Holmbom","Balderhallen B",2,2,"Gamla Stan IBK ",1
"39",39,"Alvin Gustavsson, Micael Holmbom","Balderhallen B",2,2,"Skellefteå IBS ",1
"40",40,"Alvin Gustavsson, Micael Holmbom","Balderhallen B",2,2,"Skellefteå IBK ",1
"41",41,"Alvin Gustavsson, Micael Holmbom","Balderhallen B",2,2,"Bureå IF ",1
"42",42,"Alvina Mukkala","Ersängshallen",1,1,"Umeå City IBF",1
"43",43,"Alvina Mukkala","Ersängshallen",1,1,"Ersboda SK",1
"44",44,"Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Röbäcks IF",1
"45",45,"Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Obbola IK",1
"46",46,"Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",1,1,"Team Thorengruppen SK",1
"47",47,"Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
