"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson","Bräntbergsskolan",3,5,"Gimonäs Umeå IF",1
"2",2,"Adam Andersson","Bräntbergsskolan",3,5,"Holmsund City IBC",2
"3",3,"Adam Andersson","Bräntbergsskolan",3,5,"Sandåkerns SK",1
"4",4,"Adam Andersson","Bräntbergsskolan",3,5,"Ersboda SK",1
"5",5,"Adam Andersson","Bräntbergsskolan",3,5,"Gimonäs Umeå IF",1
"6",6,"Adam Andersson","Sävaråhallen",2,5,"Holmsund City IBC",1
"7",7,"Adam Andersson","Sävaråhallen",2,5,"Sävar IK",1
"8",8,"Adam Andersson","Sävaråhallen",2,5,"Gimonäs Umeå IF",1
"9",9,"Adam Andersson","Sävaråhallen",2,5,"Sävar IK",1
"10",10,"Agnes Persson","Midgårdshallen",1,5,"Täfteå IK",1
"11",11,"Agnes Persson","Midgårdshallen",1,5,"Sävar IK",1
"12",12,"Agnes Persson","Vildmannahallen",4,5,"Sävar IK",2
"13",13,"Agnes Persson","Vildmannahallen",4,5,"Gimonäs Umeå IF",1
"14",14,"Agnes Persson","Vildmannahallen",4,5,"Hissjö SK",1
"15",15,"Agnes Persson","Vildmannahallen",4,5,"IBF Dalen",2
"16",16,"Agnes Persson","Vildmannahallen",4,5,"Sandåkerns SK",2
"17",17,"Albin Lycksell","Balderhallen A",3,10,"Kågedalens AIF",1
"18",18,"Albin Lycksell","Balderhallen A",3,10,"Skellefteå IBK",1
"19",19,"Albin Lycksell","Balderhallen A",3,10,"Rönnskär Railcare IF",2
"20",20,"Albin Lycksell","Balderhallen A",3,10,"Byske IF",1
"21",21,"Albin Lycksell","Balderhallen A",3,10,"Skellefteå IBS",1
"22",22,"Albin Lycksell","Campushallen",7,10,"Skellefteå IBS",1
"23",23,"Albin Lycksell","Campushallen",7,10,"Kågedalens AIF",1
"24",24,"Albin Lycksell","Campushallen",7,10,"Clemensnäs IF",1
"25",25,"Albin Lycksell","Campushallen",7,10,"Skellefteå IBK",1
"26",26,"Albin Lycksell","Campushallen",7,10,"Gamla Stan IBK",1
"27",27,"Albin Lycksell","Campushallen",7,10,"Byske IF",1
"28",28,"Albin Lycksell","Campushallen",7,10,"Rönnskär Railcare IF",1
"29",29,"Albin Lycksell","Campushallen",7,10,"Rönnskär Railcare IF",2
"30",30,"Albin Lycksell","Campushallen",7,10,"Kågedalens AIF",1
"31",31,"Albin Lycksell","Campushallen",7,10,"Kågedalens AIF",1
"32",32,"Albin Lycksell","Campushallen",7,10,"Skellefteå IBK",1
"33",33,"Albin Lycksell","Campushallen",7,10,"Skellefteå IBK",2
"34",34,"Alex Levander","Örjanshallen",12,12,"Skellefteå IBS",2
"35",35,"Alex Levander","Örjanshallen",12,12,"Rönnskär Railcare IF",1
"36",36,"Alex Levander","Örjanshallen",12,12,"Kågedalens AIF",1
"37",37,"Alex Levander","Örjanshallen",12,12,"Clemensnäs IF",3
"38",38,"Alex Levander","Örjanshallen",12,12,"Skellefteå IBK",1
"39",39,"Alex Levander","Örjanshallen",12,12,"Rönnskär Railcare IF",1
"40",40,"Alex Levander","Örjanshallen",12,12,"Rönnskär Railcare IF",4
"41",41,"Alex Levander","Örjanshallen",12,12,"Skellefteå IBK",1
"42",42,"Alex Levander","Örjanshallen",12,12,"Kågedalens AIF",2
"43",43,"Alex Levander","Örjanshallen",12,12,"Gamla Stan IBK",3
"44",44,"Alex Levander","Örjanshallen",12,12,"Clemensnäs IF",1
"45",45,"Alex Levander","Örjanshallen",12,12,"Byske IF",1
"46",46,"Alex Levander","Örjanshallen",12,12,"Boliden FFI",1
"47",47,"Alex Levander","Örjanshallen",12,12,"Kågedalens AIF",1
"48",48,"Alex Levander","Örjanshallen",12,12,"Skellefteå IBK",1
"49",49,"Alma Söderström","Bräntbergsskolan",2,11,"Sandåkerns SK",1
"50",50,"Alma Söderström","Bräntbergsskolan",2,11,"Gimonäs Umeå IF",1
"51",51,"Alma Söderström","Bräntbergsskolan",2,11,"Gimonäs Umeå IF",1
"52",52,"Alma Söderström","Bräntbergsskolan",2,11,"Holmsund City IBC",1
"53",53,"Alma Söderström","Grubbeskolan",4,11,"Täfteå IK",1
"54",54,"Alma Söderström","Grubbeskolan",4,11,"Spöland Vännäs IF",1
"55",55,"Alma Söderström","Grubbeskolan",4,11,"Sandåkerns SK",1
"56",56,"Alma Söderström","Grubbeskolan",4,11,"IBF Dalen",1
"57",57,"Alma Söderström","Grubbeskolan",4,11,"Gimonäs Umeå IF",2
"58",58,"Alma Söderström","Grubbeskolan",4,11,"Täfteå IK",1
"59",59,"Alma Söderström","Grubbeskolan",4,11,"IBF Dalen",1
"60",60,"Alma Söderström","Midgårdshallen",2,11,"Sandåkerns SK",1
"61",61,"Alma Söderström","Midgårdshallen",2,11,"Ersboda SK",1
"62",62,"Alma Söderström","Midgårdshallen",2,11,"Obbola IK",1
"63",63,"Alma Söderström","Midgårdshallen",2,11,"Umeå City IBF",1
"64",64,"Alma Söderström","Olasjöhallen",1,11,"IBF Dalen",1
"65",65,"Alma Söderström","Olasjöhallen",1,11,"Gimonäs Umeå IF",1
"66",66,"Alma Söderström","Sävaråhallen",2,11,"Sävar IK",1
"67",67,"Alma Söderström","Sävaråhallen",2,11,"Umeå City IBF",1
"68",68,"Alma Söderström","Sävaråhallen",2,11,"Holmsund City IBC",1
"69",69,"Alma Söderström","Sävaråhallen",2,11,"Hissjö SK",1
"70",70,"Alva Brannelid","Bräntbergsskolan",3,13,"Röbäcks IF",1
"71",71,"Alva Brannelid","Bräntbergsskolan",3,13,"Gimonäs Umeå IF",1
"72",72,"Alva Brannelid","Bräntbergsskolan",3,13,"IBF Dalen",1
"73",73,"Alva Brannelid","Bräntbergsskolan",3,13,"IBF Dalen",1
"74",74,"Alva Brannelid","Bräntbergsskolan",3,13,"Umeå City IBF",2
"75",75,"Alva Brannelid","Elofssonhallen",2,13,"IBF Dalen",1
