"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm, Stefan Olsson","Jönköpings Idrottshus D-hall",2,7,"Östra SK Jönköping",2
"2","Andreas Holm, Stefan Olsson","Jönköpings Idrottshus D-hall",2,7,"Onyx IBK",1
"3","Andreas Holm, Stefan Olsson","Jönköpings Idrottshus D-hall",2,7,"Karlstad IBF",1
"4","Andreas Holm, Stefan Olsson","Kirsebergs Sporthall",1,7,"Åstorp/Kvidinge IBS",1
"5","Andreas Holm, Stefan Olsson","Kirsebergs Sporthall",1,7,"Malmö FBC",1
"6","Andreas Holm, Stefan Olsson","Salming Arena",1,7,"Lindås IBK",1
"7","Andreas Holm, Stefan Olsson","Salming Arena",1,7,"Craftstadens IBK Oskarshamn",1
"8","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",2,7,"Fagerhult Habo IBK",1
"9","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",2,7,"Warberg IC",2
"10","Andreas Holm, Stefan Olsson","Sparbanken Wictory Center, Salmingplanen",2,7,"Åstorp/Kvidinge IBS",1
"11","Andreas Holm, Stefan Olsson","Åstorps Sporthall",1,7,"Åstorp/Kvidinge IBS",1
"12","Andreas Holm, Stefan Olsson","Åstorps Sporthall",1,7,"FBC Kalmarsund",1
"13","Andreas Svensson, Håkan Söderman","Eriksdalshallen",1,2,"Djurgårdens IF IBS",1
"14","Andreas Svensson, Håkan Söderman","Eriksdalshallen",1,2,"Wibax Patriot IBK Piteå",1
"15","Andreas Svensson, Håkan Söderman","Jönköpings Idrottshus D-hall",1,2,"Warberg IC",1
"16","Andreas Svensson, Håkan Söderman","Jönköpings Idrottshus D-hall",1,2,"Östra SK Jönköping",1
"17","Björn Hedman, Nicklas Sundgren","Eriksdalshallen",1,5,"Djurgårdens IF IBS",1
"18","Björn Hedman, Nicklas Sundgren","Eriksdalshallen",1,5,"Täby FC",1
"19","Björn Hedman, Nicklas Sundgren","IFU Arena A",1,5,"Granlo BK",1
"20","Björn Hedman, Nicklas Sundgren","IFU Arena A",1,5,"Hagunda IF",1
"21","Björn Hedman, Nicklas Sundgren","Kalmar Sporthall A-hall",1,5,"FBC Kalmarsund",1
"22","Björn Hedman, Nicklas Sundgren","Kalmar Sporthall A-hall",1,5,"Visby IBK",1
"23","Björn Hedman, Nicklas Sundgren","Rosvalla A",1,5,"Onyx IBK",1
"24","Björn Hedman, Nicklas Sundgren","Rosvalla A",1,5,"Visby IBK",1
"25","Björn Hedman, Nicklas Sundgren","Tibblehallen CC",1,5,"Salems IF",1
"26","Björn Hedman, Nicklas Sundgren","Tibblehallen CC",1,5,"Täby FC",1
"27","Christoffer Markovski, Patric Terelius","Alfahallen - Gavlehov",2,4,"FBI Tullinge",1
"28","Christoffer Markovski, Patric Terelius","Alfahallen - Gavlehov",2,4,"Gävle GIK",2
"29","Christoffer Markovski, Patric Terelius","Alfahallen - Gavlehov",2,4,"IBF Dalen",1
"30","Christoffer Markovski, Patric Terelius","Norrmalmia Sph",1,4,"Wibax Patriot IBK Piteå",1
"31","Christoffer Markovski, Patric Terelius","Norrmalmia Sph",1,4,"Strängnäs IBK",1
"32","Christoffer Markovski, Patric Terelius","Skogsängshallen",1,4,"Salems IF",1
"33","Christoffer Markovski, Patric Terelius","Skogsängshallen",1,4,"Hudik/Björkberg IBK",1
"34","Daniel Böcker, Andreas Lybacken","Eriksdalshallen",1,1,"Djurgårdens IF IBS",1
"35","Daniel Böcker, Andreas Lybacken","Eriksdalshallen",1,1,"Granlo BK",1
"36","Daniel Böcker, Sigge Svensson Martell","Åstorps Sporthall",1,1,"Skoghalls IBK",1
"37","Daniel Böcker, Sigge Svensson Martell","Åstorps Sporthall",1,1,"Åstorp/Kvidinge IBS",1
"38","Daniel Fathi-Najafi, Peter Novakovic","Colorama Arena",1,4,"Karlstad IBF",1
"39","Daniel Fathi-Najafi, Peter Novakovic","Colorama Arena",1,4,"Östra SK Jönköping",1
"40","Daniel Fathi-Najafi, Peter Novakovic","Eriksdalshallen",1,4,"Hagunda IF",1
"41","Daniel Fathi-Najafi, Peter Novakovic","Eriksdalshallen",1,4,"Djurgårdens IF IBS",1
"42","Daniel Fathi-Najafi, Peter Novakovic","Habo Sporthall A-hall",1,4,"Åstorp/Kvidinge IBS",1
"43","Daniel Fathi-Najafi, Peter Novakovic","Habo Sporthall A-hall",1,4,"Fagerhult Habo IBK",1
"44","Daniel Fathi-Najafi, Peter Novakovic","Jönköpings Idrottshus D-hall",1,4,"Craftstadens IBK Oskarshamn",1
"45","Daniel Fathi-Najafi, Peter Novakovic","Jönköpings Idrottshus D-hall",1,4,"Östra SK Jönköping",1
"46","David Berger, Tobias Berger","Eriksdalshallen",1,16,"Salems IF",1
"47","David Berger, Tobias Berger","Eriksdalshallen",1,16,"Djurgårdens IF IBS",1
"48","David Berger, Tobias Berger","Fleminghallen",3,16,"Wibax Patriot IBK Piteå",1
"49","David Berger, Tobias Berger","Fleminghallen",3,16,"Hagunda IF",1
"50","David Berger, Tobias Berger","Fleminghallen",3,16,"Gävle GIK",1
"51","David Berger, Tobias Berger","Fleminghallen",3,16,"FBI Tullinge",3
"52","David Berger, Tobias Berger","Håstaholmen",1,16,"Hudik/Björkberg IBK",1
"53","David Berger, Tobias Berger","Håstaholmen",1,16,"Täby FC",1
"54","David Berger, Tobias Berger","Jönköpings Idrottshus D-hall",1,16,"FBC Kalmarsund",1
"55","David Berger, Tobias Berger","Jönköpings Idrottshus D-hall",1,16,"Östra SK Jönköping",1
"56","David Berger, Tobias Berger","Norrmalmia Sph",1,16,"Hudik/Björkberg IBK",1
"57","David Berger, Tobias Berger","Norrmalmia Sph",1,16,"Wibax Patriot IBK Piteå",1
"58","David Berger, Tobias Berger","Oskarshamns Sporthall A-hall",1,16,"Onyx IBK",1
"59","David Berger, Tobias Berger","Oskarshamns Sporthall A-hall",1,16,"Craftstadens IBK Oskarshamn",1
"60","David Berger, Tobias Berger","Rosvalla A",1,16,"Onyx IBK",1
"61","David Berger, Tobias Berger","Rosvalla A",1,16,"Malmö FBC",1
"62","David Berger, Tobias Berger","Skogsängshallen",2,16,"Salems IF",2
"63","David Berger, Tobias Berger","Skogsängshallen",2,16,"Wibax Patriot IBK Piteå",1
