"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse, Jonas Ottosson","Torpahallen",1,1,"Mölndals IBF",1
"2","Adam Kruse, Jonas Ottosson","Torpahallen",1,1,"IBF Göteborg",1
"3","Adam Kruse, Peter Novakovic","Daltorphallen, Borås",1,1,"Floda IBK",1
"4","Adam Kruse, Peter Novakovic","Daltorphallen, Borås",1,1,"Borås IBF",1
"5","Albin Jakobsson, Lars Larsson","Arvika Sporthall",1,1,"Arvika IBF",1
"6","Albin Jakobsson, Lars Larsson","Arvika Sporthall",1,1,"IBK Lockerud Mariestad",1
"7","Anders Asp, Per Rosén","Träffen Arena",1,1,"IBK Runsten",1
"8","Anders Asp, Per Rosén","Träffen Arena",1,1,"Åkersberga IBF",1
"9","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,5,"IBF Västerås",2
"10","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,5,"Surahammars IBF",1
"11","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,5,"Skälby IBK",1
"12","Anders Fredriksson, Johnny Lindberg","Pettersbergsskolan (S:T Ilian Skolan)",1,5,"Karlskoga IBF",1
"13","Anders Fredriksson, Johnny Lindberg","Pettersbergsskolan (S:T Ilian Skolan)",1,5,"Skälby IBK",1
"14","Anders Fredriksson, Johnny Lindberg","Rydsbergshallen",1,5,"Floda IBK",1
"15","Anders Fredriksson, Johnny Lindberg","Rydsbergshallen",1,5,"IBK Alingsås",1
"16","Anders Fredriksson, Johnny Lindberg","Umeå Energi Arena",1,5,"Umeå City IBF",1
"17","Anders Fredriksson, Johnny Lindberg","Umeå Energi Arena",1,5,"RIG Umeå IBF",1
"18","Andreas Holm, Stefan Olsson","Aktiviteten A-Hall",1,7,"Mölndals IBF",1
"19","Andreas Holm, Stefan Olsson","Aktiviteten A-Hall",1,7,"FBC Sisjön",1
"20","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,7,"Hovslätts IK",1
"21","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,7,"Jönköping IBK Ungdom",1
"22","Andreas Holm, Stefan Olsson","Halmstad Arena A 1",1,7,"Röke IBK",1
"23","Andreas Holm, Stefan Olsson","Halmstad Arena A 1",1,7,"Halmstads IBK",1
"24","Andreas Holm, Stefan Olsson","Innebandyhallen",1,7,"Lagan IBK",1
"25","Andreas Holm, Stefan Olsson","Innebandyhallen",1,7,"Röke IBK",1
"26","Andreas Holm, Stefan Olsson","Partille Arena B-hallen",1,7,"Pixbo Wallenstam IBF",1
"27","Andreas Holm, Stefan Olsson","Partille Arena B-hallen",1,7,"FBC Partille",1
"28","Andreas Holm, Stefan Olsson","Salming Arena",1,7,"FBC Sisjön",1
"29","Andreas Holm, Stefan Olsson","Salming Arena",1,7,"FBC Partille",1
