"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,1,"Andreas Nyman, Fredrik Söderholm","Sporthallen Musköten",1,2,"IBS Dalen",1
"2",2,2,"Andreas Nyman, Fredrik Söderholm","Sporthallen Musköten",1,2,"Gullänget-Kroksta IBS",1
"3",3,3,"Andreas Nyman, Fredrik Söderholm","Sporthushallen",1,2,"IK SPIF Umeå",1
"4",4,4,"Andreas Nyman, Fredrik Söderholm","Sporthushallen",1,2,"Team Thorengruppen Ungdom SK",1
"5",5,5,"Bjarne Andersson, Kent Fagerberg","Sporthushallen",1,1,"IK SPIF Umeå",1
"6",6,6,"Bjarne Andersson, Kent Fagerberg","Sporthushallen",1,1,"IBS Dalen",1
"7",7,7,"Bjarne Andersson, Ulf Stödberg","Olasjöhallen",1,6,"Rönnskär Railcare IF",1
"8",8,8,"Bjarne Andersson, Ulf Stödberg","Olasjöhallen",1,6,"Obbola IK",1
"9",9,9,"Bjarne Andersson, Ulf Stödberg","Sporthallen Musköten",2,6,"Gimonäs Umeå IBF",1
"10",10,10,"Bjarne Andersson, Ulf Stödberg","Sporthallen Musköten",2,6,"IBS Dalen",2
"11",11,11,"Bjarne Andersson, Ulf Stödberg","Sporthallen Musköten",2,6,"Spöland Vännäs IF",1
"12",12,12,"Bjarne Andersson, Ulf Stödberg","Sporthushallen",2,6,"Gullänget-Kroksta IBS",1
"13",13,13,"Bjarne Andersson, Ulf Stödberg","Sporthushallen",2,6,"IK SPIF Umeå",2
"14",14,14,"Bjarne Andersson, Ulf Stödberg","Sporthushallen",2,6,"Spöland Vännäs IF",1
"15",15,15,"Bjarne Andersson, Ulf Stödberg","Umeå Energi Arena Väst",1,6,"Gimonäs Umeå IBF",1
"16",16,16,"Bjarne Andersson, Ulf Stödberg","Umeå Energi Arena Väst",1,6,"Obbola IK",1
"17",17,17,"Daniel Degerman, Jens Marklund","Eddahallen",2,2,"Rönnskär Railcare IF",1
