"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,1,"Albin Berglund, Linus Berglund","Midgårdshallen",1,2,"Skellefteå IBK",1
"2",2,2,"Albin Berglund, Linus Berglund","Midgårdshallen",1,2,"Umeå City IBF",1
"3",3,3,"Albin Berglund, Linus Berglund","Sporthallen Musköten",1,2,"Örnsköldsvik IBF /IBK",1
"4",4,4,"Albin Berglund, Linus Berglund","Sporthallen Musköten",1,2,"IBF Dalen",1
"5",5,5,"Alvin Gustavsson, Elias Norden","Balderhallen B",1,1,"Hörnefors IF",1
"6",6,6,"Alvin Gustavsson, Elias Norden","Balderhallen B",1,1,"Gamla Stan IBK",1
"7",7,7,"Alvina Mukkala, Rasmus Säfvenberg","Sporthallen Musköten",1,1,"Gamla Stan IBK",1
"8",8,8,"Alvina Mukkala, Rasmus Säfvenberg","Sporthallen Musköten",1,1,"IBF Dalen",1
"9",9,9,"Andreas Eriksson, David Karlsson","Umeå Energi Arena Väst",1,1,"Gamla Stan IBK",1
"10",10,10,"Andreas Eriksson, David Karlsson","Umeå Energi Arena Väst",1,1,"Umeå City IBF",1
"11",11,11,"Andreas Eriksson, Kim Fallbjörk","Midgårdshallen",1,1,"Umeå City IBF",1
"12",12,12,"Andreas Eriksson, Kim Fallbjörk","Midgårdshallen",1,1,"Umeå City IBF",1
"13",13,13,"Andreas Eriksson, Manuel Garzon","Sjöfruhallen",1,1,"IBF Dalen",1
"14",14,14,"Andreas Eriksson, Manuel Garzon","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"15",15,15,"Andreas Eriksson, Mattias Karlsson","Midgårdshallen",1,6,"Gamla Stan IBK",1
"16",16,16,"Andreas Eriksson, Mattias Karlsson","Midgårdshallen",1,6,"Umeå City IBF",1
"17",17,17,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",3,6,"Robertsfors IK",1
"18",18,18,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",3,6,"Gimonäs Umeå IF",2
"19",19,19,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",3,6,"Örnsköldsvik IBF /IBK",1
"20",20,20,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",3,6,"Spöland Vännäs IF",1
"21",21,21,"Andreas Eriksson, Mattias Karlsson","Sjöfruhallen",3,6,"Gimonäs Umeå IF",1
"22",22,22,"Andreas Eriksson, Mattias Karlsson","Sporthallen Musköten",1,6,"IBF Dalen",1
"23",23,23,"Andreas Eriksson, Mattias Karlsson","Sporthallen Musköten",1,6,"Rönnskär Railcare IF/CIF",1
"24",24,24,"Andreas Eriksson, Mattias Karlsson","Sporthushallen",1,6,"Gimonäs Umeå IF",1
"25",25,25,"Andreas Eriksson, Mattias Karlsson","Sporthushallen",1,6,"Umeå City IBF",1
"26",26,26,"Andreas Eriksson, Rasmus Säfvenberg","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"27",27,27,"Andreas Eriksson, Rasmus Säfvenberg","Hammarhallen Vännäs",1,3,"Gamla Stan IBK",1
"28",28,28,"Andreas Eriksson, Rasmus Säfvenberg","Sjöfruhallen",1,3,"Gimonäs Umeå IF",1
"29",29,29,"Andreas Eriksson, Rasmus Säfvenberg","Sjöfruhallen",1,3,"Hörnefors IF",1
"30",30,30,"Andreas Eriksson, Rasmus Säfvenberg","Umeå Energi Arena Väst",1,3,"Umeå City IBF",1
"31",31,31,"Andreas Eriksson, Rasmus Säfvenberg","Umeå Energi Arena Väst",1,3,"IBF Dalen",1
"32",32,32,"Bjarne Andersson, Manuel Garzon","Vildmannahallen",1,1,"Umeå City IBF",1
"33",33,33,"Bjarne Andersson, Manuel Garzon","Vildmannahallen",1,1,"Umeå City IBF",1
"34",34,34,"Bjarne Andersson, Rasmus Säfvenberg","Bråvallahallen",1,1,"Hörnefors IF",1
"35",35,35,"Bjarne Andersson, Rasmus Säfvenberg","Bråvallahallen",1,1,"Gimonäs Umeå IF",1
"36",36,36,"Bjarne Andersson, Ulf Stödberg","Midgårdshallen",1,3,"Umeå City IBF",1
"37",37,37,"Bjarne Andersson, Ulf Stödberg","Midgårdshallen",1,3,"Gimonäs Umeå IF",1
"38",38,38,"Bjarne Andersson, Ulf Stödberg","Sjöfruhallen",1,3,"Gimonäs Umeå IF",1
"39",39,39,"Bjarne Andersson, Ulf Stödberg","Sjöfruhallen",1,3,"Umeå City IBF",1
"40",40,40,"Bjarne Andersson, Ulf Stödberg","Sporthushallen",1,3,"Ersboda SK",1
"41",41,41,"Bjarne Andersson, Ulf Stödberg","Sporthushallen",1,3,"Umeå City IBF",1
"42",42,42,"Björn Glad, Daniel Johannesson","Sporthallen Musköten",1,1,"IBF Dalen",1
"43",43,43,"Björn Glad, Daniel Johannesson","Sporthallen Musköten",1,1,"Gimonäs Umeå IF",1
"44",44,44,"Björn Glad, Marcus Glad","Jenningshallen",1,2,"Skellefteå IBK",1
"45",45,45,"Björn Glad, Marcus Glad","Jenningshallen",1,2,"Robertsfors IK",1
