"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson, Jonatan Vallin","Täftehallen",1,1,"Holmsund City IBC",1
"2",2,"Adam Andersson, Jonatan Vallin","Täftehallen",1,1,"Täfteå IK",1
"3",3,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",1,1,"Umeå City IBF",1
"4",4,"Adam Andersson, Lucas Arvidsson","Midgårdshallen",1,1,"IBF Dalen",1
"5",5,"Agnes Persson, Ida Reian","Midgårdshallen",1,1,"Obbola IK",1
"6",6,"Agnes Persson, Ida Reian","Midgårdshallen",1,1,"Umeå City IBF",1
"7",7,"Albin Berglund, Linus Berglund","Täftehallen",1,1,"Hörnefors IF",1
"8",8,"Albin Berglund, Linus Berglund","Täftehallen",1,1,"Täfteå IK",1
"9",9,"Albin Carlsten, Alvin Gustavsson","Balderhallen B",2,2,"Skellefteå IBS",1
"10",10,"Albin Carlsten, Alvin Gustavsson","Balderhallen B",2,2,"Skellefteå IBK",1
"11",11,"Albin Carlsten, Alvin Gustavsson","Balderhallen B",2,2,"Gamla Stan IBK",1
"12",12,"Albin Carlsten, Alvin Gustavsson","Balderhallen B",2,2,"Gamla Stan IBK",1
"13",13,"Albin Carlsten, Isaac Sjunnesson","Anderstorpshallen",2,6,"Gamla Stan IBK",1
"14",14,"Albin Carlsten, Isaac Sjunnesson","Anderstorpshallen",2,6,"Gamla Stan IBK",1
"15",15,"Albin Carlsten, Isaac Sjunnesson","Anderstorpshallen",2,6,"Skellefteå IBK",1
"16",16,"Albin Carlsten, Isaac Sjunnesson","Anderstorpshallen",2,6,"Skellefteå IBK",1
"17",17,"Albin Carlsten, Isaac Sjunnesson","Balderhallen B",2,6,"Gamla Stan IBK",1
"18",18,"Albin Carlsten, Isaac Sjunnesson","Balderhallen B",2,6,"Skellefteå IBK",1
"19",19,"Albin Carlsten, Isaac Sjunnesson","Balderhallen B",2,6,"Gamla Stan IBK",1
"20",20,"Albin Carlsten, Isaac Sjunnesson","Balderhallen B",2,6,"Bureå IF",1
"21",21,"Albin Carlsten, Isaac Sjunnesson","Eddahallen",2,6,"Skellefteå IBK",1
"22",22,"Albin Carlsten, Isaac Sjunnesson","Eddahallen",2,6,"Gamla Stan IBK",1
"23",23,"Albin Carlsten, Isaac Sjunnesson","Eddahallen",2,6,"Skellefteå IBS",1
"24",24,"Albin Carlsten, Isaac Sjunnesson","Eddahallen",2,6,"Skellefteå IBK",1
"25",25,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,1,"Holmsund City IBC",1
"26",26,"Alexandra Nimrodsson, Hanna Wendén","Storsjöhallen",1,1,"Röbäcks IF",1
"27",27,"Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Umeå City IBF",1
"28",28,"Alexandra Nimrodsson, Sanna Åslin","Vildmannahallen",1,1,"Holmsund City IBC",1
"29",29,"Alva Bergström, Elin Wirtala","Midgårdshallen",2,4,"Sandåkerns SK",1
"30",30,"Alva Bergström, Elin Wirtala","Midgårdshallen",2,4,"Umeå City IBF",1
"31",31,"Alva Bergström, Elin Wirtala","Midgårdshallen",2,4,"Umeå City IBF",1
"32",32,"Alva Bergström, Elin Wirtala","Midgårdshallen",2,4,"Röbäcks IF",1
"33",33,"Alva Bergström, Elin Wirtala","Olasjöhallen",2,4,"Gimonäs Umeå IF",1
"34",34,"Alva Bergström, Elin Wirtala","Olasjöhallen",2,4,"Holmsund City IBC",1
"35",35,"Alva Bergström, Elin Wirtala","Olasjöhallen",2,4,"Obbola IK",1
"36",36,"Alva Bergström, Elin Wirtala","Olasjöhallen",2,4,"Obbola IK",1
"37",37,"Alva Forss, Agnes Persson","Vildmannahallen",2,2,"Umeå City IBF",1
"38",38,"Alva Forss, Agnes Persson","Vildmannahallen",2,2,"Spöland Vännäs IF",1
"39",39,"Alva Forss, Agnes Persson","Vildmannahallen",2,2,"Tegs SK IBF",1
"40",40,"Alva Forss, Agnes Persson","Vildmannahallen",2,2,"Röbäcks IF",1
"41",41,"Alva Forss, Alvina Mukkala","Sporthallen Musköten",1,1,"Umeå City IBF",1
"42",42,"Alva Forss, Alvina Mukkala","Sporthallen Musköten",1,1,"IBF Dalen",1
"43",43,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Umeå City IBF",1
"44",44,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Sandåkerns SK",1
"45",45,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Sandåkerns SK",1
"46",46,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Ersboda SK",1
"47",47,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Spöland Vännäs IF",1
"48",48,"Alva Forss, Elin Wirtala","Vildmannahallen",3,3,"Röbäcks IF",1
"49",49,"Alva Forss, Isak Lindeberg Svensson","Vildmannahallen",2,2,"Röbäcks IF",1
"50",50,"Alva Forss, Isak Lindeberg Svensson","Vildmannahallen",2,2,"Sandåkerns SK",1
"51",51,"Alva Forss, Isak Lindeberg Svensson","Vildmannahallen",2,2,"IBF Dalen",1
"52",52,"Alva Forss, Isak Lindeberg Svensson","Vildmannahallen",2,2,"Ersboda SK",1
"53",53,"Alva Forss, Klas Höglund","Sporthushallen",2,2,"Umeå City IBF",1
"54",54,"Alva Forss, Klas Höglund","Sporthushallen",2,2,"Ersboda SK",1
"55",55,"Alva Forss, Klas Höglund","Sporthushallen",2,2,"Umeå City IBF",1
"56",56,"Alva Forss, Klas Höglund","Sporthushallen",2,2,"Sandåkerns SK",1
"57",57,"Alva Forss, Lina Näsström","Midgårdshallen",1,3,"Gimonäs Umeå IF",1
"58",58,"Alva Forss, Lina Näsström","Midgårdshallen",1,3,"Umeå City IBF",1
"59",59,"Alva Forss, Lina Näsström","Vildmannahallen",2,3,"Umeå City IBF",1
"60",60,"Alva Forss, Lina Näsström","Vildmannahallen",2,3,"Umeå City IBF",1
"61",61,"Alva Forss, Lina Näsström","Vildmannahallen",2,3,"Tegs SK IBF",1
"62",62,"Alva Forss, Lina Näsström","Vildmannahallen",2,3,"IBF Dalen",1
"63",63,"Alva Forss, Viktoria Nordqvist","Ersängshallen",1,1,"Ersboda SK",1
"64",64,"Alva Forss, Viktoria Nordqvist","Ersängshallen",1,1,"Umeå City IBF",1
"65",65,"Alvin Gustavsson","Lejonströmshallen",1,1,"Boliden FFI",1
"66",66,"Alvin Gustavsson","Lejonströmshallen",1,1,"Skellefteå IBK",1
"67",67,"Alvin Gustavsson, Elias Norden","Eddahallen",1,1,"Gamla Stan IBK",1
"68",68,"Alvin Gustavsson, Elias Norden","Eddahallen",1,1,"Skellefteå IBS",1
"69",69,"Alvina Mukkala","Elofssonhallen",1,1,"Sävar IK",1
"70",70,"Alvina Mukkala","Elofssonhallen",1,1,"Röbäcks IF",1
"71",71,"Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Sävar IK",1
"72",72,"Alvina Mukkala, Louise Ramebäck","Elofssonhallen",1,1,"Gimonäs Umeå IF",1
"73",73,"Alvina Mukkala, Nelly Saari","Hammarhallen Vännäs",2,2,"Spöland Vännäs IF",1
"74",74,"Alvina Mukkala, Nelly Saari","Hammarhallen Vännäs",2,2,"Sandåkerns SK",1
"75",75,"Alvina Mukkala, Nelly Saari","Hammarhallen Vännäs",2,2,"Spöland Vännäs IF",1
"76",76,"Alvina Mukkala, Nelly Saari","Hammarhallen Vännäs",2,2,"Umeå City IBF",1
"77",77,"Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",1,1,"Gimonäs Umeå IF",1
"78",78,"Alvina Mukkala, Peter Saari","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"79",79,"Amelia Forsgren, Elsa Wiklund","Elofssonhallen",1,9,"IBF Dalen",1
"80",80,"Amelia Forsgren, Elsa Wiklund","Elofssonhallen",1,9,"Röbäcks IF",1
"81",81,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Umeå City IBF",1
"82",82,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Spöland Vännäs IF",1
"83",83,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"IBF Dalen",1
"84",84,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Umeå City IBF",1
"85",85,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Gimonäs Umeå IF",1
"86",86,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Sandåkerns SK",1
"87",87,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"IBF Dalen",1
"88",88,"Amelia Forsgren, Elsa Wiklund","Midgårdshallen",4,9,"Ersboda SK",1
"89",89,"Amelia Forsgren, Elsa Wiklund","Sjöfruhallen",2,9,"Gimonäs Umeå IF",1
"90",90,"Amelia Forsgren, Elsa Wiklund","Sjöfruhallen",2,9,"Obbola IK",1
"91",91,"Amelia Forsgren, Elsa Wiklund","Sjöfruhallen",2,9,"Gimonäs Umeå IF",1
"92",92,"Amelia Forsgren, Elsa Wiklund","Sjöfruhallen",2,9,"Täfteå IK",1
"93",93,"Amelia Forsgren, Elsa Wiklund","Sporthallen Musköten",1,9,"IBF Dalen",1
"94",94,"Amelia Forsgren, Elsa Wiklund","Sporthallen Musköten",1,9,"Umeå City IBF",1
"95",95,"Amelia Forsgren, Elsa Wiklund","Ålidhemshallen",1,9,"Gimonäs Umeå IF",1
"96",96,"Amelia Forsgren, Elsa Wiklund","Ålidhemshallen",1,9,"IBF Dalen",1
"97",97,"Andreas Eriksson, Rasmus Säfvenberg","Hammarhallen Vännäs",1,1,"Umeå City IBF",1
"98",98,"Andreas Eriksson, Rasmus Säfvenberg","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"99",99,"Andreas Åström","Balderhallen B",3,4,"Boliden FFI",1
"100",100,"Andreas Åström","Balderhallen B",3,4,"Skellefteå IBS",1
"101",101,"Andreas Åström","Balderhallen B",3,4,"Skellefteå IBK",1
"102",102,"Andreas Åström","Balderhallen B",3,4,"Clemensnäs IF",1
"103",103,"Andreas Åström","Balderhallen B",3,4,"Skellefteå IBK",1
"104",104,"Andreas Åström","Balderhallen B",3,4,"Bureå IF",1
"105",105,"Andreas Åström","Örjanshallen",1,4,"Gamla Stan IBK",1
"106",106,"Andreas Åström","Örjanshallen",1,4,"Boliden FFI",1
"107",107,"Anna Andersson, Christoffer Lind","Bråvallahallen",3,3,"Gimonäs Umeå IF",1
"108",108,"Anna Andersson, Christoffer Lind","Bråvallahallen",3,3,"Gimonäs Umeå IF",1
"109",109,"Anna Andersson, Christoffer Lind","Bråvallahallen",3,3,"Hörnefors IF",1
"110",110,"Anna Andersson, Christoffer Lind","Bråvallahallen",3,3,"Hörnefors IF",2
"111",111,"Anna Andersson, Christoffer Lind","Bråvallahallen",3,3,"IBF Dalen",1
"112",112,"Anna Andersson, Moa Stödberg","Bråvallahallen",2,6,"Hörnefors IF",2
"113",113,"Anna Andersson, Moa Stödberg","Bråvallahallen",2,6,"Sandåkerns SK",1
"114",114,"Anna Andersson, Moa Stödberg","Bråvallahallen",2,6,"Sandåkerns SK",1
"115",115,"Anna Andersson, Moa Stödberg","Elofssonhallen",2,6,"Gimonäs Umeå IF",1
"116",116,"Anna Andersson, Moa Stödberg","Elofssonhallen",2,6,"Gimonäs Umeå IF",1
"117",117,"Anna Andersson, Moa Stödberg","Elofssonhallen",2,6,"Röbäcks IF",1
"118",118,"Anna Andersson, Moa Stödberg","Elofssonhallen",2,6,"Röbäcks IF",1
"119",119,"Anna Andersson, Moa Stödberg","Midgårdshallen",1,6,"Röbäcks IF",1
"120",120,"Anna Andersson, Moa Stödberg","Midgårdshallen",1,6,"Umeå City IBF",1
"121",121,"Anna Andersson, Moa Stödberg","Sporthallen Musköten",1,6,"IBF Dalen",1
"122",122,"Anna Andersson, Moa Stödberg","Sporthallen Musköten",1,6,"Holmsund City IBC",1
"123",123,"Arvid Oscarsson, Moa Stödberg","Bråvallahallen",1,1,"IBF Dalen",1
"124",124,"Arvid Oscarsson, Moa Stödberg","Bråvallahallen",1,1,"Hörnefors IF",1
"125",125,"Björn Glad, Marcus Glad","Storsjöhallen",1,1,"Holmsund City IBC",1
"126",126,"Björn Glad, Marcus Glad","Storsjöhallen",1,1,"Täfteå IK",1
"127",127,"Björn Glad, Mattias Glad","Sporthallen Musköten",2,3,"IBF Dalen",1
