"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Agnes Persson, Ida Reian","Midgårdshallen",1,1,"Umeå City IBF ",1
"2",2,"Agnes Persson, Ida Reian","Midgårdshallen",1,1,"Gimonäs Umeå IF",1
"3",3,"Albin Berglund, Linus Berglund","Elofssonhallen",1,22,"Umeå City IBF",1
"4",4,"Albin Berglund, Linus Berglund","Elofssonhallen",1,22,"Obbola IK",1
"5",5,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Hissjö SK/IBF Dalen",1
"6",6,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Gimonäs Umeå IF",1
"7",7,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Håknäs IF",1
"8",8,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Umeå City IBF ",1
"9",9,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Umeå City IBF",1
"10",10,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Umeå City IBF ",1
"11",11,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Umeå City IBF",1
"12",12,"Albin Berglund, Linus Berglund","Midgårdshallen",4,22,"Umeå City IBF",1
"13",13,"Albin Berglund, Linus Berglund","Storsjöhallen",3,22,"IBF Dalen",1
"14",14,"Albin Berglund, Linus Berglund","Storsjöhallen",3,22,"Umeå City IBF ",1
"15",15,"Albin Berglund, Linus Berglund","Storsjöhallen",3,22,"Umeå City IBF",1
"16",16,"Albin Berglund, Linus Berglund","Storsjöhallen",3,22,"Holmsund City IBC",2
"17",17,"Albin Berglund, Linus Berglund","Storsjöhallen",3,22,"Holmsund City IBC",1
"18",18,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Holmsund City IBC",1
"19",19,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Hissjö SK/IBF Dalen",1
"20",20,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Sävar IK",4
"21",21,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Gimonäs Umeå IF",1
"22",22,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Sävar IK",2
"23",23,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"IBF Dalen",1
"24",24,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Umeå City IBF",1
"25",25,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Sävar IK/Täfteå IK",1
"26",26,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"IBF Dalen ",1
"27",27,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Sävar IK/Täfteå IK",3
"28",28,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Umeå City IBF",1
"29",29,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Team Thorengruppen SK",1
"30",30,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"Vindelns IF",1
"31",31,"Albin Berglund, Linus Berglund","Sävaråhallen",10,22,"IBF Dalen ",1
"32",32,"Albin Berglund, Linus Berglund","Täftehallen",3,22,"Täfteå IK",3
"33",33,"Albin Berglund, Linus Berglund","Täftehallen",3,22,"Gimonäs Umeå IF",1
"34",34,"Albin Berglund, Linus Berglund","Täftehallen",3,22,"Vindelns IF",1
"35",35,"Albin Berglund, Linus Berglund","Täftehallen",3,22,"Sävar IK",1
"36",36,"Albin Berglund, Linus Berglund","Vildmannahallen",1,22,"Holmsund City IBC",1
"37",37,"Albin Berglund, Linus Berglund","Vildmannahallen",1,22,"Sandåkerns SK",1
