"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Asp, Per Rosén","Arenan - Jönköpings Idrottshus",1,3,"Jönköpings IK",1
"2","Anders Asp, Per Rosén","Arenan - Jönköpings Idrottshus",1,3,"Telge SIBK",1
"3","Anders Asp, Per Rosén","Baltiska Hallen A",1,3,"Warberg IC",1
"4","Anders Asp, Per Rosén","Baltiska Hallen A",1,3,"Malmö FBC",1
"5","Anders Asp, Per Rosén","Bombardier Arena A",1,3,"Västerås Rönnby IBK",1
"6","Anders Asp, Per Rosén","Bombardier Arena A",1,3,"Endre IF",1
"7","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,19,"KAIS Mora IF",1
"8","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,19,"Västerås Rönnby IBK",2
"9","Anders Fredriksson, Johnny Lindberg","Bombardier Arena A",2,19,"IKSU",1
"10","Anders Fredriksson, Johnny Lindberg","Colorama Arena",4,19,"Linköping IBK",1
"11","Anders Fredriksson, Johnny Lindberg","Colorama Arena",4,19,"Pixbo Wallenstam IBK",1
"12","Anders Fredriksson, Johnny Lindberg","Colorama Arena",4,19,"Karlstad IBF",4
"13","Anders Fredriksson, Johnny Lindberg","Colorama Arena",4,19,"Jönköpings IK",1
"14","Anders Fredriksson, Johnny Lindberg","Colorama Arena",4,19,"Västerås Rönnby IBK",1
"15","Anders Fredriksson, Johnny Lindberg","Folkungahallen",1,19,"Linköping IBK",1
"16","Anders Fredriksson, Johnny Lindberg","Folkungahallen",1,19,"Warberg IC",1
"17","Anders Fredriksson, Johnny Lindberg","ICA Maxi Arena",1,19,"Endre IF",1
"18","Anders Fredriksson, Johnny Lindberg","ICA Maxi Arena",1,19,"IK Sirius FBC",1
"19","Anders Fredriksson, Johnny Lindberg","Idre Fjäll Arena",2,19,"KAIS Mora IF",2
"20","Anders Fredriksson, Johnny Lindberg","Idre Fjäll Arena",2,19,"Täby FC IBK",1
"21","Anders Fredriksson, Johnny Lindberg","Idre Fjäll Arena",2,19,"Linköping IBK",1
"22","Anders Fredriksson, Johnny Lindberg","IFU Arena A",1,19,"IK Sirius FBC",1
"23","Anders Fredriksson, Johnny Lindberg","IFU Arena A",1,19,"Täby FC IBK",1
"24","Anders Fredriksson, Johnny Lindberg","Kristiansborgshallen",1,19,"Västerås Rönnby IBK",1
"25","Anders Fredriksson, Johnny Lindberg","Kristiansborgshallen",1,19,"Pixbo Wallenstam IBK",1
"26","Anders Fredriksson, Johnny Lindberg","Sparbanken Wictory Center, Salmingplanen",3,19,"Warberg IC",3
"27","Anders Fredriksson, Johnny Lindberg","Sparbanken Wictory Center, Salmingplanen",3,19,"Linköping IBK",1
"28","Anders Fredriksson, Johnny Lindberg","Sparbanken Wictory Center, Salmingplanen",3,19,"IKSU",1
"29","Anders Fredriksson, Johnny Lindberg","Sparbanken Wictory Center, Salmingplanen",3,19,"Täby FC IBK",1
"30","Anders Fredriksson, Johnny Lindberg","Umeå Energi Arena",2,19,"Jönköpings IK",1
"31","Anders Fredriksson, Johnny Lindberg","Umeå Energi Arena",2,19,"Täby FC IBK",1
"32","Anders Fredriksson, Johnny Lindberg","Umeå Energi Arena",2,19,"IBK Dalen",2
"33","Anders Fredriksson, Johnny Lindberg","Wallenstamhallen",1,19,"Pixbo Wallenstam IBK",1
"34","Anders Fredriksson, Johnny Lindberg","Wallenstamhallen",1,19,"Linköping IBK",1
"35","Anders Fredriksson, Johnny Lindberg","Västergård Arena A",1,19,"Telge SIBK",1
"36","Anders Fredriksson, Johnny Lindberg","Västergård Arena A",1,19,"Pixbo Wallenstam IBK",1
"37","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,2,"Jönköpings IK",1
"38","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,2,"Warberg IC",1
"39","Andreas Holm, Stefan Olsson","Folkungahallen",1,2,"Linköping IBK",1
"40","Andreas Holm, Stefan Olsson","Folkungahallen",1,2,"IKSU",1
"41","Christoffer Markovski, Patric Terelius","Bombardier Arena A",1,6,"Västerås Rönnby IBK",1
"42","Christoffer Markovski, Patric Terelius","Bombardier Arena A",1,6,"Warberg IC",1
"43","Christoffer Markovski, Patric Terelius","Idre Fjäll Arena",1,6,"KAIS Mora IF",1
"44","Christoffer Markovski, Patric Terelius","Idre Fjäll Arena",1,6,"Malmö FBC",1
"45","Christoffer Markovski, Patric Terelius","IFU Arena A",3,6,"Linköping IBK",1
"46","Christoffer Markovski, Patric Terelius","IFU Arena A",3,6,"Västerås Rönnby IBK",1
"47","Christoffer Markovski, Patric Terelius","IFU Arena A",3,6,"Karlstad IBF",1
"48","Christoffer Markovski, Patric Terelius","IFU Arena A",3,6,"IK Sirius FBC",3
"49","Christoffer Markovski, Patric Terelius","Västergård Arena A",1,6,"Täby FC IBK",1
"50","Christoffer Markovski, Patric Terelius","Västergård Arena A",1,6,"Telge SIBK",1
"51","David Berger, Tobias Berger","IFU Arena A",1,2,"IK Sirius FBC",1
"52","David Berger, Tobias Berger","IFU Arena A",1,2,"IBK Dalen",1
"53","David Berger, Tobias Berger","Västergård Arena A",1,2,"Telge SIBK",1
"54","David Berger, Tobias Berger","Västergård Arena A",1,2,"Jönköpings IK",1
"55","Frans Dahlstedt, Tobias Levin","Arenan - Jönköpings Idrottshus",2,5,"Linköping IBK",1
"56","Frans Dahlstedt, Tobias Levin","Arenan - Jönköpings Idrottshus",2,5,"Karlstad IBF",1
"57","Frans Dahlstedt, Tobias Levin","Arenan - Jönköpings Idrottshus",2,5,"Jönköpings IK",2
"58","Frans Dahlstedt, Tobias Levin","Sparbanken Wictory Center, Salmingplanen",2,5,"IBK Dalen",1
"59","Frans Dahlstedt, Tobias Levin","Sparbanken Wictory Center, Salmingplanen",2,5,"Karlstad IBF",1
