"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,2,"Jönköpings IK",1
"2","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,2,"FC Helsingborg",1
"3","Andreas Holm, Stefan Olsson","Idrottshuset, Örebro",1,2,"IBF Örebro",1
"4","Andreas Holm, Stefan Olsson","Idrottshuset, Örebro",1,2,"Mullsjö AIS",1
"5","Björn Hedman, Nicklas Sundgren","Arenan - Jönköpings Idrottshus",1,14,"Linköping IBK",1
"6","Björn Hedman, Nicklas Sundgren","Arenan - Jönköpings Idrottshus",1,14,"Jönköpings IK",1
"7","Björn Hedman, Nicklas Sundgren","Fortnox Arena A-hall",1,14,"IBF Örebro",1
"8","Björn Hedman, Nicklas Sundgren","Fortnox Arena A-hall",1,14,"Växjö IBK",1
"9","Björn Hedman, Nicklas Sundgren","Helsingborg Arena A",1,14,"FC Helsingborg",1
"10","Björn Hedman, Nicklas Sundgren","Helsingborg Arena A",1,14,"Höllvikens IBF",1
"11","Björn Hedman, Nicklas Sundgren","Idrottshuset, Örebro",1,14,"Höllvikens IBF",1
"12","Björn Hedman, Nicklas Sundgren","Idrottshuset, Örebro",1,14,"IBF Örebro",1
"13","Björn Hedman, Nicklas Sundgren","IFU Arena A",2,14,"Storvreta IBK",1
"14","Björn Hedman, Nicklas Sundgren","IFU Arena A",2,14,"IK Sirius IBK",2
"15","Björn Hedman, Nicklas Sundgren","IFU Arena A",2,14,"IBF Falun",1
"16","Björn Hedman, Nicklas Sundgren","JALAS® Arena",1,14,"IBF Falun",1
"17","Björn Hedman, Nicklas Sundgren","JALAS® Arena",1,14,"Team Thorengruppen SK",1
"18","Björn Hedman, Nicklas Sundgren","Linköpings Sporthall",1,14,"Linköping IBK",1
"19","Björn Hedman, Nicklas Sundgren","Linköpings Sporthall",1,14,"IK Sirius IBK",1
"20","Björn Hedman, Nicklas Sundgren","Solnahallen",1,14,"FC Helsingborg",1
"21","Björn Hedman, Nicklas Sundgren","Solnahallen",1,14,"AIK IBF",1
"22","Björn Hedman, Nicklas Sundgren","Umeå Energi Arena",5,14,"IBK Dalen",2
"23","Björn Hedman, Nicklas Sundgren","Umeå Energi Arena",5,14,"Växjö IBK",1
"24","Björn Hedman, Nicklas Sundgren","Umeå Energi Arena",5,14,"IBF Örebro",2
"25","Björn Hedman, Nicklas Sundgren","Umeå Energi Arena",5,14,"FC Helsingborg",1
"26","Björn Hedman, Nicklas Sundgren","Umeå Energi Arena",5,14,"Team Thorengruppen SK",4
"27","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"Jönköpings IK",2
"28","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"AIK IBF",1
"29","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"Team Thorengruppen SK",1
"30","Daniel Böcker, Andreas Lybacken","Fortnox Arena A-hall",2,27,"Växjö IBK",2
"31","Daniel Böcker, Andreas Lybacken","Fortnox Arena A-hall",2,27,"Pixbo Wallenstam IBK",1
"32","Daniel Böcker, Andreas Lybacken","Fortnox Arena A-hall",2,27,"Storvreta IBK",1
"33","Daniel Böcker, Andreas Lybacken","Halörhallen",3,27,"Höllvikens IBF",3
"34","Daniel Böcker, Andreas Lybacken","Halörhallen",3,27,"IK Sirius IBK",1
"35","Daniel Böcker, Andreas Lybacken","Halörhallen",3,27,"IBK Dalen",1
"36","Daniel Böcker, Andreas Lybacken","Halörhallen",3,27,"IBF Örebro",1
"37","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,27,"Mullsjö AIS",1
"38","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,27,"FC Helsingborg",2
"39","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,27,"Höllvikens IBF",1
"40","Daniel Böcker, Andreas Lybacken","Idrottens Hus A",1,27,"FC Helsingborg",1
"41","Daniel Böcker, Andreas Lybacken","Idrottens Hus A",1,27,"Pixbo Wallenstam IBK",1
"42","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"Mullsjö AIS",1
"43","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"IBF Örebro",1
"44","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"IK Sirius IBK",2
"45","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"Höllvikens IBF",1
"46","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"Storvreta IBK",3
"47","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"IBF Falun",1
"48","Daniel Böcker, Andreas Lybacken","IFU Arena A",5,27,"Team Thorengruppen SK",1
"49","Daniel Böcker, Andreas Lybacken","JALAS® Arena",2,27,"Team Thorengruppen SK",1
"50","Daniel Böcker, Andreas Lybacken","JALAS® Arena",2,27,"AIK IBF",1
"51","Daniel Böcker, Andreas Lybacken","JALAS® Arena",2,27,"IBF Falun",2
"52","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",2,27,"FC Helsingborg",1
"53","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",2,27,"Linköping IBK",2
"54","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",2,27,"Höllvikens IBF",1
"55","Daniel Böcker, Andreas Lybacken","Lisebergshallen",1,27,"Pixbo Wallenstam IBK",1
"56","Daniel Böcker, Andreas Lybacken","Lisebergshallen",1,27,"IBF Falun",1
"57","Daniel Böcker, Andreas Lybacken","Nyhemshallen - Mullsjö",2,27,"Team Thorengruppen SK",1
