"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:28","","Malin Damgren","Göteborg","Period1","Otillåten trängning",2,"Göteborg - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"2","Utvisning","00:29","","Elin Normark","Gästrikland","Period2","Hårt spel 2",2,"Göteborg - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"3","Utvisning","02:16","","Anna Berglind","Gästrikland","Period3","Obstruktion",2,"Göteborg - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"4","Utvisning","10:15","","Ebba Sporrong","Göteborg","Period3","Hårt spel 5",5,"Göteborg - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"5","Utvisning","14:48","","Maja Wahlgren","Södermanland","Period3","Hårt spel 2",2,"Stockholm - Södermanland","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"6","Utvisning","01:30","","Maja Wahlgren","Södermanland","Period1","Slag",2,"Södermanland - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"7","Utvisning","11:31","","Nelly Thomasdotter","Södermanland","Period3","Slag",2,"Södermanland - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"8","Utvisning","14:21","","Ebba Bognesand","Gästrikland","Period3","Fasthållning",2,"Södermanland - Gästrikland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"9","Utvisning","02:17","","Ebba Sporrong","Göteborg","Period1","Spel utan klubba",2,"Göteborg - Södermanland","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"10","Utvisning","04:04","","Matilda Lindgren","Södermanland","Period1","Slag",2,"Göteborg - Södermanland","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"11","Utvisning","00:50","","Anna Svedman","Göteborg","Period2","Hårt spel 2",2,"Göteborg - Södermanland","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"12","Utvisning","12:27","","Elin Wemmer","Södermanland","Period2","Slag",2,"Göteborg - Södermanland","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"13","Utvisning","13:00","","Frida Berntson","Bohuslän-Dal","Period1","Låsning av klubba",2,"Gästrikland - Bohuslän-Dal","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"14","Utvisning","14:37","","Ebba Bognesand","Gästrikland","Period2","Otillåten trängning",2,"Gästrikland - Bohuslän-Dal","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"15","Utvisning","03:30","","Rebecca Larsson","Göteborg","Period2","Fördröjande av spelet",2,"Göteborg - Bohuslän-Dal","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"16","Utvisning","04:49","","Klara Gustafsson","Bohuslän-Dal","Period2","Fasthållning",2,"Göteborg - Bohuslän-Dal","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"17","Utvisning","10:11","","Malin Damgren","Göteborg","Period2","Slag",2,"Göteborg - Bohuslän-Dal","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"18","Utvisning","03:58","","Emelina Persson","Bohuslän-Dal","Period3","Otillåten trängning",2,"Göteborg - Bohuslän-Dal","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"19","Utvisning","10:35","","Elvira Bäcklin","Gästrikland","Period1","Slag",2,"Stockholm - Gästrikland","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"20","Utvisning","14:11","","Vilma Nilsson de Gysser","Stockholm","Period1","Hög klubba",2,"Stockholm - Gästrikland","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"21","Utvisning","15:00","","Ebba Berglund","Gästrikland","Period2","Slag",2,"Stockholm - Gästrikland","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"22","Utvisning","12:24","","Isabel Balzano","Stockholm","Period3","Obstruktion",2,"Stockholm - Gästrikland","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"23","Utvisning","00:14","","Filippa Ahlqvist","Örebro","Period2","Otillåten trängning",2,"Småland - Örebro","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"24","Utvisning","07:37","","Märta Berg Jöesaar","Örebro","Period3","Hands",2,"Småland - Örebro","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"25","Utvisning","09:59","","Agnes Inemo ","Småland","Period3","Fasthållning",2,"Småland - Örebro","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"26","Utvisning","04:59","","Amanda Dåverklo","Uppland","Period1","Otillåten trängning",2,"Uppland - Gästrikland","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"27","Utvisning","14:48","","Lovisa Åström","Gästrikland","Period2","Slag",2,"Uppland - Gästrikland","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"28","Utvisning","08:50","","Rafaella Sandström","Uppland","Period3","Obstruktion",2,"Uppland - Gästrikland","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"29","Utvisning","09:46","","Alice Winges","Gästrikland","Period3","Slag",2,"Uppland - Gästrikland","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"30","Utvisning","11:01","","Elsa Sild Löhman","Uppland","Period3","Obstruktion",2,"Uppland - Gästrikland","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"31","Utvisning","05:08","","Lovisa Åström","Gästrikland","Period2","Spel utan klubba",2,"Småland - Gästrikland","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"32","Utvisning","10:43","","Åsa Ekblad","Uppland","Period1","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"33","Utvisning","11:31","","Jonna Vuontisvaara","Uppland","Period1","Lyftning av klubba",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"34","Utvisning","03:40","","Vera Mikkelsen","Uppland","Period2","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"35","Utvisning","07:33","","Tilde Lindberg","Örebro","Period2","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"36","Utvisning","10:32","","Linn Lötstrand","Örebro","Period2","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"37","Utvisning","02:41","","Vilma Olsson","Uppland","Period3","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"38","Utvisning","10:18","","Elsa Sild Löhman","Uppland","Period3","Liggande spel",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"39","Utvisning","02:43","","Shanaz Nabipour","Örebro","Period4","Slag",2,"Uppland - Örebro","Per Fallbjörk","Morgan Poopuu","Per Fallbjörk, Morgan Poopuu"
"40","Utvisning","10:04","","Sara Thunegard","Gotland","Period1","Slag",2,"Hälsingland/Jämtland - Gotland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"41","Utvisning","04:48","","Hannah Alvesborg","Gotland","Period2","Slag",2,"Hälsingland/Jämtland - Gotland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"42","Utvisning","01:29","","Elin Åström","Hälsingland/Jämtland","Period3","Slag",2,"Hälsingland/Jämtland - Gotland","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"43","Utvisning","04:50","","Klara Faxén","Halland","Period2","Fördröjande av spelet",2,"Blekinge - Halland","Therese Edin","Therese Jensen","Therese Edin, Therese Jensen"
"44","Utvisning","11:13","","Tea Ekman","Halland","Period2","Slag",2,"Blekinge - Halland","Therese Edin","Therese Jensen","Therese Edin, Therese Jensen"
"45","Utvisning","01:32","","Tea Ekman","Halland","Period2","Låsning av klubba",2,"Halland - Bohuslän-Dal","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"46","Utvisning","05:44","","Elin Forsberg ","Bohuslän-Dal","Period2","Liggande spel",2,"Halland - Bohuslän-Dal","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"47","Utvisning","12:18","","Felicia Beckius","Halland","Period2","Obstruktion",2,"Halland - Bohuslän-Dal","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
