"","Referee","TotalCount"
"1","Anders Fredriksson, Johnny Lindberg",7
"2","Daniel Kölborn, Madelene Westerberg",10
"3","David Dornlöv, Hussein Ibrahim",5
"4","Erik Hindemith, Fredrik Lundborg",3
"5","Jimmy Halldin, Erik Hörnros",2
"6","Jonas Apelqvist, Axel Sagdahl",10
"7","Josefine Hedelind, Liz Lyander",7
"8","Ludwig Broadhall, Robert Nordin",5
"9","Malin Larsson, Linn Saveman",5
"10","Marcus Karlström, Edo Sabanovic",6
"11","Mats Erelund, Viktor Grahn",22
"12","Mattias Lönnborg, Mathias Olofsson",10
"13","Mona Franzon, Josefine Hedelind",4
"14","Per Fallbjörk, Morgan Poopuu",17
"15","Percy Lundkvist, Pierre Malmgren",5
"16","Peter Holmgren, Patrick Limé",6
"17","Roger Collin, Henrik Öberg",11
"18","Roger Nilsson, Peter Skogsberg",6
"19","Simon Broman, Martin Matti",1
"20","Therese Edin, Therese Jensen",1
"21","Therese Jensen, Anastasia Oberlauf",7
"22","Tomas Edstrand, Rågher Godin",1
