"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","14:38","","Allbin Hallberg","Bohuslän-Dal","Period3","Otillåten trängning",2,"Bohuslän-Dal - Dalarna","Johan Holmåker","Jens Staaf","Johan Holmåker, Jens Staaf"
"2","Utvisning","08:11","","Axel Kronberg","Dalarna","Period1","Slag",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"3","Utvisning","10:35","","Elias Lindström","Dalarna","Period1","Slag",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"4","Utvisning","11:57","","Elias Lindström","Dalarna","Period2","Slag",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"5","Utvisning","07:54","","Markus von Below","Östergötland","Period3","Slag",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"6","Utvisning","12:59","","Mattias Stark","Dalarna","Period3","Otillåten trängning",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"7","Utvisning","12:59","","Elliot Råström","Dalarna","Period3","Slag",2,"Dalarna - Östergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"8","Utvisning","09:24","","Julian Völcker","Bohuslän-Dal","Period1","Låsning av klubba",2,"Bohuslän-Dal - Stockholm","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"9","Utvisning","00:00","","","Stockholm","Period3","Fördröjande av spelet",2,"Bohuslän-Dal - Stockholm","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"10","Utvisning","13:55","","Oliwer Eriksson","Bohuslän-Dal","Period3","Slag",2,"Bohuslän-Dal - Stockholm","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"11","Utvisning","11:23","","Adam Andersson","Västmanland","Period1","Slag",2,"Västmanland - Skåne","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"12","Utvisning","07:10","","Oscar Skog","Skåne","Period2","Slag",2,"Västmanland - Skåne","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"13","Utvisning","06:50","","Simon Håkansson","Jämtland/Härjedalen","Period2","Hårt spel 2",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"14","Utvisning","07:19","","Wille Gustavsson","Dalarna","Period2","Slag",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"15","Utvisning","07:27","","Isak Timan","Jämtland/Härjedalen","Period2","Slag",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"16","Utvisning","12:37","","Lucas Modin","Dalarna","Period2","Felaktigt byte",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"17","Utvisning","08:06","","Oscar Flodin","Jämtland/Härjedalen","Period3","Slag",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"18","Utvisning","13:49","","Mattias Stark","Dalarna","Period3","Låsning av klubba",2,"Dalarna - Jämtland/Härjedalen","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"19","Utvisning","11:18","","Elias Lindström","Dalarna","Period2","Slag",2,"Västmanland - Dalarna","Daniel Kölborn","Madelene Westerberg","Daniel Kölborn, Madelene Westerberg"
"20","Utvisning","08:21","","Calle Carlsson","Jämtland/Härjedalen","Period1","För många spelare på plan",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"21","Utvisning","13:08","","Emil Malmrot","Jämtland/Härjedalen","Period2","Slag",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"22","Utvisning","14:59","","Anton Andreasson","Jämtland/Härjedalen","Period2","Obstruktion",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"23","Utvisning","08:48","","Casper Andreasson","Skåne","Period3","Slag",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"24","Utvisning","12:31","","Niklas Texmo","Jämtland/Härjedalen","Period3","Slag",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"25","Utvisning","13:57","","Axel Eriksson","Jämtland/Härjedalen","Period3","Slag",2,"Jämtland/Härjedalen - Skåne","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"26","Utvisning","11:02","","William Lång","Hälsingland","Period1","Slag",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"27","Utvisning","06:18","","William Lång","Hälsingland","Period2","Otillåten trängning",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"28","Utvisning","07:09","","Pontus Karlsson","Västergötland","Period2","Slag",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"29","Utvisning","07:39","","Albin Lindahl","Västergötland","Period2","Låsning av klubba",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"30","Utvisning","08:40","","Tim Danielsson","Hälsingland","Period2","Fördröjande av spelet",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"31","Utvisning","10:27","","Felix Stenbacka","Hälsingland","Period3","Hårt spel 2",2,"Västergötland - Hälsingland","Tony Cederholm","Therese Edin","Tony Cederholm, Therese Edin"
"32","Utvisning","05:52","","Daniel Steffenssen","Bohuslän-Dal","Period2","Otillåten trängning",2,"Norrbotten - Bohuslän-Dal","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"33","Utvisning","14:38","","Sebastian Brunzell","Bohuslän-Dal","Period3","Felaktigt byte",2,"Norrbotten - Bohuslän-Dal","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"34","Utvisning","14:59","","Victor Falkman","Bohuslän-Dal","Period2","Hårt spel 2",2,"Hälsingland - Bohuslän-Dal","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"35","Utvisning","08:19","","Melvin Bengtsson","Västergötland","Period1","Hårt spel 2",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"36","Utvisning","12:30","","Melker Gunillasson-Sevä","Norrbotten","Period1","Slag",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"37","Utvisning","00:07","","Sebastian Engman","Norrbotten","Period2","Otillåten trängning",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"38","Utvisning","10:06","","Melvin Bengtsson","Västergötland","Period2","Hårt spel 2",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"39","Utvisning","07:15","","Calle Mattlin","Västergötland","Period3","Slag",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"40","Utvisning","08:05","","Edvin Rehult","Norrbotten","Period3","Hög klubba",2,"Norrbotten - Västergötland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"41","Utvisning","06:26","","Max Svensson","Stockholm","Period1","Slag",2,"Stockholm - Småland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"42","Utvisning","09:08","","Ludvig Öberg","Småland","Period1","Slag",2,"Stockholm - Småland","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"43","Utvisning","12:25","","Julian Olsson","Gästrikland","Period1","Slag",2,"Gästrikland - Västerbotten","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"44","Utvisning","05:25","","Adam Ström","Gästrikland","Period2","Slag",2,"Gästrikland - Västerbotten","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
