"","Referee","TotalCount"
"1","Daniel Fathi-Najafi, Peter Novakovic",7
"2","Daniel Kölborn, Madelene Westerberg",1
"3","David Dornlöv, Hussein Ibrahim",4
"4","Erik Hindemith, Fredrik Lundborg",7
"5","Felix Ekholm, Henric Lundeborg",2
"6","Frans Dahlstedt, Tobias Levin",20
"7","Jimmy Halldin, Erik Hörnros",1
"8","Johan Holmåker, Jens Staaf",8
"9","Jonas Ottosson, Patrik Trofast",7
"10","Jonatan Lindberg, Erik Lundgren",9
"11","Magnus Rutqvist, Daniel Söderberg",4
"12","Marcus Karlström, Edo Sabanovic",6
"13","Martin Aspegren, Julian Poulsen Sosefo",7
"14","Martin Gustafsson, Andreas Svensson",15
"15","Mathias Stegrud, Daniel Söderberg",6
"16","Mattias Alm-Nielsen, Klas Sjölin",11
"17","Mikael Andersson, Leif Borglund",9
"18","Oliver Engström, Kevin Larsson",10
"19","Simon Broman, Martin Matti",16
"20","Tomas Edstrand, Rickard Olsen",2
"21","Tomas Edstrand, Rågher Godin",1
"22","Tony Cederholm, Manuel Garzon",4
"23","Tony Cederholm, Therese Edin",1
"24","Tony Olsson, Sigge Svensson Martell",10
