"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Andersson","Bräntbergsskolan",3,9,"Gimonäs Umeå IF/Ca-So",1
"2","Adam Andersson","Bräntbergsskolan",3,9,"Ersboda SK",1
"3","Adam Andersson","Bräntbergsskolan",3,9,"Gimonäs Umeå IF/To-Vit",1
"4","Adam Andersson","Bräntbergsskolan",3,9,"Sandåkerns SK",1
"5","Adam Andersson","Bräntbergsskolan",3,9,"Holmsund City IBC",2
"6","Adam Andersson","Midgårdshallen",2,9,"Umeå City IBF/Blå",1
"7","Adam Andersson","Midgårdshallen",2,9,"Hissjö SK/Vit",1
"8","Adam Andersson","Midgårdshallen",2,9,"Team Thorengruppen SK",1
"9","Adam Andersson","Midgårdshallen",2,9,"IBF Dalen /P06",1
"10","Adam Andersson","Sävaråhallen",2,9,"Gimonäs Umeå IF/To-Svart",1
"11","Adam Andersson","Sävaråhallen",2,9,"Sävar IK",1
"12","Adam Andersson","Sävaråhallen",2,9,"Sävar IK/F09",1
"13","Adam Andersson","Sävaråhallen",2,9,"Holmsund City IBC",1
"14","Adam Andersson","Täftehallen",2,9,"Täfteå IK",1
"15","Adam Andersson","Täftehallen",2,9,"Holmsund City IBC",1
"16","Adam Andersson","Täftehallen",2,9,"Ersboda SK",1
"17","Adam Andersson","Täftehallen",2,9,"Täfteå IK/F07-08",1
"18","Agnes Persson","Ersängshallen",1,16,"Ersboda SK",1
"19","Agnes Persson","Ersängshallen",1,16,"Röbäcks IF P-06",1
"20","Agnes Persson","Midgårdshallen",4,16,"Umeå City IBF/Vit",1
"21","Agnes Persson","Midgårdshallen",4,16,"Gimonäs Umeå IF",1
"22","Agnes Persson","Midgårdshallen",4,16,"Gimonäs Umeå IF/Vit",1
"23","Agnes Persson","Midgårdshallen",4,16,"Täfteå IK/2",1
"24","Agnes Persson","Midgårdshallen",4,16,"Umeå City IBF /Blå",1
"25","Agnes Persson","Midgårdshallen",4,16,"Sävar IK",1
"26","Agnes Persson","Midgårdshallen",4,16,"Obbola IK",1
"27","Agnes Persson","Midgårdshallen",4,16,"Umeå City IBF",1
"28","Agnes Persson","Umeå Energi Arena",2,16,"Team Thorengruppen SK",1
"29","Agnes Persson","Umeå Energi Arena",2,16,"Hissjö SK/Vit",1
"30","Agnes Persson","Umeå Energi Arena",2,16,"Umeå City IBF",1
"31","Agnes Persson","Umeå Energi Arena",2,16,"Holmsund City IBC",1
"32","Agnes Persson","Umeå Energi Arena Öst",2,16,"Röbäcks IF F07",1
"33","Agnes Persson","Umeå Energi Arena Öst",2,16,"Team Thorengruppen SK",1
"34","Agnes Persson","Umeå Energi Arena Öst",2,16,"Sandåkerns SK",1
"35","Agnes Persson","Umeå Energi Arena Öst",2,16,"Umeå City IBF",1
"36","Agnes Persson","Vildmannahallen",7,16,"Sävar IK",2
"37","Agnes Persson","Vildmannahallen",7,16,"Umeå City IBF/Vit",1
"38","Agnes Persson","Vildmannahallen",7,16,"Tegs SK IBF",1
"39","Agnes Persson","Vildmannahallen",7,16,"Röbäcks IF/Blå",1
"40","Agnes Persson","Vildmannahallen",7,16,"Hissjö SK",1
"41","Agnes Persson","Vildmannahallen",7,16,"Sandåkerns SK",2
"42","Agnes Persson","Vildmannahallen",7,16,"IBF Dalen",3
"43","Agnes Persson","Vildmannahallen",7,16,"Gimonäs Umeå IF/Ca-So",1
"44","Agnes Persson","Vildmannahallen",7,16,"Spöland Vännäs IF",1
"45","Agnes Persson","Vildmannahallen",7,16,"Umeå City IBF/BlåNorr",1
"46","Albin Berglund","Elofssonhallen",2,39,"Umeå City IBF/P02-03",1
"47","Albin Berglund","Elofssonhallen",2,39,"Obbola IK",1
"48","Albin Berglund","Elofssonhallen",2,39,"Sandåkerns SK",1
"49","Albin Berglund","Elofssonhallen",2,39,"Röbäcks IF",1
"50","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF /Vit2",1
"51","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF/P02-03",1
"52","Albin Berglund","Midgårdshallen",6,39,"Skellefteå IBK",1
"53","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF /Utv 4-5",1
"54","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF /Vit",1
"55","Albin Berglund","Midgårdshallen",6,39,"Team Thorengruppen SK F03",1
"56","Albin Berglund","Midgårdshallen",6,39,"Håknäs Idrottsförening",1
"57","Albin Berglund","Midgårdshallen",6,39,"Hissjö SK /IBF Dalen",1
"58","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF",1
"59","Albin Berglund","Midgårdshallen",6,39,"Gimonäs Umeå IF/P05Vit",1
"60","Albin Berglund","Midgårdshallen",6,39,"Gimonäs Umeå IF",1
"61","Albin Berglund","Midgårdshallen",6,39,"Umeå City IBF/P04Vit",1
"62","Albin Berglund","Sjöfruhallen",1,39,"Gimonäs Umeå IF",1
"63","Albin Berglund","Sjöfruhallen",1,39,"Kågedalens AIF",1
"64","Albin Berglund","Sporthallen Musköten",2,39,"IBF Dalen /IBS Dalen",1
"65","Albin Berglund","Sporthallen Musköten",2,39,"IBF Dalen/Sandåkerns SK",1
"66","Albin Berglund","Sporthallen Musköten",2,39,"Röbäcks IF",1
"67","Albin Berglund","Sporthallen Musköten",2,39,"Örnsköldsvik IBF /IBK",1
"68","Albin Berglund","Storsjöhallen",5,39,"Gimonäs Umeå IF/I/T/S/C/Å",1
"69","Albin Berglund","Storsjöhallen",5,39,"IBF Dalen",1
"70","Albin Berglund","Storsjöhallen",5,39,"Holmsund City IBC",4
"71","Albin Berglund","Storsjöhallen",5,39,"Umeå City IBF /Vit2",1
