"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse","Almåshallen B",1,1,"IBK Göteborg",1
"2","Adam Kruse","Almåshallen B",1,1,"Lindome IBK",1
"3","Adnan Tongur","Almåshallen B",1,1,"IBK Göteborg",1
"4","Adnan Tongur","Almåshallen B",1,1,"Lindome IBK",1
"5","Anders Asp","Folkungahallen",1,12,"Linköping IBK Ungdom",1
"6","Anders Asp","Folkungahallen",1,12,"Åstorp/Kvidinge IBS",1
"7","Anders Asp","Jakobsbergs Sporthall",1,12,"Åkersberga IBF",1
"8","Anders Asp","Jakobsbergs Sporthall",1,12,"Bele Barkarby IF IBF",1
"9","Anders Asp","Kristiansborgshallen",3,12,"Västerås IBS",2
"10","Anders Asp","Kristiansborgshallen",3,12,"Rönnby Västerås IBK Ungdom",2
"11","Anders Asp","Kristiansborgshallen",3,12,"Karlstad IBF Ungdom",1
"12","Anders Asp","Kristiansborgshallen",3,12,"IBK Lockerud Mariestad",1
"13","Anders Asp","Sjöstadshallen",2,12,"Sundsvalls IBF",1
"14","Anders Asp","Sjöstadshallen",2,12,"Strömsbro IF",1
"15","Anders Asp","Sjöstadshallen",2,12,"Hammarby IF IBF",2
"16","Anders Asp","Stenhagen BoKC",1,12,"Hammarby IF IBF",1
"17","Anders Asp","Stenhagen BoKC",1,12,"Stenhagens KK",1
"18","Anders Asp","Sundsvalls Sporthall-A",1,12,"Sundsvalls IBF",1
"19","Anders Asp","Sundsvalls Sporthall-A",1,12,"IKSU Ungdom",1
"20","Anders Asp","Vasahallen",1,12,"Pixbo Wallenstam IBF",1
"21","Anders Asp","Vasahallen",1,12,"Västra Mälardalen IB",1
"22","Anders Asp","Västertorpshallen",1,12,"Älvsjö AIK IBF",1
"23","Anders Asp","Västertorpshallen",1,12,"Hammarby IF IBF",1
"24","Anders Asp","Åkersberga Sporthall A",1,12,"IBF Dalen",1
"25","Anders Asp","Åkersberga Sporthall A",1,12,"Åkersberga IBF",1
"26","Anders Fredriksson","Karlbergshallen (KB-Hallen)",1,8,"Västra Mälardalen IB",1
"27","Anders Fredriksson","Karlbergshallen (KB-Hallen)",1,8,"Karlstad IBF Ungdom",1
"28","Anders Fredriksson","Kristiansborgshallen",2,8,"Hagfors IF Uddeholm",1
"29","Anders Fredriksson","Kristiansborgshallen",2,8,"Rönnby Västerås IBK Ungdom",2
"30","Anders Fredriksson","Kristiansborgshallen",2,8,"IBK Lockerud Mariestad",1
"31","Anders Fredriksson","Sporthallen Musköten",1,8,"RIG Umeå IBF",1
"32","Anders Fredriksson","Sporthallen Musköten",1,8,"Strömsbro IF",1
"33","Anders Fredriksson","Uddeholm Arena",2,8,"Hagfors IF Uddeholm",2
"34","Anders Fredriksson","Uddeholm Arena",2,8,"Fröjereds IF",1
"35","Anders Fredriksson","Uddeholm Arena",2,8,"IBK Lockerud Mariestad",1
"36","Anders Fredriksson","Umeå Energi Arena",2,8,"Örnsköldsvik IBK",1
"37","Anders Fredriksson","Umeå Energi Arena",2,8,"IBF Dalen",1
"38","Anders Fredriksson","Umeå Energi Arena",2,8,"IBF Falun",1
"39","Anders Fredriksson","Umeå Energi Arena",2,8,"Team Thorengruppen SK",1
"40","Anders Stenberg","Kalmar Sporthall A-hall",2,2,"FBC Kalmarsund",2
"41","Anders Stenberg","Kalmar Sporthall A-hall",2,2,"Åstorp/Kvidinge IBS",1
"42","Anders Stenberg","Kalmar Sporthall A-hall",2,2,"Hagfors IF Uddeholm",1
"43","Anders Westerberg","Jakobsbergs Sporthall",1,3,"Bele Barkarby IF IBF",1
"44","Anders Westerberg","Jakobsbergs Sporthall",1,3,"IBF Dalen",1
"45","Anders Westerberg","Stenhagen BoKC",1,3,"Notvikens IK",1
"46","Anders Westerberg","Stenhagen BoKC",1,3,"Stenhagens KK",1
"47","Anders Westerberg","Åkersberga Sporthall A",1,3,"IKSU Ungdom",1
"48","Anders Westerberg","Åkersberga Sporthall A",1,3,"Åkersberga IBF",1
"49","Andreas Eriksson","Midgårdshallen",1,2,"Team Thorengruppen SK",1
"50","Andreas Eriksson","Midgårdshallen",1,2,"Strömsbro IF",1
"51","Andreas Eriksson","Umeå Energi Arena Väst",1,2,"Team Thorengruppen SK",1
"52","Andreas Eriksson","Umeå Energi Arena Väst",1,2,"IBF Dalen",1
"53","Andreas Holm","Folkungahallen",1,1,"Lindome IBK",1
"54","Andreas Holm","Folkungahallen",1,1,"IBF Linköping",1
"55","Arash Sohrevardi","Alfahallen - Gavlehov",1,19,"Strömsbro IF",1
"56","Arash Sohrevardi","Alfahallen - Gavlehov",1,19,"Hammarby IF IBF",1
