"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Sjöfruhallen",1,2,"Kågedalens AIF",1
"2","Albin Berglund","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"3","Albin Berglund","Sävaråhallen",1,2,"Sävar IK",1
"4","Albin Berglund","Sävaråhallen",1,2,"Kågedalens AIF",1
"5","Alvina Mukkala","Vildmannahallen",1,1,"Kågedalens AIF",1
"6","Alvina Mukkala","Vildmannahallen",1,1,"Sandåkerns SK",1
"7","Anastasia Oberlauf","Vildmannahallen",1,1,"Ersboda SK",1
"8","Anastasia Oberlauf","Vildmannahallen",1,1,"Sandåkerns SK",1
"9","Anders Öbergh","Köpmanholmens Sporthall",1,5,"Gullänget-Kroksta IBS",1
"10","Anders Öbergh","Köpmanholmens Sporthall",1,5,"Kågedalens AIF",1
"11","Anders Öbergh","Skyttis Arena",3,5,"Spöland Vännäs IF",1
"12","Anders Öbergh","Skyttis Arena",3,5,"Röbäcks IF",1
"13","Anders Öbergh","Skyttis Arena",3,5,"Gullänget-Kroksta IBS",1
"14","Anders Öbergh","Skyttis Arena",3,5,"Sävar IK",1
"15","Anders Öbergh","Skyttis Arena",3,5,"Örnsköldsvik IBF",2
"16","Anders Öbergh","Örnsköldsviks Sporthall",1,5,"Örnsköldsvik IBF",1
"17","Anders Öbergh","Örnsköldsviks Sporthall",1,5,"Ersboda SK",1
"18","Andreas Eriksson","Hammarhallen Vännäs",2,6,"Sandåkerns SK",1
"19","Andreas Eriksson","Hammarhallen Vännäs",2,6,"Örnsköldsvik IBF",1
"20","Andreas Eriksson","Hammarhallen Vännäs",2,6,"Spöland Vännäs IF",2
"21","Andreas Eriksson","Midgårdshallen",1,6,"Spöland Vännäs IF",1
"22","Andreas Eriksson","Midgårdshallen",1,6,"Ersboda SK",1
"23","Andreas Eriksson","Sjöfruhallen",2,6,"Sandåkerns SK",1
"24","Andreas Eriksson","Sjöfruhallen",2,6,"Spöland Vännäs IF",1
"25","Andreas Eriksson","Sjöfruhallen",2,6,"Gimonäs Umeå IF",2
"26","Andreas Eriksson","Vildmannahallen",1,6,"Sandåkerns SK",1
"27","Andreas Eriksson","Vildmannahallen",1,6,"Röbäcks IF",1
"28","Bjarne Andersson","Ersängshallen",1,3,"Gimonäs Umeå IF",1
"29","Bjarne Andersson","Ersängshallen",1,3,"Ersboda SK",1
