"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Midgårdshallen",1,7,"Gimonäs Umeå IF",1
"2","Albin Berglund","Midgårdshallen",1,7,"Team Thorengruppen SK F03",1
"3","Albin Berglund","Sporthallen Musköten",1,7,"Röbäcks IF",1
"4","Albin Berglund","Sporthallen Musköten",1,7,"IBF Dalen/Sandåkerns SK",1
"5","Albin Berglund","Storsjöhallen",1,7,"Täfteå IK /Sävar IK",1
"6","Albin Berglund","Storsjöhallen",1,7,"Holmsund City IBC /GUIF",1
"7","Albin Berglund","Sävaråhallen",2,7,"Gullänget-Kroksta IBS",1
"8","Albin Berglund","Sävaråhallen",2,7,"IBF Dalen E-F",1
"9","Albin Berglund","Sävaråhallen",2,7,"Sävar IK/Täfteå IK",2
"10","Albin Berglund","Täftehallen",2,7,"IBF Dalen C-D",2
"11","Albin Berglund","Täftehallen",2,7,"Täfteå IK /Sävar IK",2
"12","Alexandra Nimrodsson","Storsjöhallen",2,3,"Spöland Vännäs IF",1
"13","Alexandra Nimrodsson","Storsjöhallen",2,3,"Vindelns IF",1
"14","Alexandra Nimrodsson","Storsjöhallen",2,3,"Holmsund City IBC /GUIF",2
"15","Alexandra Nimrodsson","Vildmannahallen",1,3,"Umeå City IBF /F03Blå",1
"16","Alexandra Nimrodsson","Vildmannahallen",1,3,"Gamla Stan IBK",1
"17","Alvin Gustavsson","Balderhallen B",2,2,"Umeå City IBF /F03Blå",1
"18","Alvin Gustavsson","Balderhallen B",2,2,"Kågedalens AIF",1
"19","Alvin Gustavsson","Balderhallen B",2,2,"Gamla Stan IBK",1
"20","Alvin Gustavsson","Balderhallen B",2,2,"Gullänget-Kroksta IBS",1
"21","Alvina Mukkala","Elofssonhallen",2,15,"Vindelns IF",1
"22","Alvina Mukkala","Elofssonhallen",2,15,"Röbäcks IF",1
"23","Alvina Mukkala","Elofssonhallen",2,15,"Obbola IK",1
"24","Alvina Mukkala","Elofssonhallen",2,15,"Röbäcks IF",1
"25","Alvina Mukkala","Ersängshallen",1,15,"Ersboda SK",1
"26","Alvina Mukkala","Ersängshallen",1,15,"Obbola IK",1
"27","Alvina Mukkala","Hammarhallen Vännäs",6,15,"Spöland Vännäs IF",3
"28","Alvina Mukkala","Hammarhallen Vännäs",6,15,"Vindelns IF",1
"29","Alvina Mukkala","Hammarhallen Vännäs",6,15,"Täfteå IK /Sävar IK",1
