"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson","Midgårdshallen",1,2,"Hissjö SK",1
"2",2,"Adam Andersson","Midgårdshallen",1,2,"Team Thorengruppen SK",1
"3",3,"Adam Andersson","Täftehallen",1,2,"Ersboda SK",1
"4",4,"Adam Andersson","Täftehallen",1,2,"Täfteå IK",1
"5",5,"Agnes Persson","Midgårdshallen",1,5,"Gimonäs Umeå IF",1
"6",6,"Agnes Persson","Midgårdshallen",1,5,"Umeå City IBF",1
"7",7,"Agnes Persson","Umeå Energi Arena",2,5,"Holmsund City IBC",1
"8",8,"Agnes Persson","Umeå Energi Arena",2,5,"Team Thorengruppen SK",1
"9",9,"Agnes Persson","Umeå Energi Arena",2,5,"Umeå City IBF",1
"10",10,"Agnes Persson","Umeå Energi Arena",2,5,"Hissjö SK",1
"11",11,"Agnes Persson","Umeå Energi Arena Öst",2,5,"Team Thorengruppen SK",1
"12",12,"Agnes Persson","Umeå Energi Arena Öst",2,5,"Sandåkerns SK",1
"13",13,"Agnes Persson","Umeå Energi Arena Öst",2,5,"Röbäcks IF",1
"14",14,"Agnes Persson","Umeå Energi Arena Öst",2,5,"Umeå City IBF",1
"15",15,"Alex Levander","Örjanshallen",3,3,"Bureå IF",1
"16",16,"Alex Levander","Örjanshallen",3,3,"Boliden FFI",1
"17",17,"Alex Levander","Örjanshallen",3,3,"Clemensnäs IF",2
"18",18,"Alex Levander","Örjanshallen",3,3,"Gamla Stan IBK",1
"19",19,"Alex Levander","Örjanshallen",3,3,"Rönnskär Railcare IF",1
"20",20,"Alexander Holmgren","Sjöfruhallen",1,5,"Gimonäs Umeå IF",1
"21",21,"Alexander Holmgren","Sjöfruhallen",1,5,"Vindelns IF",1
"22",22,"Alexander Holmgren","Sporthallen Musköten",1,5,"Gimonäs Umeå IF",1
"23",23,"Alexander Holmgren","Sporthallen Musköten",1,5,"IBF Dalen",1
"24",24,"Alexander Holmgren","Sävaråhallen",2,5,"Gimonäs Umeå IF",1
"25",25,"Alexander Holmgren","Sävaråhallen",2,5,"Hörnefors IF",1
"26",26,"Alexander Holmgren","Sävaråhallen",2,5,"Sävar IK",2
"27",27,"Alexander Holmgren","Täftehallen",1,5,"Gimonäs Umeå IF",1
"28",28,"Alexander Holmgren","Täftehallen",1,5,"Täfteå IK",1
"29",29,"Alexandra Nimrodsson","Storsjöhallen",1,1,"Sandåkerns SK",1
"30",30,"Alexandra Nimrodsson","Storsjöhallen",1,1,"Holmsund City IBC",1
"31",31,"Alva Bergström","Olasjöhallen",1,1,"Obbola IK",1
"32",32,"Alva Bergström","Olasjöhallen",1,1,"Hissjö SK",1
"33",33,"Alva Forss","Tegs Centralskola",1,7,"Vindelns IF",1
"34",34,"Alva Forss","Tegs Centralskola",1,7,"IBF Dalen",1
"35",35,"Alva Forss","Umeå Energi Arena",2,7,"Team Thorengruppen SK",1
"36",36,"Alva Forss","Umeå Energi Arena",2,7,"Umeå City IBF",1
