"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Agnes Persson","Vildmannahallen",1,1,"Umeå City IBF",1
"2",2,"Agnes Persson","Vildmannahallen",1,1,"IBF Dalen",1
"3",3,"Albin Berglund","Elofssonhallen",1,5,"Röbäcks IF",1
"4",4,"Albin Berglund","Elofssonhallen",1,5,"Sandåkerns SK",1
"5",5,"Albin Berglund","Storsjöhallen",1,5,"Gimonäs Umeå IF",1
"6",6,"Albin Berglund","Storsjöhallen",1,5,"Holmsund City IBC",1
"7",7,"Albin Berglund","Sävaråhallen",2,5,"IBF Dalen",1
"8",8,"Albin Berglund","Sävaråhallen",2,5,"Sävar IK",2
"9",9,"Albin Berglund","Sävaråhallen",2,5,"Ersboda SK",1
"10",10,"Albin Berglund","Vildmannahallen",1,5,"IBF Dalen",1
"11",11,"Albin Berglund","Vildmannahallen",1,5,"Sandåkerns SK",1
"12",12,"Albin Lycksell","Balderhallen B",2,2,"Bureå IF ",1
"13",13,"Albin Lycksell","Balderhallen B",2,2,"Kågedalens AIF ",1
"14",14,"Albin Lycksell","Balderhallen B",2,2,"Rönnskär Railcare IF ",1
"15",15,"Albin Lycksell","Balderhallen B",2,2,"Skellefteå IBS ",1
"16",16,"Alexander Holmgren","Sävaråhallen",2,2,"Gimonäs Umeå IF",1
"17",17,"Alexander Holmgren","Sävaråhallen",2,2,"Sävar IK",1
"18",18,"Alexander Holmgren","Sävaråhallen",2,2,"Sävar IK",1
"19",19,"Alexander Holmgren","Sävaråhallen",2,2,"Holmsund City IBC",1
"20",20,"Alexandra Nimrodsson","Elofssonhallen",1,7,"Röbäcks IF",1
"21",21,"Alexandra Nimrodsson","Elofssonhallen",1,7,"Obbola IK",1
"22",22,"Alexandra Nimrodsson","Midgårdshallen",2,7,"Umeå City IBF",1
"23",23,"Alexandra Nimrodsson","Midgårdshallen",2,7,"Umeå City IBF",1
"24",24,"Alexandra Nimrodsson","Midgårdshallen",2,7,"Täfteå IK",1
"25",25,"Alexandra Nimrodsson","Midgårdshallen",2,7,"IBF Dalen",1
"26",26,"Alexandra Nimrodsson","Sporthallen Musköten",1,7,"IBF Dalen",1
"27",27,"Alexandra Nimrodsson","Sporthallen Musköten",1,7,"Holmsund City IBC",1
"28",28,"Alexandra Nimrodsson","Storsjöhallen",1,7,"IBF Dalen",1
"29",29,"Alexandra Nimrodsson","Storsjöhallen",1,7,"Holmsund City IBC",1
"30",30,"Alexandra Nimrodsson","Sävaråhallen",1,7,"Sävar IK",1
"31",31,"Alexandra Nimrodsson","Sävaråhallen",1,7,"Umeå City IBF",1
"32",32,"Alexandra Nimrodsson","Vildmannahallen",1,7,"Hissjö SK",1
"33",33,"Alexandra Nimrodsson","Vildmannahallen",1,7,"Obbola IK",1
"34",34,"Alva Forss","Ersängshallen",2,5,"Täfteå IK",1
"35",35,"Alva Forss","Ersängshallen",2,5,"Ersmarks IK",2
"36",36,"Alva Forss","Ersängshallen",2,5,"Holmsund City IBC",1
"37",37,"Alva Forss","Vildmannahallen",3,5,"IBF Dalen",1
"38",38,"Alva Forss","Vildmannahallen",3,5,"Hissjö SK",1
"39",39,"Alva Forss","Vildmannahallen",3,5,"Gimonäs Umeå IF",1
"40",40,"Alva Forss","Vildmannahallen",3,5,"Umeå City IBF",1
"41",41,"Alva Forss","Vildmannahallen",3,5,"Umeå City IBF",1
"42",42,"Alva Forss","Vildmannahallen",3,5,"Umeå City IBF",1
"43",43,"Alvin Gustavsson","Balderhallen A",3,8,"Kågedalens AIF ",3
"44",44,"Alvin Gustavsson","Balderhallen A",3,8,"Skellefteå IBK ",1
"45",45,"Alvin Gustavsson","Balderhallen A",3,8,"Skellefteå IBK ",2
"46",46,"Alvin Gustavsson","Balderhallen B",4,8,"Bureå IF ",1
"47",47,"Alvin Gustavsson","Balderhallen B",4,8,"Bureå IF ",1
"48",48,"Alvin Gustavsson","Balderhallen B",4,8,"Gamla Stan IBK ",1
"49",49,"Alvin Gustavsson","Balderhallen B",4,8,"Skellefteå IBK ",1
"50",50,"Alvin Gustavsson","Balderhallen B",4,8,"Skellefteå IBS ",1
"51",51,"Alvin Gustavsson","Balderhallen B",4,8,"Gamla Stan IBK ",1
"52",52,"Alvin Gustavsson","Balderhallen B",4,8,"Rönnskär Railcare IF ",1
"53",53,"Alvin Gustavsson","Balderhallen B",4,8,"Skellefteå IBS ",1
"54",54,"Alvin Gustavsson","Lejonströmshallen",1,8,"Kågedalens AIF ",1
"55",55,"Alvin Gustavsson","Lejonströmshallen",1,8,"Gamla Stan IBK ",1
"56",56,"Alvina Mukkala","Elofssonhallen",2,11,"Röbäcks IF",1
"57",57,"Alvina Mukkala","Elofssonhallen",2,11,"Obbola IK",1
"58",58,"Alvina Mukkala","Elofssonhallen",2,11,"Gimonäs Umeå IF",1
"59",59,"Alvina Mukkala","Elofssonhallen",2,11,"Röbäcks IF",1
"60",60,"Alvina Mukkala","Ersängshallen",1,11,"Umeå City IBF",1
"61",61,"Alvina Mukkala","Ersängshallen",1,11,"Ersboda SK",1
"62",62,"Alvina Mukkala","Hammarhallen Vännäs",2,11,"Spöland Vännäs IF",1
"63",63,"Alvina Mukkala","Hammarhallen Vännäs",2,11,"Holmsund City IBC",1
"64",64,"Alvina Mukkala","Hammarhallen Vännäs",2,11,"Spöland Vännäs IF",1
"65",65,"Alvina Mukkala","Hammarhallen Vännäs",2,11,"Team Thorengruppen SK",1
"66",66,"Alvina Mukkala","Midgårdshallen",2,11,"Röbäcks IF",1
"67",67,"Alvina Mukkala","Midgårdshallen",2,11,"Ersboda SK",1
"68",68,"Alvina Mukkala","Midgårdshallen",2,11,"Umeå City IBF",1
"69",69,"Alvina Mukkala","Midgårdshallen",2,11,"Umeå City IBF",1
"70",70,"Alvina Mukkala","Sjöfruhallen",1,11,"Obbola IK",1
"71",71,"Alvina Mukkala","Sjöfruhallen",1,11,"Gimonäs Umeå IF",1
"72",72,"Alvina Mukkala","Sporthallen Musköten",2,11,"Umeå City IBF",1
"73",73,"Alvina Mukkala","Sporthallen Musköten",2,11,"Holmsund City IBC",1
"74",74,"Alvina Mukkala","Sporthallen Musköten",2,11,"IBF Dalen",2
"75",75,"Alvina Mukkala","Vildmannahallen",1,11,"Röbäcks IF",1
"76",76,"Alvina Mukkala","Vildmannahallen",1,11,"Sandåkerns SK",1
"77",77,"Amelia Forsgren","Sjöfruhallen",1,1,"Sävar IK",1
"78",78,"Amelia Forsgren","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"79",79,"Andreas Eriksson","Ersängshallen",1,3,"Umeå City IBF",1
"80",80,"Andreas Eriksson","Ersängshallen",1,3,"Ersboda SK",1
"81",81,"Andreas Eriksson","Sjöfruhallen",1,3,"Gimonäs Umeå IF",1
"82",82,"Andreas Eriksson","Sjöfruhallen",1,3,"Gimonäs Umeå IF",1
"83",83,"Andreas Eriksson","Vildmannahallen",1,3,"Umeå City IBF",1
"84",84,"Andreas Eriksson","Vildmannahallen",1,3,"Sävar IK",1
"85",85,"Andreas Åström","Balderhallen A",4,12,"Skellefteå IBK ",1
"86",86,"Andreas Åström","Balderhallen A",4,12,"Kågedalens AIF ",1
"87",87,"Andreas Åström","Balderhallen A",4,12,"Gamla Stan IBK ",1
"88",88,"Andreas Åström","Balderhallen A",4,12,"Skellefteå IBS ",1
"89",89,"Andreas Åström","Balderhallen A",4,12,"Bureå IF ",2
"90",90,"Andreas Åström","Balderhallen A",4,12,"Clemensnäs IF ",1
"91",91,"Andreas Åström","Balderhallen A",4,12,"Skellefteå IBK ",1
"92",92,"Andreas Åström","Balderhallen B",4,12,"Gamla Stan IBK ",1
"93",93,"Andreas Åström","Balderhallen B",4,12,"Skellefteå IBK ",1
"94",94,"Andreas Åström","Balderhallen B",4,12,"Skellefteå IBS ",1
"95",95,"Andreas Åström","Balderhallen B",4,12,"Bureå IF ",1
"96",96,"Andreas Åström","Balderhallen B",4,12,"Bureå IF ",1
"97",97,"Andreas Åström","Balderhallen B",4,12,"Skellefteå IBK ",1
"98",98,"Andreas Åström","Balderhallen B",4,12,"Gamla Stan IBK ",1
"99",99,"Andreas Åström","Balderhallen B",4,12,"Skellefteå IBS ",1
"100",100,"Andreas Åström","Örjanshallen",4,12,"Bureå IF ",1
"101",101,"Andreas Åström","Örjanshallen",4,12,"Skellefteå IBK ",1
"102",102,"Andreas Åström","Örjanshallen",4,12,"Bureå IF ",1
"103",103,"Andreas Åström","Örjanshallen",4,12,"Clemensnäs IF ",2
