"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,5,"Ersboda SK",1
"2",2,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,5,"Gimonäs Umeå IF",1
"3",3,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,5,"Sandåkerns SK",1
"4",4,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,5,"Holmsund City IBC",2
"5",5,"Adam Andersson, Lucas Arvidsson","Bräntbergsskolan",3,5,"Gimonäs Umeå IF",1
"6",6,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,5,"Gimonäs Umeå IF",1
"7",7,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,5,"Holmsund City IBC",1
"8",8,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,5,"Sävar IK",1
"9",9,"Adam Andersson, Lucas Arvidsson","Sävaråhallen",2,5,"Sävar IK",1
"10",10,"Agnes Persson, Robert Segerstedt","Midgårdshallen",1,1,"Täfteå IK",1
"11",11,"Agnes Persson, Robert Segerstedt","Midgårdshallen",1,1,"Sävar IK",1
"12",12,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Rönnskär Railcare IF",2
"13",13,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Byske IF",1
"14",14,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Kågedalens AIF",1
"15",15,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Gamla Stan IBK",1
"16",16,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Kågedalens AIF",1
"17",17,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Kågedalens AIF",1
"18",18,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Skellefteå IBS",1
"19",19,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Skellefteå IBK",1
"20",20,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Rönnskär Railcare IF",1
"21",21,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Skellefteå IBK",2
"22",22,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Skellefteå IBK",1
"23",23,"Albin Lycksell, Anton Sundström","Campushallen",7,7,"Clemensnäs IF",1
"24",24,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Kågedalens AIF",1
"25",25,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Skellefteå IBK",1
"26",26,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Boliden FFI",1
"27",27,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Clemensnäs IF",1
"28",28,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Rönnskär Railcare IF",1
"29",29,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Skellefteå IBS",2
"30",30,"Alex Levander, Tim Marklund","Örjanshallen",4,4,"Skellefteå IBK",1
"31",31,"Alva Brannelid, Elina Paulsson","Bräntbergsskolan",3,13,"IBF Dalen",1
"32",32,"Alva Brannelid, Elina Paulsson","Bräntbergsskolan",3,13,"Umeå City IBF",2
"33",33,"Alva Brannelid, Elina Paulsson","Bräntbergsskolan",3,13,"IBF Dalen",1
"34",34,"Alva Brannelid, Elina Paulsson","Bräntbergsskolan",3,13,"Gimonäs Umeå IF",1
"35",35,"Alva Brannelid, Elina Paulsson","Bräntbergsskolan",3,13,"Röbäcks IF",1
"36",36,"Alva Brannelid, Elina Paulsson","Elofssonhallen",2,13,"IBF Dalen",1
"37",37,"Alva Brannelid, Elina Paulsson","Elofssonhallen",2,13,"Röbäcks IF",1
"38",38,"Alva Brannelid, Elina Paulsson","Elofssonhallen",2,13,"Hissjö SK",1
"39",39,"Alva Brannelid, Elina Paulsson","Elofssonhallen",2,13,"Gimonäs Umeå IF",1
"40",40,"Alva Brannelid, Elina Paulsson","Ersängshallen",2,13,"Sävar IK",1
"41",41,"Alva Brannelid, Elina Paulsson","Ersängshallen",2,13,"Sandåkerns SK",1
"42",42,"Alva Brannelid, Elina Paulsson","Ersängshallen",2,13,"Täfteå IK",1
"43",43,"Alva Brannelid, Elina Paulsson","Ersängshallen",2,13,"Ersboda SK",1
"44",44,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"IBF Dalen",2
"45",45,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Gimonäs Umeå IF",1
"46",46,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Vindelns IF",1
"47",47,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Holmsund City IBC",2
"48",48,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Gimonäs Umeå IF",1
"49",49,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Röbäcks IF",2
"50",50,"Alva Brannelid, Elina Paulsson","Storsjöhallen",5,13,"Gimonäs Umeå IF",1
"51",51,"Alva Brannelid, Elina Paulsson","Umeå Energi Arena Öst",1,13,"IBF Dalen",1
"52",52,"Alva Brannelid, Elina Paulsson","Umeå Energi Arena Öst",1,13,"Gimonäs Umeå IF",1
"53",53,"Alva Forss, Agnes Persson","Vildmannahallen",4,4,"Sävar IK",2
"54",54,"Alva Forss, Agnes Persson","Vildmannahallen",4,4,"IBF Dalen",2
"55",55,"Alva Forss, Agnes Persson","Vildmannahallen",4,4,"Gimonäs Umeå IF",1
"56",56,"Alva Forss, Agnes Persson","Vildmannahallen",4,4,"Hissjö SK",1
"57",57,"Alva Forss, Agnes Persson","Vildmannahallen",4,4,"Sandåkerns SK",2
"58",58,"Alva Nilsson, Ayla Öystilä","Hammarhallen Vännäs",3,6,"Obbola IK",1
"59",59,"Alva Nilsson, Ayla Öystilä","Hammarhallen Vännäs",3,6,"Ersboda SK",1
"60",60,"Alva Nilsson, Ayla Öystilä","Hammarhallen Vännäs",3,6,"Sävar IK",1
"61",61,"Alva Nilsson, Ayla Öystilä","Hammarhallen Vännäs",3,6,"Spöland Vännäs IF",1
"62",62,"Alva Nilsson, Ayla Öystilä","Hammarhallen Vännäs",3,6,"Hissjö SK",2
"63",63,"Alva Nilsson, Ayla Öystilä","Olasjöhallen",3,6,"Röbäcks IF",2
"64",64,"Alva Nilsson, Ayla Öystilä","Olasjöhallen",3,6,"Umeå City IBF",1
"65",65,"Alva Nilsson, Ayla Öystilä","Olasjöhallen",3,6,"Gimonäs Umeå IF",1
"66",66,"Alva Nilsson, Ayla Öystilä","Olasjöhallen",3,6,"IBF Dalen",1
"67",67,"Alva Nilsson, Ayla Öystilä","Olasjöhallen",3,6,"Obbola IK",1
"68",68,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Hörnefors IF",1
"69",69,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Röbäcks IF",2
"70",70,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"IBF Dalen",2
"71",71,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Vindelns IF",1
"72",72,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Sandåkerns SK",2
"73",73,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Sävar IK",1
"74",74,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Umeå City IBF",1
"75",75,"Alva Salo, Hannah Toots","Elofssonhallen",6,7,"Holmsund City IBC",2
"76",76,"Alva Salo, Hannah Toots","Midgårdshallen",1,7,"Sävar IK",1
"77",77,"Alva Salo, Hannah Toots","Midgårdshallen",1,7,"Gimonäs Umeå IF",1
"78",78,"Alva Salo, Hilda Skyttberg","Midgårdshallen",1,1,"Täfteå IK",1
"79",79,"Alva Salo, Hilda Skyttberg","Midgårdshallen",1,1,"IBF Dalen",1
"80",80,"Andreas Åström","Örjanshallen",2,2,"Rönnskär Railcare IF",1
"81",81,"Andreas Åström","Örjanshallen",2,2,"Kågedalens AIF",1
"82",82,"Andreas Åström","Örjanshallen",2,2,"Gamla Stan IBK",1
"83",83,"Andreas Åström","Örjanshallen",2,2,"Gamla Stan IBK",1
"84",84,"Anna Andersson, Moa Stödberg","Bråvallahallen",1,4,"Gimonäs Umeå IF",1
"85",85,"Anna Andersson, Moa Stödberg","Bråvallahallen",1,4,"Sandåkerns SK",1
"86",86,"Anna Andersson, Moa Stödberg","Midgårdshallen",3,4,"Gimonäs Umeå IF",2
"87",87,"Anna Andersson, Moa Stödberg","Midgårdshallen",3,4,"Hörnefors IF",1
