"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Westerberg","Skogsängshallen",1,2,"Täby FC",1
"2","Anders Westerberg","Skogsängshallen",1,2,"Salems IF",1
"3","Anders Westerberg","Thomas Arena",1,2,"Strängnäs IBK",1
"4","Anders Westerberg","Thomas Arena",1,2,"Granlo BK",1
"5","Andreas Holm","Jönköpings Idrottshus D-hall",2,7,"Onyx IBK",1
"6","Andreas Holm","Jönköpings Idrottshus D-hall",2,7,"Karlstad IBF",1
"7","Andreas Holm","Jönköpings Idrottshus D-hall",2,7,"Östra SK Jönköping",2
"8","Andreas Holm","Kirsebergs Sporthall",1,7,"Malmö FBC",1
"9","Andreas Holm","Kirsebergs Sporthall",1,7,"Åstorp/Kvidinge IBS",1
"10","Andreas Holm","Salming Arena",1,7,"Craftstadens IBK Oskarshamn",1
"11","Andreas Holm","Salming Arena",1,7,"Lindås IBK",1
"12","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",2,7,"Åstorp/Kvidinge IBS",1
"13","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",2,7,"Warberg IC",2
"14","Andreas Holm","Sparbanken Wictory Center, Salmingplanen",2,7,"Fagerhult Habo IBK",1
"15","Andreas Holm","Åstorps Sporthall",1,7,"Åstorp/Kvidinge IBS",1
"16","Andreas Holm","Åstorps Sporthall",1,7,"FBC Kalmarsund",1
"17","Andreas Lybacken","Eriksdalshallen",1,1,"Granlo BK",1
"18","Andreas Lybacken","Eriksdalshallen",1,1,"Djurgårdens IF IBS",1
"19","Andreas Svensson","Alfahallen - Gavlehov",1,11,"Gävle GIK",1
"20","Andreas Svensson","Alfahallen - Gavlehov",1,11,"Wibax Patriot IBK Piteå",1
"21","Andreas Svensson","Eriksdalshallen",1,11,"Wibax Patriot IBK Piteå",1
"22","Andreas Svensson","Eriksdalshallen",1,11,"Djurgårdens IF IBS",1
"23","Andreas Svensson","Fleminghallen",2,11,"Salems IF",1
"24","Andreas Svensson","Fleminghallen",2,11,"FBI Tullinge",2
"25","Andreas Svensson","Fleminghallen",2,11,"IBF Dalen",1
"26","Andreas Svensson","IFU Arena A",2,11,"Hagunda IF",2
"27","Andreas Svensson","IFU Arena A",2,11,"Gävle GIK",1
"28","Andreas Svensson","IFU Arena A",2,11,"Wibax Patriot IBK Piteå",1
"29","Andreas Svensson","Jönköpings Idrottshus D-hall",1,11,"Warberg IC",1
"30","Andreas Svensson","Jönköpings Idrottshus D-hall",1,11,"Östra SK Jönköping",1
"31","Andreas Svensson","Kalmar Sporthall A-hall",1,11,"Warberg IC",1
"32","Andreas Svensson","Kalmar Sporthall A-hall",1,11,"FBC Kalmarsund",1
"33","Andreas Svensson","Sundsvalls Sporthall-A",1,11,"Granlo BK",1
"34","Andreas Svensson","Sundsvalls Sporthall-A",1,11,"Wibax Patriot IBK Piteå",1
"35","Andreas Svensson","Tibblehallen CC",2,11,"IBF Dalen",1
"36","Andreas Svensson","Tibblehallen CC",2,11,"Täby FC",2
"37","Andreas Svensson","Tibblehallen CC",2,11,"Wibax Patriot IBK Piteå",1
"38","Björn Hedman","Eriksdalshallen",1,5,"Täby FC",1
"39","Björn Hedman","Eriksdalshallen",1,5,"Djurgårdens IF IBS",1
"40","Björn Hedman","IFU Arena A",1,5,"Granlo BK",1
"41","Björn Hedman","IFU Arena A",1,5,"Hagunda IF",1
"42","Björn Hedman","Kalmar Sporthall A-hall",1,5,"FBC Kalmarsund",1
"43","Björn Hedman","Kalmar Sporthall A-hall",1,5,"Visby IBK",1
"44","Björn Hedman","Rosvalla A",1,5,"Visby IBK",1
"45","Björn Hedman","Rosvalla A",1,5,"Onyx IBK",1
"46","Björn Hedman","Tibblehallen CC",1,5,"Täby FC",1
"47","Björn Hedman","Tibblehallen CC",1,5,"Salems IF",1
"48","Christoffer Markovski","Alfahallen - Gavlehov",2,4,"Gävle GIK",2
"49","Christoffer Markovski","Alfahallen - Gavlehov",2,4,"IBF Dalen",1
"50","Christoffer Markovski","Alfahallen - Gavlehov",2,4,"FBI Tullinge",1
"51","Christoffer Markovski","Norrmalmia Sph",1,4,"Strängnäs IBK",1
"52","Christoffer Markovski","Norrmalmia Sph",1,4,"Wibax Patriot IBK Piteå",1
"53","Christoffer Markovski","Skogsängshallen",1,4,"Hudik/Björkberg IBK",1
"54","Christoffer Markovski","Skogsängshallen",1,4,"Salems IF",1
"55","Curre Schwela","Eriksdalshallen",2,17,"Djurgårdens IF IBS",2
"56","Curre Schwela","Eriksdalshallen",2,17,"FBI Tullinge",1
"57","Curre Schwela","Eriksdalshallen",2,17,"Umeå City IBK",1
"58","Curre Schwela","Habo Sporthall A-hall",1,17,"Visby IBK",1
"59","Curre Schwela","Habo Sporthall A-hall",1,17,"Fagerhult Habo IBK",1
"60","Curre Schwela","Håstaholmen",3,17,"Hudik/Björkberg IBK",3
"61","Curre Schwela","Håstaholmen",3,17,"Strängnäs IBK",1
"62","Curre Schwela","Håstaholmen",3,17,"Hagunda IF",1
"63","Curre Schwela","Håstaholmen",3,17,"IBF Dalen",1
"64","Curre Schwela","ICA Maxi Arena",2,17,"Fagerhult Habo IBK",1
"65","Curre Schwela","ICA Maxi Arena",2,17,"Onyx IBK",1
"66","Curre Schwela","ICA Maxi Arena",2,17,"Visby IBK",2
"67","Curre Schwela","Kalmar Sporthall A-hall",1,17,"FBC Kalmarsund",1
"68","Curre Schwela","Kalmar Sporthall A-hall",1,17,"Karlstad IBF",1
"69","Curre Schwela","Norrmalmia Sph",2,17,"Wibax Patriot IBK Piteå",2
"70","Curre Schwela","Norrmalmia Sph",2,17,"FBI Tullinge",1
"71","Curre Schwela","Norrmalmia Sph",2,17,"Salems IF",1
"72","Curre Schwela","Oskarshamns Sporthall A-hall",1,17,"Craftstadens IBK Oskarshamn",1
"73","Curre Schwela","Oskarshamns Sporthall A-hall",1,17,"Visby IBK",1
"74","Curre Schwela","Skogsängshallen",2,17,"Salems IF",2
"75","Curre Schwela","Skogsängshallen",2,17,"Hagunda IF",1
"76","Curre Schwela","Skogsängshallen",2,17,"Umeå City IBK",1
"77","Curre Schwela","Sundsvalls Sporthall-A",1,17,"Gävle GIK",1
"78","Curre Schwela","Sundsvalls Sporthall-A",1,17,"Granlo BK",1
"79","Curre Schwela","Thomas Arena",2,17,"Strängnäs IBK",2
"80","Curre Schwela","Thomas Arena",2,17,"FBI Tullinge",1
"81","Curre Schwela","Thomas Arena",2,17,"Hagunda IF",1
"82","Daniel Böcker","Eriksdalshallen",1,2,"Granlo BK",1
"83","Daniel Böcker","Eriksdalshallen",1,2,"Djurgårdens IF IBS",1
"84","Daniel Böcker","Åstorps Sporthall",1,2,"Skoghalls IBK",1
"85","Daniel Böcker","Åstorps Sporthall",1,2,"Åstorp/Kvidinge IBS",1
"86","Daniel Fathi-Najafi","Colorama Arena",1,4,"Karlstad IBF",1
"87","Daniel Fathi-Najafi","Colorama Arena",1,4,"Östra SK Jönköping",1
"88","Daniel Fathi-Najafi","Eriksdalshallen",1,4,"Hagunda IF",1
"89","Daniel Fathi-Najafi","Eriksdalshallen",1,4,"Djurgårdens IF IBS",1
"90","Daniel Fathi-Najafi","Habo Sporthall A-hall",1,4,"Fagerhult Habo IBK",1
"91","Daniel Fathi-Najafi","Habo Sporthall A-hall",1,4,"Åstorp/Kvidinge IBS",1
"92","Daniel Fathi-Najafi","Jönköpings Idrottshus D-hall",1,4,"Craftstadens IBK Oskarshamn",1
"93","Daniel Fathi-Najafi","Jönköpings Idrottshus D-hall",1,4,"Östra SK Jönköping",1
"94","Daniel Söderberg","Skogsängshallen",1,6,"IBF Dalen",1
"95","Daniel Söderberg","Skogsängshallen",1,6,"Salems IF",1
"96","Daniel Söderberg","Sundsvalls Sporthall-A",1,6,"Granlo BK",1
"97","Daniel Söderberg","Sundsvalls Sporthall-A",1,6,"Umeå City IBK",1
"98","Daniel Söderberg","Thomas Arena",1,6,"Strängnäs IBK",1
"99","Daniel Söderberg","Thomas Arena",1,6,"Hudik/Björkberg IBK",1
"100","Daniel Söderberg","Tibblehallen CC",1,6,"Granlo BK",1
"101","Daniel Söderberg","Tibblehallen CC",1,6,"Täby FC",1
"102","Daniel Söderberg","Umeå Energi Arena",2,6,"Strängnäs IBK",1
"103","Daniel Söderberg","Umeå Energi Arena",2,6,"IBF Dalen",1
"104","Daniel Söderberg","Umeå Energi Arena",2,6,"Gävle GIK",1
"105","Daniel Söderberg","Umeå Energi Arena",2,6,"Umeå City IBK",1
"106","David Berger","Eriksdalshallen",1,16,"Djurgårdens IF IBS",1
