"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adam Kruse","Daltorphallen, Borås",1,2,"Floda IBK",1
"2","Adam Kruse","Daltorphallen, Borås",1,2,"Borås IBF",1
"3","Adam Kruse","Torpahallen",1,2,"IBF Göteborg",1
"4","Adam Kruse","Torpahallen",1,2,"Mölndals IBF",1
"5","Adnan Tongur","Rydsbergshallen",1,1,"IBF Göteborg",1
"6","Adnan Tongur","Rydsbergshallen",1,1,"FBC Lerum",1
"7","Albin Jakobsson","Arvika Sporthall",1,1,"Arvika IBF",1
"8","Albin Jakobsson","Arvika Sporthall",1,1,"IBK Lockerud Mariestad",1
"9","Anders Asp","Träffen Arena",1,1,"IBK Runsten",1
"10","Anders Asp","Träffen Arena",1,1,"Åkersberga IBF",1
"11","Anders Fredriksson","Bombardier Arena A",2,5,"Surahammars IBF",1
"12","Anders Fredriksson","Bombardier Arena A",2,5,"Skälby IBK",1
"13","Anders Fredriksson","Bombardier Arena A",2,5,"IBF Västerås",2
"14","Anders Fredriksson","Pettersbergsskolan (S:T Ilian Skolan)",1,5,"Skälby IBK",1
"15","Anders Fredriksson","Pettersbergsskolan (S:T Ilian Skolan)",1,5,"Karlskoga IBF",1
"16","Anders Fredriksson","Rydsbergshallen",1,5,"IBK Alingsås",1
"17","Anders Fredriksson","Rydsbergshallen",1,5,"Floda IBK",1
"18","Anders Fredriksson","Umeå Energi Arena",1,5,"RIG Umeå IBF",1
"19","Anders Fredriksson","Umeå Energi Arena",1,5,"Umeå City IBF",1
"20","Anders Ståhlberg","Västergård Arena A",1,1,"Telge IBS",1
"21","Anders Ståhlberg","Västergård Arena A",1,1,"Huddinge IBS",1
"22","Anders Westerberg","Alfahallen - Gavlehov",1,20,"IBK Runsten",1
"23","Anders Westerberg","Alfahallen - Gavlehov",1,20,"Bele Barkarby IF IBF",1
"24","Anders Westerberg","Arena Jernvallen",2,20,"Sandvikens AIK",2
"25","Anders Westerberg","Arena Jernvallen",2,20,"Rotebro IS IBK",1
"26","Anders Westerberg","Arena Jernvallen",2,20,"Åkersberga IBF",1
"27","Anders Westerberg","Bombardier Arena A",2,20,"IBK Hallsta",1
"28","Anders Westerberg","Bombardier Arena A",2,20,"IBF Västerås",2
"29","Anders Westerberg","Bombardier Arena A",2,20,"Torshälla IBK",1
"30","Anders Westerberg","Farstahallen 1",1,20,"Farsta IBK",1
"31","Anders Westerberg","Farstahallen 1",1,20,"Värmdö IF",1
"32","Anders Westerberg","IFU Arena E",1,20,"Rosersbergs IK",1
