"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Öbergh","Hammarhallen Vännäs",1,6,"Spöland Vännäs IF",1
"2","Anders Öbergh","Hammarhallen Vännäs",1,6,"IBF Skellefteå",1
"3","Anders Öbergh","Köpmanholmens Sporthall",1,6,"Örnsköldsvik IBF",1
"4","Anders Öbergh","Köpmanholmens Sporthall",1,6,"Spöland Vännäs IF",1
"5","Anders Öbergh","Midgårdshallen",1,6,"IBK Umeå Norr",1
"6","Anders Öbergh","Midgårdshallen",1,6,"Clemensnäs IF",1
"7","Anders Öbergh","Skyttis Arena",3,6,"Örnsköldsvik IBF",1
"8","Anders Öbergh","Skyttis Arena",3,6,"Team Thorengruppen Ungdom SK",1
"9","Anders Öbergh","Skyttis Arena",3,6,"Gullänget-Kroksta IBS",3
"10","Anders Öbergh","Skyttis Arena",3,6,"Obbola IK",1
"11","Andreas Nyman","Skyttis Arena",1,3,"Örnsköldsvik IBF",1
"12","Andreas Nyman","Skyttis Arena",1,3,"IK SPIF Umeå",1
"13","Andreas Nyman","Sporthallen Musköten",1,3,"IBS Dalen",1
"14","Andreas Nyman","Sporthallen Musköten",1,3,"Gullänget-Kroksta IBS",1
"15","Andreas Nyman","Sporthushallen",1,3,"IK SPIF Umeå",1
"16","Andreas Nyman","Sporthushallen",1,3,"Team Thorengruppen Ungdom SK",1
"17","Bjarne Andersson","Olasjöhallen",1,7,"Rönnskär Railcare IF",1
"18","Bjarne Andersson","Olasjöhallen",1,7,"Obbola IK",1
"19","Bjarne Andersson","Sporthallen Musköten",2,7,"Spöland Vännäs IF",1
"20","Bjarne Andersson","Sporthallen Musköten",2,7,"IBS Dalen",2
"21","Bjarne Andersson","Sporthallen Musköten",2,7,"Gimonäs Umeå IBF",1
"22","Bjarne Andersson","Sporthushallen",3,7,"Spöland Vännäs IF",1
"23","Bjarne Andersson","Sporthushallen",3,7,"Gullänget-Kroksta IBS",1
"24","Bjarne Andersson","Sporthushallen",3,7,"IBS Dalen",1
"25","Bjarne Andersson","Sporthushallen",3,7,"IK SPIF Umeå",3
"26","Bjarne Andersson","Umeå Energi Arena Väst",1,7,"Gimonäs Umeå IBF",1
"27","Bjarne Andersson","Umeå Energi Arena Väst",1,7,"Obbola IK",1
"28","Björn Glad","Hammarhallen Vännäs",1,1,"Gimonäs Umeå IBF",1
"29","Björn Glad","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"30","Daniel Degerman","Eddahallen",4,4,"Örnsköldsvik IBF",1
"31","Daniel Degerman","Eddahallen",4,4,"Rönnskär Railcare IF",2
"32","Daniel Degerman","Eddahallen",4,4,"Gimonäs Umeå IBF",1
"33","Daniel Degerman","Eddahallen",4,4,"IBF Skellefteå",2
"34","Daniel Degerman","Eddahallen",4,4,"IBK Umeå Norr",1
"35","Daniel Degerman","Eddahallen",4,4,"Täfteå IK",1
"36","David Jonsson","Eddahallen",2,2,"Obbola IK",1
"37","David Jonsson","Eddahallen",2,2,"Rönnskär Railcare IF",2
"38","David Jonsson","Eddahallen",2,2,"IBF Skellefteå",1
"39","David Karlsson","Sporthushallen",1,1,"Rönnskär Railcare IF",1
"40","David Karlsson","Sporthushallen",1,1,"IK SPIF Umeå",1
"41","David Lundberg","Olasjöhallen",1,4,"Täfteå IK",1
"42","David Lundberg","Olasjöhallen",1,4,"Obbola IK",1
"43","David Lundberg","Sjöfruhallen",1,4,"IBS Dalen",1
