"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Albin Berglund","Midgårdshallen",1,2,"Umeå City IBF /Utv 4-5",1
"2","Albin Berglund","Midgårdshallen",1,2,"Skellefteå IBK",1
"3","Albin Berglund","Sporthallen Musköten",1,2,"IBF Dalen /IBS Dalen",1
"4","Albin Berglund","Sporthallen Musköten",1,2,"Örnsköldsvik IBF /IBK",1
"5","Alvin Gustavsson","Balderhallen B",2,2,"Gamla Stan IBK P02-03",1
"6","Alvin Gustavsson","Balderhallen B",2,2,"Gamla Stan IBK P02-03",1
"7","Alvin Gustavsson","Balderhallen B",2,2,"Hörnefors IF",1
"8","Alvin Gustavsson","Balderhallen B",2,2,"Umeå City IBF /Utv 4-5",1
"9","Alvina Mukkala","Bråvallahallen",1,2,"Hörnefors IF",1
"10","Alvina Mukkala","Bråvallahallen",1,2,"IBF Dalen/Svart",1
"11","Alvina Mukkala","Sporthallen Musköten",1,2,"IBF Dalen /IBS Dalen",1
"12","Alvina Mukkala","Sporthallen Musköten",1,2,"Gamla Stan IBK",1
"13","Anders Öbergh","Örnsköldsviks Sporthall",1,1,"Gamla Stan IBK",1
"14","Anders Öbergh","Örnsköldsviks Sporthall",1,1,"Örnsköldsvik IBF /IBK",1
"15","Andreas Eriksson","Hammarhallen Vännäs",1,12,"Spöland Vännäs IF",1
"16","Andreas Eriksson","Hammarhallen Vännäs",1,12,"Gamla Stan IBK",1
"17","Andreas Eriksson","Midgårdshallen",2,12,"Gamla Stan IBK P02-03",1
"18","Andreas Eriksson","Midgårdshallen",2,12,"Umeå City IBF",1
"19","Andreas Eriksson","Midgårdshallen",2,12,"Umeå City IBF/Utv 4-5",1
"20","Andreas Eriksson","Midgårdshallen",2,12,"Umeå City IBF /Utv 4-5",1
"21","Andreas Eriksson","Sjöfruhallen",5,12,"Gimonäs Umeå IF",3
"22","Andreas Eriksson","Sjöfruhallen",5,12,"Hörnefors IF",1
"23","Andreas Eriksson","Sjöfruhallen",5,12,"IBF Dalen /IBS Dalen",1
"24","Andreas Eriksson","Sjöfruhallen",5,12,"Robertsfors IK",1
"25","Andreas Eriksson","Sjöfruhallen",5,12,"Gimonäs Umeå IF/IBF",2
"26","Andreas Eriksson","Sjöfruhallen",5,12,"Spöland Vännäs IF",1
"27","Andreas Eriksson","Sjöfruhallen",5,12,"Örnsköldsvik IBF /IBK",1
"28","Andreas Eriksson","Sporthallen Musköten",1,12,"Rönnskär Railcare IF/CIF",1
"29","Andreas Eriksson","Sporthallen Musköten",1,12,"IBF Dalen/Svart",1
"30","Andreas Eriksson","Sporthushallen",1,12,"Gimonäs Umeå IF/IBF",1
"31","Andreas Eriksson","Sporthushallen",1,12,"Umeå City IBF",1
"32","Andreas Eriksson","Umeå Energi Arena Väst",2,12,"Gamla Stan IBK",1
"33","Andreas Eriksson","Umeå Energi Arena Väst",2,12,"Umeå City IBF",2
"34","Andreas Eriksson","Umeå Energi Arena Väst",2,12,"IBF Dalen /IBS Dalen",1
"35","Andreas Åström","Balderhallen A",1,4,"Gamla Stan IBK P02-03",1
"36","Andreas Åström","Balderhallen A",1,4,"IBF Dalen/Svart",1
"37","Andreas Åström","Balderhallen B",2,4,"Gamla Stan IBK",2
"38","Andreas Åström","Balderhallen B",2,4,"IBF Dalen /IBS Dalen",1
"39","Andreas Åström","Balderhallen B",2,4,"Ersboda SK",1
"40","Andreas Åström","Örjanshallen",1,4,"Hörnefors IF",1
"41","Andreas Åström","Örjanshallen",1,4,"Rönnskär Railcare IF/CIF",1
"42","Bjarne Andersson","Bråvallahallen",1,5,"Gimonäs Umeå IF",1
"43","Bjarne Andersson","Bråvallahallen",1,5,"Hörnefors IF",1
"44","Bjarne Andersson","Midgårdshallen",1,5,"Umeå City IBF /Utv 4-5",1
"45","Bjarne Andersson","Midgårdshallen",1,5,"Gimonäs Umeå IF",1
"46","Bjarne Andersson","Sjöfruhallen",1,5,"Umeå City IBF",1
"47","Bjarne Andersson","Sjöfruhallen",1,5,"Gimonäs Umeå IF/IBF",1
"48","Bjarne Andersson","Sporthushallen",1,5,"Umeå City IBF/Utv 4-5",1
"49","Bjarne Andersson","Sporthushallen",1,5,"Ersboda SK",1
"50","Bjarne Andersson","Vildmannahallen",1,5,"Umeå City IBF/Utv 4-5",1
"51","Bjarne Andersson","Vildmannahallen",1,5,"Umeå City IBF",1
