"","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1",1,"Adam Andersson","Midgårdshallen",1,2,"Umeå City IBF",1
"2",2,"Adam Andersson","Midgårdshallen",1,2,"IBF Dalen",1
"3",3,"Adam Andersson","Täftehallen",1,2,"Holmsund City IBC",1
"4",4,"Adam Andersson","Täftehallen",1,2,"Täfteå IK",1
"5",5,"Agnes Persson","Ersängshallen",1,4,"Röbäcks IF",1
"6",6,"Agnes Persson","Ersängshallen",1,4,"Ersboda SK",1
"7",7,"Agnes Persson","Midgårdshallen",1,4,"Umeå City IBF",1
"8",8,"Agnes Persson","Midgårdshallen",1,4,"Obbola IK",1
"9",9,"Agnes Persson","Vildmannahallen",2,4,"Tegs SK IBF",1
"10",10,"Agnes Persson","Vildmannahallen",2,4,"Röbäcks IF",1
"11",11,"Agnes Persson","Vildmannahallen",2,4,"Spöland Vännäs IF",1
"12",12,"Agnes Persson","Vildmannahallen",2,4,"Umeå City IBF",1
"13",13,"Albin Berglund","Täftehallen",1,1,"Täfteå IK",1
"14",14,"Albin Berglund","Täftehallen",1,1,"Hörnefors IF",1
"15",15,"Albin Carlsten","Anderstorpshallen",2,8,"Skellefteå IBK",1
"16",16,"Albin Carlsten","Anderstorpshallen",2,8,"Gamla Stan IBK",1
"17",17,"Albin Carlsten","Anderstorpshallen",2,8,"Skellefteå IBK",1
"18",18,"Albin Carlsten","Anderstorpshallen",2,8,"Gamla Stan IBK",1
"19",19,"Albin Carlsten","Balderhallen B",4,8,"Skellefteå IBK",2
"20",20,"Albin Carlsten","Balderhallen B",4,8,"Skellefteå IBS",1
"21",21,"Albin Carlsten","Balderhallen B",4,8,"Gamla Stan IBK",2
"22",22,"Albin Carlsten","Balderhallen B",4,8,"Bureå IF",1
"23",23,"Albin Carlsten","Balderhallen B",4,8,"Gamla Stan IBK",2
"24",24,"Albin Carlsten","Eddahallen",2,8,"Skellefteå IBK",1
"25",25,"Albin Carlsten","Eddahallen",2,8,"Gamla Stan IBK",1
"26",26,"Albin Carlsten","Eddahallen",2,8,"Skellefteå IBK",1
"27",27,"Albin Carlsten","Eddahallen",2,8,"Skellefteå IBS",1
"28",28,"Alex Levander","Örjanshallen",2,2,"Skellefteå IBK",1
"29",29,"Alex Levander","Örjanshallen",2,2,"Bureå IF",1
"30",30,"Alex Levander","Örjanshallen",2,2,"Clemensnäs IF",1
"31",31,"Alex Levander","Örjanshallen",2,2,"Gamla Stan IBK",1
"32",32,"Alexander Holmgren","Sjöfruhallen",1,4,"Vindelns IF",1
"33",33,"Alexander Holmgren","Sjöfruhallen",1,4,"Gimonäs Umeå IF",1
"34",34,"Alexander Holmgren","Sporthallen Musköten",1,4,"IBF Dalen",1
"35",35,"Alexander Holmgren","Sporthallen Musköten",1,4,"Hörnefors IF",1
"36",36,"Alexander Holmgren","Sävaråhallen",1,4,"Umeå City IBF",1
"37",37,"Alexander Holmgren","Sävaråhallen",1,4,"Sävar IK",1
"38",38,"Alexander Holmgren","Täftehallen",1,4,"Täfteå IK",1
"39",39,"Alexander Holmgren","Täftehallen",1,4,"Täfteå IK",1
"40",40,"Alexandra Nimrodsson","Storsjöhallen",1,2,"Röbäcks IF",1
"41",41,"Alexandra Nimrodsson","Storsjöhallen",1,2,"Holmsund City IBC",1
"42",42,"Alexandra Nimrodsson","Vildmannahallen",1,2,"Umeå City IBF",1
"43",43,"Alexandra Nimrodsson","Vildmannahallen",1,2,"Holmsund City IBC",1
"44",44,"Alva Bergström","Midgårdshallen",2,4,"Umeå City IBF",1
"45",45,"Alva Bergström","Midgårdshallen",2,4,"Sandåkerns SK",1
"46",46,"Alva Bergström","Midgårdshallen",2,4,"Umeå City IBF",1
"47",47,"Alva Bergström","Midgårdshallen",2,4,"Röbäcks IF",1
