"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Agnes Persson","Midgårdshallen",1,1,"Gimonäs Umeå IF",1
"2","Agnes Persson","Midgårdshallen",1,1,"Umeå City IBF /Blå",1
"3","Albin Berglund","Elofssonhallen",1,22,"Umeå City IBF/P02-03",1
"4","Albin Berglund","Elofssonhallen",1,22,"Obbola IK",1
"5","Albin Berglund","Midgårdshallen",4,22,"Håknäs Idrottsförening",1
"6","Albin Berglund","Midgårdshallen",4,22,"Gimonäs Umeå IF/P05Vit",1
"7","Albin Berglund","Midgårdshallen",4,22,"Umeå City IBF/P02-03",1
"8","Albin Berglund","Midgårdshallen",4,22,"Umeå City IBF /Vit",1
"9","Albin Berglund","Midgårdshallen",4,22,"Umeå City IBF /Vit2",1
"10","Albin Berglund","Midgårdshallen",4,22,"Hissjö SK /IBF Dalen",1
"11","Albin Berglund","Midgårdshallen",4,22,"Umeå City IBF",1
"12","Albin Berglund","Midgårdshallen",4,22,"Umeå City IBF/P04Vit",1
"13","Albin Berglund","Storsjöhallen",3,22,"Umeå City IBF /Vit2",1
"14","Albin Berglund","Storsjöhallen",3,22,"Umeå City IBF",1
"15","Albin Berglund","Storsjöhallen",3,22,"IBF Dalen",1
"16","Albin Berglund","Storsjöhallen",3,22,"Holmsund City IBC",3
"17","Albin Berglund","Sävaråhallen",10,22,"Umeå City IBF",1
"18","Albin Berglund","Sävaråhallen",10,22,"Sävar IK/Täfteå IK",4
"19","Albin Berglund","Sävaråhallen",10,22,"IBF Dalen",1
"20","Albin Berglund","Sävaråhallen",10,22,"IBF Dalen /Svart",2
"21","Albin Berglund","Sävaråhallen",10,22,"IBF Dalen/Hissjö SK",1
"22","Albin Berglund","Sävaråhallen",10,22,"Umeå City IBF/P02-03",1
"23","Albin Berglund","Sävaråhallen",10,22,"Team Thorengruppen SK",1
"24","Albin Berglund","Sävaråhallen",10,22,"Vindelns IF",1
"25","Albin Berglund","Sävaråhallen",10,22,"Sävar IK",6
"26","Albin Berglund","Sävaråhallen",10,22,"Gimonäs Umeå IF/P04Vit",1
"27","Albin Berglund","Sävaråhallen",10,22,"Holmsund City IBC",1
"28","Albin Berglund","Täftehallen",3,22,"Vindelns IF",1
"29","Albin Berglund","Täftehallen",3,22,"Täfteå IK",3
"30","Albin Berglund","Täftehallen",3,22,"Gimonäs Umeå IF",1
"31","Albin Berglund","Täftehallen",3,22,"Sävar IK",1
"32","Albin Berglund","Vildmannahallen",1,22,"Holmsund City IBC",1
"33","Albin Berglund","Vildmannahallen",1,22,"Sandåkerns SK",1
"34","Albin Carlsten","Anderstorpshallen",1,1,"Skellefteå IBK P05/Svart",1
"35","Albin Carlsten","Anderstorpshallen",1,1,"Bureå Idrottsförening P05",1
"36","Alexandra Nimrodsson","Elofssonhallen",1,9,"Vindelns IF",1
"37","Alexandra Nimrodsson","Elofssonhallen",1,9,"Umeå City IBF/P02-03",1
"38","Alexandra Nimrodsson","Sporthallen Musköten",3,9,"Umeå City IBF/Vit",1
"39","Alexandra Nimrodsson","Sporthallen Musköten",3,9,"Vindelns IF",1
"40","Alexandra Nimrodsson","Sporthallen Musköten",3,9,"IBF Dalen/Hissjö SK",1
"41","Alexandra Nimrodsson","Sporthallen Musköten",3,9,"IBF Dalen",2
"42","Alexandra Nimrodsson","Sporthallen Musköten",3,9,"Holmsund City IBC",1
"43","Alexandra Nimrodsson","Storsjöhallen",1,9,"Holmsund City IBC",1
"44","Alexandra Nimrodsson","Storsjöhallen",1,9,"Umeå City IBF/Vit",1
"45","Alexandra Nimrodsson","Vildmannahallen",4,9,"Team Thorengruppen SK",1
"46","Alexandra Nimrodsson","Vildmannahallen",4,9,"Täfteå IK",1
"47","Alexandra Nimrodsson","Vildmannahallen",4,9,"Hissjö SK /IBF Dalen",1
"48","Alexandra Nimrodsson","Vildmannahallen",4,9,"Gimonäs Umeå IF/Svart",1
"49","Alexandra Nimrodsson","Vildmannahallen",4,9,"Umeå City IBF /Vit",1
"50","Alexandra Nimrodsson","Vildmannahallen",4,9,"Vindelns IF",2
"51","Alexandra Nimrodsson","Vildmannahallen",4,9,"Spöland Vännäs IF",1
"52","Alva Forss","Midgårdshallen",4,5,"Umeå City IBF",1
"53","Alva Forss","Midgårdshallen",4,5,"Umeå City IBF /Vit2",1
"54","Alva Forss","Midgårdshallen",4,5,"Umeå City IBF /Vit",1
"55","Alva Forss","Midgårdshallen",4,5,"Team Thorengruppen SK",1
"56","Alva Forss","Midgårdshallen",4,5,"Hörnefors IF",1
"57","Alva Forss","Midgårdshallen",4,5,"Gimonäs Umeå IF/Svart",1
"58","Alva Forss","Midgårdshallen",4,5,"Obbola IK",1
"59","Alva Forss","Midgårdshallen",4,5,"Umeå City IBF/P04Vit",1
"60","Alva Forss","Vildmannahallen",1,5,"Sävar IK",1
"61","Alva Forss","Vildmannahallen",1,5,"Hissjö SK /IBF Dalen",1
"62","Alvin Gustavsson","Balderhallen A",1,8,"Kågedalens AIF P04",1
"63","Alvin Gustavsson","Balderhallen A",1,8,"Skellefteå IBK P04",1
"64","Alvin Gustavsson","Balderhallen B",2,8,"Skellefteå IBK P05 Röd",1
"65","Alvin Gustavsson","Balderhallen B",2,8,"Skellefteå IBK P05/Svart",2
"66","Alvin Gustavsson","Balderhallen B",2,8,"Boliden FFI P03-05",1
"67","Alvin Gustavsson","Campushallen",1,8,"Kågedalens AIF P04",1
"68","Alvin Gustavsson","Campushallen",1,8,"Skellefteå IBS P03-04",1
"69","Alvin Gustavsson","Eddahallen",4,8,"Clemensnäs IF P04-05",1
"70","Alvin Gustavsson","Eddahallen",4,8,"Skellefteå IBK P05/Vit",1
"71","Alvin Gustavsson","Eddahallen",4,8,"Lövånger/Uttersjöbäcken AIK P04-05",1
"72","Alvin Gustavsson","Eddahallen",4,8,"Skellefteå IBK P03",1
"73","Alvin Gustavsson","Eddahallen",4,8,"Byske IF P01-03",1
"74","Alvin Gustavsson","Eddahallen",4,8,"Skellefteå IBK P05/Vit",1
"75","Alvin Gustavsson","Eddahallen",4,8,"Skellefteå IBK P03",1
"76","Alvin Gustavsson","Eddahallen",4,8,"Gamla Stan IBK P04",1
"77","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Umeå City IBF/P02-03",1
"78","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Umeå City IBF /Vit",1
"79","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Spöland Vännäs IF",4
"80","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Hörnefors IF",1
"81","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Holmsund City IBC",1
"82","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Håknäs Idrottsförening",1
"83","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Spöland Vännäs IF",2
"84","Alvina Mukkala","Hammarhallen Vännäs",6,11,"Umeå City IBF /Vit2",1
"85","Alvina Mukkala","Sjöfruhallen",1,11,"Team Thorengruppen SK",1
"86","Alvina Mukkala","Sjöfruhallen",1,11,"Gimonäs Umeå IF/Svart",1
"87","Alvina Mukkala","Sporthallen Musköten",1,11,"IBF Dalen /Svart",1
"88","Alvina Mukkala","Sporthallen Musköten",1,11,"Holmsund City IBC",1
"89","Alvina Mukkala","Täftehallen",1,11,"Hissjö SK /IBF Dalen",1
"90","Alvina Mukkala","Täftehallen",1,11,"Täfteå IK",1
"91","Alvina Mukkala","Umeå Energi Arena Öst",1,11,"Holmsund City IBC",1
"92","Alvina Mukkala","Umeå Energi Arena Öst",1,11,"Umeå City IBF/Vit",1
"93","Alvina Mukkala","Vännäsby Sporthall",1,11,"Spöland Vännäs IF",1
"94","Alvina Mukkala","Vännäsby Sporthall",1,11,"Gimonäs Umeå IF/Svart",1
"95","Anastasia Oberlauf","Vildmannahallen",1,1,"Holmsund City IBC",1
"96","Anastasia Oberlauf","Vildmannahallen",1,1,"Team Thorengruppen SK",1
"97","Anders Öbergh","Vildmannahallen",1,1,"Sandåkerns SK",1
"98","Anders Öbergh","Vildmannahallen",1,1,"Obbola IK",1
"99","Andre Williams","Sjöfruhallen",1,2,"Gimonäs Umeå IF/P04Vit",1
"100","Andre Williams","Sjöfruhallen",1,2,"Täfteå IK",1
"101","Andre Williams","Ålidhemshallen",1,2,"Hörnefors IF",1
"102","Andre Williams","Ålidhemshallen",1,2,"Gimonäs Umeå IF",1
"103","Andreas Eriksson","Sjöfruhallen",1,8,"Gimonäs Umeå IF /Svart",1
"104","Andreas Eriksson","Sjöfruhallen",1,8,"Team Thorengruppen SK",1
"105","Andreas Eriksson","Sporthallen Musköten",1,8,"IBF Dalen",1
"106","Andreas Eriksson","Sporthallen Musköten",1,8,"Sandåkerns SK",1
"107","Andreas Eriksson","Umeå Energi Arena Väst",2,8,"Obbola IK",1
"108","Andreas Eriksson","Umeå Energi Arena Väst",2,8,"Spöland Vännäs IF",1
"109","Andreas Eriksson","Umeå Energi Arena Väst",2,8,"Team Thorengruppen SK",1
"110","Andreas Eriksson","Umeå Energi Arena Väst",2,8,"Umeå City IBF/P04Vit",1
"111","Andreas Eriksson","Vildmannahallen",4,8,"Vindelns IF",1
"112","Andreas Eriksson","Vildmannahallen",4,8,"Team Thorengruppen SK",2
"113","Andreas Eriksson","Vildmannahallen",4,8,"Umeå City IBF /Vit",1
"114","Andreas Eriksson","Vildmannahallen",4,8,"IBF Dalen /Svart",1
"115","Andreas Eriksson","Vildmannahallen",4,8,"Umeå City IBF",2
"116","Andreas Eriksson","Vildmannahallen",4,8,"Sävar IK/Täfteå IK",1
"117","Andreas Åström","Balderhallen A",12,24,"Gamla Stan IBK P02-03",1
"118","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBK P04",1
"119","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBS P05",2
"120","Andreas Åström","Balderhallen A",12,24,"Gamla Stan IBK P04",4
"121","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBK P05 Röd",1
"122","Andreas Åström","Balderhallen A",12,24,"Bureå Idrottsförening P05",1
"123","Andreas Åström","Balderhallen A",12,24,"Lövånger/Uttersjöbäcken AIK P04",1
"124","Andreas Åström","Balderhallen A",12,24,"Lövånger/Uttersjöbäcken AIK P04-05",1
"125","Andreas Åström","Balderhallen A",12,24,"Gamla Stan IBK P03",1
"126","Andreas Åström","Balderhallen A",12,24,"Boliden FFI P03-05",2
"127","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBS P03-04",2
"128","Andreas Åström","Balderhallen A",12,24,"Kågedalens AIF P04",1
"129","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBK P03",2
"130","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBS P06",2
"131","Andreas Åström","Balderhallen A",12,24,"Skellefteå IBK P05/Svart",2
"132","Andreas Åström","Balderhallen B",4,24,"Skellefteå IBS P03-04",1
"133","Andreas Åström","Balderhallen B",4,24,"Gamla Stan IBK P04",1
"134","Andreas Åström","Balderhallen B",4,24,"Skellefteå IBK P04",1
"135","Andreas Åström","Balderhallen B",4,24,"Boliden FFI P03-05",1
"136","Andreas Åström","Balderhallen B",4,24,"Skellefteå IBS P05",1
"137","Andreas Åström","Balderhallen B",4,24,"Kågedalens AIF P04",1
"138","Andreas Åström","Balderhallen B",4,24,"Gamla Stan IBK P03",1
"139","Andreas Åström","Balderhallen B",4,24,"Skellefteå IBS P05",1
"140","Andreas Åström","Byske Sporthall",3,24,"Skellefteå IBK P04",1
"141","Andreas Åström","Byske Sporthall",3,24,"Byske IF P01-03",3
"142","Andreas Åström","Byske Sporthall",3,24,"Clemensnäs IF/RIF P 02-03",1
"143","Andreas Åström","Byske Sporthall",3,24,"Gamla Stan IBK P02-03",1
"144","Andreas Åström","Eddahallen",2,24,"Skellefteå IBK P05/Svart",1
"145","Andreas Åström","Eddahallen",2,24,"Skellefteå IBS P03-04",1
"146","Andreas Åström","Eddahallen",2,24,"Boliden FFI P03-05",1
"147","Andreas Åström","Eddahallen",2,24,"Skellefteå IBK P05 Röd",1
"148","Andreas Åström","Örjanshallen",3,24,"Clemensnäs IF P04-05",1
"149","Andreas Åström","Örjanshallen",3,24,"Bureå Idrottsförening P05",1
"150","Andreas Åström","Örjanshallen",3,24,"Skellefteå IBK P05 Röd",1
"151","Andreas Åström","Örjanshallen",3,24,"Clemensnäs IF/RIF P 02-03",1
"152","Andreas Åström","Örjanshallen",3,24,"Clemensnäs IF P04-05",1
"153","Andreas Åström","Örjanshallen",3,24,"Byske IF P01-03",1
"154","Anna Andersson","Bråvallahallen",1,1,"Täfteå IK",1
"155","Anna Andersson","Bråvallahallen",1,1,"Hörnefors IF",1
"156","Bjarne Andersson","Ersängshallen",1,3,"Ersboda SK",1
"157","Bjarne Andersson","Ersängshallen",1,3,"Sävar IK/Täfteå IK",1
"158","Bjarne Andersson","Sporthushallen",1,3,"Team Thorengruppen SK",1
"159","Bjarne Andersson","Sporthushallen",1,3,"Gimonäs Umeå IF /Svart",1
"160","Bjarne Andersson","Umeå Energi Arena Väst",1,3,"Gimonäs Umeå IF/Svart",1
"161","Bjarne Andersson","Umeå Energi Arena Väst",1,3,"Spöland Vännäs IF",1
"162","Björn Glad","Olasjöhallen",1,11,"Team Thorengruppen SK",1
"163","Björn Glad","Olasjöhallen",1,11,"Obbola IK",1
"164","Björn Glad","Sjöfruhallen",1,11,"Gimonäs Umeå IF/P04Vit",1
"165","Björn Glad","Sjöfruhallen",1,11,"Vindelns IF",1
"166","Björn Glad","Storsjöhallen",2,11,"Sandåkerns SK",1
"167","Björn Glad","Storsjöhallen",2,11,"Holmsund City IBC",2
"168","Björn Glad","Storsjöhallen",2,11,"Ersboda SK",1
"169","Björn Glad","Sävaråhallen",4,11,"Sävar IK/Täfteå IK",1
"170","Björn Glad","Sävaråhallen",4,11,"Obbola IK",1
"171","Björn Glad","Sävaråhallen",4,11,"Ersboda SK",1
"172","Björn Glad","Sävaråhallen",4,11,"Gimonäs Umeå IF",1
"173","Björn Glad","Sävaråhallen",4,11,"Täfteå IK",1
"174","Björn Glad","Sävaråhallen",4,11,"Sävar IK",3
"175","Björn Glad","Täftehallen",3,11,"Röbäcks IF",1
"176","Björn Glad","Täftehallen",3,11,"Sävar IK/Täfteå IK",1
"177","Björn Glad","Täftehallen",3,11,"Umeå City IBF",1
"178","Björn Glad","Täftehallen",3,11,"Sävar IK",1
"179","Björn Glad","Täftehallen",3,11,"Hissjö SK /IBF Dalen",1
"180","Björn Glad","Täftehallen",3,11,"Täfteå IK",1
"181","Bobby Hjelte","Balderhallen A",2,12,"Skellefteå IBS P05",1
"182","Bobby Hjelte","Balderhallen A",2,12,"Boliden FFI P03-05",1
"183","Bobby Hjelte","Balderhallen A",2,12,"Skellefteå IBS P03-04",1
"184","Bobby Hjelte","Balderhallen A",2,12,"Clemensnäs IF P04-05",1
"185","Bobby Hjelte","Byske Sporthall",3,12,"Kågedalens AIF P04",1
"186","Bobby Hjelte","Byske Sporthall",3,12,"Skellefteå IBK P03",1
"187","Bobby Hjelte","Byske Sporthall",3,12,"Gamla Stan IBK P04",1
"188","Bobby Hjelte","Byske Sporthall",3,12,"Byske IF P01-03",3
"189","Bobby Hjelte","Eddahallen",1,12,"Kågedalens AIF P04",1
"190","Bobby Hjelte","Eddahallen",1,12,"Skellefteå IBK P03",1
