"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Anders Asp","Arenan - Jönköpings Idrottshus",1,3,"Jönköpings IK",1
"2","Anders Asp","Arenan - Jönköpings Idrottshus",1,3,"Telge SIBK",1
"3","Anders Asp","Baltiska Hallen A",1,3,"Warberg IC",1
"4","Anders Asp","Baltiska Hallen A",1,3,"Malmö FBC",1
"5","Anders Asp","Bombardier Arena A",1,3,"Västerås Rönnby IBK",1
"6","Anders Asp","Bombardier Arena A",1,3,"Endre IF",1
"7","Anders Fredriksson","Bombardier Arena A",2,19,"Västerås Rönnby IBK",2
"8","Anders Fredriksson","Bombardier Arena A",2,19,"KAIS Mora IF",1
"9","Anders Fredriksson","Bombardier Arena A",2,19,"IKSU",1
"10","Anders Fredriksson","Colorama Arena",4,19,"Karlstad IBF",4
"11","Anders Fredriksson","Colorama Arena",4,19,"Linköping IBK",1
"12","Anders Fredriksson","Colorama Arena",4,19,"Pixbo Wallenstam IBK",1
"13","Anders Fredriksson","Colorama Arena",4,19,"Jönköpings IK",1
"14","Anders Fredriksson","Colorama Arena",4,19,"Västerås Rönnby IBK",1
"15","Anders Fredriksson","Folkungahallen",1,19,"Linköping IBK",1
"16","Anders Fredriksson","Folkungahallen",1,19,"Warberg IC",1
"17","Anders Fredriksson","ICA Maxi Arena",1,19,"IK Sirius FBC",1
"18","Anders Fredriksson","ICA Maxi Arena",1,19,"Endre IF",1
"19","Anders Fredriksson","Idre Fjäll Arena",2,19,"KAIS Mora IF",2
"20","Anders Fredriksson","Idre Fjäll Arena",2,19,"Linköping IBK",1
"21","Anders Fredriksson","Idre Fjäll Arena",2,19,"Täby FC IBK",1
"22","Anders Fredriksson","IFU Arena A",1,19,"IK Sirius FBC",1
"23","Anders Fredriksson","IFU Arena A",1,19,"Täby FC IBK",1
"24","Anders Fredriksson","Kristiansborgshallen",1,19,"Pixbo Wallenstam IBK",1
"25","Anders Fredriksson","Kristiansborgshallen",1,19,"Västerås Rönnby IBK",1
"26","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",3,19,"Warberg IC",3
"27","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",3,19,"Täby FC IBK",1
"28","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",3,19,"Linköping IBK",1
"29","Anders Fredriksson","Sparbanken Wictory Center, Salmingplanen",3,19,"IKSU",1
"30","Anders Fredriksson","Umeå Energi Arena",2,19,"Täby FC IBK",1
"31","Anders Fredriksson","Umeå Energi Arena",2,19,"IBK Dalen",2
"32","Anders Fredriksson","Umeå Energi Arena",2,19,"Jönköpings IK",1
"33","Anders Fredriksson","Wallenstamhallen",1,19,"Linköping IBK",1
"34","Anders Fredriksson","Wallenstamhallen",1,19,"Pixbo Wallenstam IBK",1
"35","Anders Fredriksson","Västergård Arena A",1,19,"Pixbo Wallenstam IBK",1
"36","Anders Fredriksson","Västergård Arena A",1,19,"Telge SIBK",1
"37","Andreas Holm","Arenan - Jönköpings Idrottshus",1,2,"Warberg IC",1
"38","Andreas Holm","Arenan - Jönköpings Idrottshus",1,2,"Jönköpings IK",1
"39","Andreas Holm","Folkungahallen",1,2,"IKSU",1
"40","Andreas Holm","Folkungahallen",1,2,"Linköping IBK",1
"41","Christoffer Markovski","Bombardier Arena A",1,6,"Warberg IC",1
"42","Christoffer Markovski","Bombardier Arena A",1,6,"Västerås Rönnby IBK",1
"43","Christoffer Markovski","Idre Fjäll Arena",1,6,"KAIS Mora IF",1
"44","Christoffer Markovski","Idre Fjäll Arena",1,6,"Malmö FBC",1
"45","Christoffer Markovski","IFU Arena A",3,6,"Karlstad IBF",1
"46","Christoffer Markovski","IFU Arena A",3,6,"IK Sirius FBC",3
"47","Christoffer Markovski","IFU Arena A",3,6,"Västerås Rönnby IBK",1
"48","Christoffer Markovski","IFU Arena A",3,6,"Linköping IBK",1
"49","Christoffer Markovski","Västergård Arena A",1,6,"Telge SIBK",1
