"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm","Arenan - Jönköpings Idrottshus",1,2,"Jönköpings IK",1
"2","Andreas Holm","Arenan - Jönköpings Idrottshus",1,2,"FC Helsingborg",1
"3","Andreas Holm","Idrottshuset, Örebro",1,2,"IBF Örebro",1
"4","Andreas Holm","Idrottshuset, Örebro",1,2,"Mullsjö AIS",1
"5","Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"Jönköpings IK",2
"6","Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"Team Thorengruppen SK",1
"7","Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,27,"AIK IBF",1
"8","Andreas Lybacken","Fortnox Arena A-hall",2,27,"Växjö IBK",2
"9","Andreas Lybacken","Fortnox Arena A-hall",2,27,"Storvreta IBK",1
"10","Andreas Lybacken","Fortnox Arena A-hall",2,27,"Pixbo Wallenstam IBK",1
"11","Andreas Lybacken","Halörhallen",3,27,"Höllvikens IBF",3
"12","Andreas Lybacken","Halörhallen",3,27,"IBK Dalen",1
"13","Andreas Lybacken","Halörhallen",3,27,"IK Sirius IBK",1
"14","Andreas Lybacken","Halörhallen",3,27,"IBF Örebro",1
"15","Andreas Lybacken","Helsingborg Arena A",2,27,"Mullsjö AIS",1
"16","Andreas Lybacken","Helsingborg Arena A",2,27,"Höllvikens IBF",1
"17","Andreas Lybacken","Helsingborg Arena A",2,27,"FC Helsingborg",2
"18","Andreas Lybacken","Idrottens Hus A",1,27,"Pixbo Wallenstam IBK",1
"19","Andreas Lybacken","Idrottens Hus A",1,27,"FC Helsingborg",1
"20","Andreas Lybacken","IFU Arena A",5,27,"Storvreta IBK",3
"21","Andreas Lybacken","IFU Arena A",5,27,"Mullsjö AIS",1
"22","Andreas Lybacken","IFU Arena A",5,27,"Team Thorengruppen SK",1
"23","Andreas Lybacken","IFU Arena A",5,27,"IBF Örebro",1
"24","Andreas Lybacken","IFU Arena A",5,27,"IK Sirius IBK",2
"25","Andreas Lybacken","IFU Arena A",5,27,"Höllvikens IBF",1
"26","Andreas Lybacken","IFU Arena A",5,27,"IBF Falun",1
"27","Andreas Lybacken","JALAS® Arena",2,27,"AIK IBF",1
"28","Andreas Lybacken","JALAS® Arena",2,27,"IBF Falun",2
"29","Andreas Lybacken","JALAS® Arena",2,27,"Team Thorengruppen SK",1
"30","Andreas Lybacken","Linköpings Sporthall",2,27,"Höllvikens IBF",1
"31","Andreas Lybacken","Linköpings Sporthall",2,27,"FC Helsingborg",1
"32","Andreas Lybacken","Linköpings Sporthall",2,27,"Linköping IBK",2
"33","Andreas Lybacken","Lisebergshallen",1,27,"Pixbo Wallenstam IBK",1
"34","Andreas Lybacken","Lisebergshallen",1,27,"IBF Falun",1
"35","Andreas Lybacken","Nyhemshallen - Mullsjö",2,27,"Pixbo Wallenstam IBK",1
"36","Andreas Lybacken","Nyhemshallen - Mullsjö",2,27,"Mullsjö AIS",2
"37","Andreas Lybacken","Nyhemshallen - Mullsjö",2,27,"Team Thorengruppen SK",1
"38","Andreas Lybacken","Solnahallen",2,27,"IBK Dalen",1
"39","Andreas Lybacken","Solnahallen",2,27,"AIK IBF",2
"40","Andreas Lybacken","Solnahallen",2,27,"Växjö IBK",1
"41","Andreas Lybacken","Umeå Energi Arena",2,27,"Jönköpings IK",1
"42","Andreas Lybacken","Umeå Energi Arena",2,27,"IBK Dalen",1
"43","Andreas Lybacken","Umeå Energi Arena",2,27,"Storvreta IBK",1
"44","Andreas Lybacken","Umeå Energi Arena",2,27,"Team Thorengruppen SK",1
"45","Andreas Lybacken","Wallenstamhallen",1,27,"Växjö IBK",1
"46","Andreas Lybacken","Wallenstamhallen",1,27,"Pixbo Wallenstam IBK",1
"47","Andreas Svensson","Arenan - Jönköpings Idrottshus",1,18,"Storvreta IBK",1
"48","Andreas Svensson","Arenan - Jönköpings Idrottshus",1,18,"Jönköpings IK",1
"49","Andreas Svensson","Fortnox Arena A-hall",1,18,"Växjö IBK",1
"50","Andreas Svensson","Fortnox Arena A-hall",1,18,"FC Helsingborg",1
"51","Andreas Svensson","Halörhallen",1,18,"Pixbo Wallenstam IBK",1
"52","Andreas Svensson","Halörhallen",1,18,"Höllvikens IBF",1
"53","Andreas Svensson","Helsingborg Arena A",1,18,"IBK Dalen",1
"54","Andreas Svensson","Helsingborg Arena A",1,18,"FC Helsingborg",1
"55","Andreas Svensson","Idrottshuset, Örebro",1,18,"IBF Örebro",1
