"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","11:37","3-0","Jonna Vuontisvaara","Alunda IBF","Period2","Alunda IBF - KAIS Mora UIF","Straff","Peter Alenbring","Peter Astner","Peter Alenbring, Peter Astner"
"2","Missad straff","18:27","","Jonna Vuontisvaara","Alunda IBF","Period2","Alunda IBF - KAIS Mora UIF","Straff","Peter Alenbring","Peter Astner","Peter Alenbring, Peter Astner"
"3","Missad straff","17:34","","Jonna Vuontisvaara","Alunda IBF","Period3","IBF Hedemora - Alunda IBF","Straff","Jörgen Andersson","Amir Zilic","Jörgen Andersson, Amir Zilic"
"4","Räddad straff","01:05","","Isabel Sohlin","Arlanda IBK","Period1","Arlanda IBK - Stenhagens KK","Straff","Peter Alenbring","Bo Pettersson Loklint","Peter Alenbring, Bo Pettersson Loklint"
"5","Straffmål","17:34","2-1","Josefin Svarfvar","KAIS Mora UIF","Period1","KAIS Mora UIF - Stenhagens KK","Straff","Mattias Hedberg","Niklas Stenius","Mattias Hedberg, Niklas Stenius"
"6","Straffmål","03:57","1-0","Thea Johansson","IK Sirius IBK","Period1","IK Sirius IBK - IBF Borlänge","Straff","Jonathan Blank","Erik Lindberg","Jonathan Blank, Erik Lindberg"
"7","Missad straff","10:45","","Frida Backlund","IBF Hedemora","Period1","Gävle GIK - IBF Hedemora","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"8","Straffmål","12:15","3-1","Viktoria Lindström","KAIS Mora UIF","Period2","KAIS Mora UIF - Hagunda IF","Straff","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"9","Räddad straff","15:17","","Jennifer Lundblad","Stenhagens KK","Period1","Storvreta IBK - Stenhagens KK","Straff","Arvid Englund","Rikard Ohlström","Arvid Englund, Rikard Ohlström"
"10","Straffmål","06:13","3-4","Viktoria Hübinette","Storvreta IBK","Period3","Alunda IBF - Storvreta IBK","Straff","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"11","Missad straff","16:32","","Josefin Svarfvar","KAIS Mora UIF","Period3","KAIS Mora UIF - IBF Hedemora","Straff","Fredrik Andersson","Michelle Unger","Fredrik Andersson, Michelle Unger"
"12","Missad straff","16:29","","Johanna Milestad","Gävle GIK","Period1","IBF Falun Ungdom - Gävle GIK","Straff","Daniel Larsson","Amir Zilic","Daniel Larsson, Amir Zilic"
"13","Räddad straff","09:23","","Jennifer Forsberg","IBF Falun Ungdom","Period3","IBF Borlänge - IBF Falun Ungdom","Straff","Daniel Larsson","Amir Zilic","Daniel Larsson, Amir Zilic"
"14","Missad straff","06:12","","Therese Idving","Hagunda IF","Period1","Hagunda IF - IBF Hedemora","Straff","Peter Astner","Bo Pettersson Loklint","Peter Astner, Bo Pettersson Loklint"
"15","Straffmål","11:28","1-5","Jonna Vuontisvaara","Alunda IBF","Period2","Arlanda IBK - Alunda IBF","Straff","Erik Lindberg","Tony Nyberg","Erik Lindberg, Tony Nyberg"
