"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","18:16","4-0","Lotta Andersson","IBK Landskrona","Period2","FBC Engelholm D1 - IBK Landskrona","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"2","Missad straff","03:43","","Emilia Cleasby","Munka-Ljungby IBK","Period1","Munka-Ljungby IBK - IBK Lund D1","Straff","Malena Björnlund","Magnus Dandanell","Malena Björnlund, Magnus Dandanell"
"3","Missad straff","08:30","","Nickie Ekvall","IBK Lund D1","Period1","Munka-Ljungby IBK - IBK Lund D1","Straff","Malena Björnlund","Magnus Dandanell","Malena Björnlund, Magnus Dandanell"
"4","Straffmål","05:57","3-2","Pauline Bornander","Höllvikens IBF","Period2","Höllvikens IBF - IK Stanstad","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"5","Straffmål","15:20","0-1","Nickie Ekvall","IBK Lund D1","Period1","IBK Lund D1 - FBC Engelholm D1","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"6","Missad straff","17:51","","Johanna Joannou","FC Helsingborg","Period3","Skurups IBK D1 - FC Helsingborg","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"7","Räddad straff","15:27","","Pauline Bornander","Höllvikens IBF","Period2","Höllvikens IBF - Häljarps SK","Straff","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"8","Missad straff","03:52","","Victoria Sylwander","FBC Engelholm D1","Period3","IK Stanstad - FBC Engelholm D1","Straff","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"9","Straffmål","12:16","3-2","Evelina Oscarsson","FBC Engelholm D1","Period3","IK Stanstad - FBC Engelholm D1","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"10","Missad straff","09:45","","Nickie Ekvall","IBK Lund D1","Period3","IBK Lund D1 - Willands IBK","Straff","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"11","Missad straff","07:55","","Evelina Oscarsson","FBC Engelholm D1","Period2","FBC Engelholm D1 - Willands IBK","Straff","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"12","Straffmål","11:07","1-3","Elin Lindahl","Skurups IBK D1","Period1","IBK Lund D1 - Skurups IBK D1","Straff","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"13","Missad straff","19:34","","Ebba Flydalen","Malmö FBC Ungdom","Period1","Malmö FBC Ungdom - Häljarps SK","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"14","Missad straff","18:37","","Angelica Forsborn","FC Helsingborg","Period3","Häljarps SK - FC Helsingborg","Straff","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"15","Missad straff","15:49","","Anna Pettersson","Häljarps SK","Period2","Häljarps SK - IBK Lund D1","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"16","Räddad straff","05:58","","Jessica Pettersson","FBC Engelholm D1","Period1","FBC Engelholm D1 - Skurups IBK D1","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"17","Missad straff","14:33","","Pauline Bornander","Höllvikens IBF","Period2","Höllvikens IBF - IBK Landskrona","Straff","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"18","Straffmål","07:27","4-1","Angelica Forsborn","FC Helsingborg","Period2","FC Helsingborg - Munka-Ljungby IBK","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"19","Straffmål","13:04","9-1","Emilia Cleasby","Munka-Ljungby IBK","Period3","FC Helsingborg - Munka-Ljungby IBK","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"20","Straffmål","18:26","10-1","Amelie Uhr","Munka-Ljungby IBK","Period3","FC Helsingborg - Munka-Ljungby IBK","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"21","Räddad straff","04:10","","Lotta Andersson","IBK Landskrona","Period1","IBK Landskrona - Skurups IBK D1","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"22","Straffmål","20:00","4-1","Elin Lindahl","Skurups IBK D1","Period1","IBK Landskrona - Skurups IBK D1","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"23","Räddad straff","17:54","","Sara Florentzson","IK Stanstad","Period3","IBK Lund D1 - IK Stanstad","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"24","Missad straff","01:06","","Emma Johansson","IK Stanstad","Period2","Malmö FBC Ungdom - IK Stanstad","Straff","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
