"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","17:09","","Beatrice Lundevall","Älvsjö AIK IBF (B)","Period2","Älvsjö AIK IBF (B) - Hässelby SK IBK (A)","Straff","Daniel Kölborn","Shari Tingman","Daniel Kölborn, Shari Tingman"
"2","Räddad straff","00:25","","Alma Pethrus","Täby FC (A)","Period2","Råsunda IS - Täby FC (A)","Straff","Andreas Bengtsson","Elis Erbing","Andreas Bengtsson, Elis Erbing"
"3","Missad straff","16:22","","Linnéa Lindquist","Älvsjö AIK IBF (B)","Period3","Huddinge IBS - Älvsjö AIK IBF (B)","Straff","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"4","Straffmål","07:06","2-1","Ida Petrén-Lantz","Huddinge IBS","Period1","Huddinge IBS - Rotebro IS IBK (A)","Straff","Kari Malmros","Tim Sandström","Kari Malmros, Tim Sandström"
"5","Räddad straff","00:23","","Linnéa Lindquist","Älvsjö AIK IBF (B)","Period2","Älvsjö AIK IBF (B) - Vendelsö IK (A)","Straff","Christoffer Markovski","Arash Sohrevardi","Christoffer Markovski, Arash Sohrevardi"
"6","Straffmål","13:09","2-5","Johanna Dahlin","Råsunda IS","Period2","AIK IBF - Råsunda IS","Straff","Stefano Bianque","Fredrik Landin","Stefano Bianque, Fredrik Landin"
"7","Straffmål","14:57","4-4","Linnéa Lindquist","Älvsjö AIK IBF (B)","Period2","Älvsjö AIK IBF (B) - Täby FC (A)","Straff","William Albrecht","Daniel Karlsson","William Albrecht, Daniel Karlsson"
"8","Räddad straff","09:45","","Sandra Lundblad","Rotebro IS IBK (A)","Period2","Rotebro IS IBK (A) - Hässelby SK IBK (A)","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"9","Straffmål","18:35","1-2","Alma Pethrus","Täby FC (A)","Period1","Nacka Wallenstam IBK (B) - Täby FC (A)","Straff","Christian Högberg","Aldin Imamovic","Christian Högberg, Aldin Imamovic"
"10","Räddad straff","15:29","","Alma Pethrus","Täby FC (A)","Period3","Nacka Wallenstam IBK (B) - Täby FC (A)","Straff","Christian Högberg","Aldin Imamovic","Christian Högberg, Aldin Imamovic"
"11","Missad straff","12:49","","Frida Mattsson","Tyresö Trollbäcken IBK","Period2","Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Straff","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"12","Missad straff","19:20","","NA","AIK IBF","Period2","AIK IBF - Vendelsö IK (A)","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"13","Räddad straff","07:54","","Frida Mattsson","Tyresö Trollbäcken IBK","Period2","Tyresö Trollbäcken IBK - Älvsjö AIK IBF (B)","Straff","Stefano Bianque","Jacob Leijon","Stefano Bianque, Jacob Leijon"
"14","Missad straff","07:10","","Johanna Dahlin","Råsunda IS","Period2","Huddinge IBS - Råsunda IS","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
