"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","18:10","","Julia Endl","Filipstad IBK","Period3","Filipstad IBK - IBK Sala","Straff","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"2","Missad straff","19:43","","Caroline Nordqvist","Karlstad IBF Ungdom","Period3","Karlstad IBF Ungdom - Lillån IBK","Straff","Johan Friman","Henrik Jansson","Johan Friman, Henrik Jansson"
"3","Missad straff","10:06","","Linnéa Wennmyr","Per-Ols IBF","Period2","Filipstad IBK - Per-Ols IBF","Straff","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"4","Missad straff","04:27","","Gry Norstedt","IFK Arboga IBK","Period3","IFK Arboga IBK - Kristinehamns IBF","Straff","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"5","Missad straff","09:15","","Gry Norstedt","IFK Arboga IBK","Period3","IFK Arboga IBK - Kristinehamns IBF","Straff","Edvin Lindelöf","Fernando Rocabado","Edvin Lindelöf, Fernando Rocabado"
"6","Missad straff","02:03","","Mira Wickman","Skälby IBK","Period3","IBK Sala - Skälby IBK","Straff","Marcus Karppinen","William Ringkvist","Marcus Karppinen, William Ringkvist"
"7","Straffmål","09:34","2-3","Gry Norstedt","IFK Arboga IBK","Period3","IFK Arboga IBK - Sala Silverstaden IBK","Straff","Edvin Lindelöf","Carl Wikgren","Edvin Lindelöf, Carl Wikgren"
"8","Straffmål","06:22","5-4","Caroline Nordqvist","Karlstad IBF Ungdom","Period3","Karlstad IBF Ungdom - IBF Örebro Ungdom","Straff","Tomas Persson","Berndt Swärd","Tomas Persson, Berndt Swärd"
"9","Missad straff","18:14","","Patricia Aronsson","Sala Silverstaden IBK","Period2","Skattkärrs IK - Sala Silverstaden IBK","Straff","Linus Larsson","Oskar Sundin","Linus Larsson, Oskar Sundin"
"10","Räddad straff","16:51","","Maja Hane","Karlstad IBF Ungdom","Period3","Karlstad IBF Ungdom - IBF Örebro Ungdom","Straff","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"11","Missad straff","16:55","","Malin Fransson","IBK Hallsta","Period2","IBK Hallsta - Sala Silverstaden IBK","Straff","Henrik Brehmer","Jonathan Morén","Henrik Brehmer, Jonathan Morén"
"12","Räddad straff","00:43","","Vendela Fallqvist","Kumla IBK","Period3","Kumla IBK - Kristinehamns IBF","Straff","Fredrik Knutsson","Tomas Persson","Fredrik Knutsson, Tomas Persson"
"13","Missad straff","18:44","","Felicia Nordh","Skattkärrs IK","Period1","Filipstad IBK - Skattkärrs IK","Straff","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"14","Straffmål","01:01","1-0","Josefin Tammert","IBF Örebro Ungdom","Period2","Lillån IBK - IBF Örebro Ungdom","Straff","Fredrik Knutsson","Tommy Nordin","Fredrik Knutsson, Tommy Nordin"
"15","Straffmål","19:46","5-1","Evelina Olsson","Sala Silverstaden IBK","Period2","Sala Silverstaden IBK - Kristinehamns IBF","Straff","Lars Flink","Mårten Hanold","Lars Flink, Mårten Hanold"
"16","Räddad straff","04:32","","Gry Norstedt","IFK Arboga IBK","Period3","Hagfors IF Uddeholm - IFK Arboga IBK","Straff","David Granström","Oskar Sundin","David Granström, Oskar Sundin"
"17","Straffmål","06:46","7-4","Julia Nilsson","Hagfors IF Uddeholm","Period3","Hagfors IF Uddeholm - IFK Arboga IBK","Straff","David Granström","Oskar Sundin","David Granström, Oskar Sundin"
"18","Missad straff","13:53","","Elin Cordoba","IBK Sala","Period2","IBK Sala - IBK Hallsta","Straff","Edvin Lindelöf","Carl Wikgren","Edvin Lindelöf, Carl Wikgren"
"19","Missad straff","05:55","","Nora Guldbacke","IBK Sala","Period2","IBK Sala - IBF Örebro Ungdom","Straff","Erik Flink","Lars Flink","Erik Flink, Lars Flink"
"20","Missad straff","18:12","","Ida Brokvist","Hagfors IF Uddeholm","Period1","Kumla IBK - Hagfors IF Uddeholm","Straff","Fredrik Knutsson","Henrik Zegelsson","Fredrik Knutsson, Henrik Zegelsson"
"21","Räddad straff","06:03","","Ida Pennerborn","Hagfors IF Uddeholm","Period2","Hagfors IF Uddeholm - Filipstad IBK","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"22","Räddad straff","15:58","","Julia Nilsson","Hagfors IF Uddeholm","Period2","Hagfors IF Uddeholm - Sala Silverstaden IBK","Straff","Sebastian Falk-Asplund","Mattias Pettersson","Sebastian Falk-Asplund, Mattias Pettersson"
"23","Missad straff","04:07","","Matilda Sjögren","Per-Ols IBF","Period3","Per-Ols IBF - Kristinehamns IBF","Straff","Erik Flink","Lars Flink","Erik Flink, Lars Flink"
"24","Straffmål","08:54","10-2","Therese Mineur","Lillån IBK","Period3","IBK Sala - Lillån IBK","Straff","Christher Johansson","Tomas Persson","Christher Johansson, Tomas Persson"
"25","Missad straff","18:31","","Julia Nilsson","Hagfors IF Uddeholm","Period2","Hagfors IF Uddeholm - Skattkärrs IK","Straff","Henrik Jansson","Oskar Sundin","Henrik Jansson, Oskar Sundin"
"26","Missad straff","09:49","","Alma Lundström","Kumla IBK","Period1","IBK Hallsta - Kumla IBK","Straff","Erik Flink","Lars Flink","Erik Flink, Lars Flink"
