"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","16:07","","Ida Salegård","IBK Lidköping","Period2","Skövde IBF - IBK Lidköping","Straff","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"2","Missad straff","10:41","","Maja Josefsson","Skövde IBF","Period3","Skövde IBF - IBK Lidköping","Straff","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"3","Straffmål","02:11","3-2","Maja Josefsson","Skövde IBF","Period3","BK Halna - Skövde IBF","Straff","Mattias Furbo","Mikael Magnusson","Mattias Furbo, Mikael Magnusson"
"4","Missad straff","11:27","","Jessica Björklund","Sandareds IBS","Period2","IBK Tygriket 99 - Sandareds IBS","Straff","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"5","Straffmål","06:41","4-3","Emma Sandstedt","IBK Lockerud Mariestad U","Period3","IBK Lockerud Mariestad U - Fristads GoIF","Straff","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"6","Straffmål","16:18","6-1","Sara Anteryd","Fagerhult Habo IBK","Period2","Fagerhult Habo IBK - Sandareds IBS","Straff","Christoffer Danielsson","Johan Thaning","Christoffer Danielsson, Johan Thaning"
"7","Straffmål","09:20","7-3","Lina Westerlund","Tvåstad KIK","Period3","Fagerhult Habo IBK - Tvåstad KIK","Straff","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"8","Missad straff","08:33","","Thelma Stålhammar","IBK Lockerud Mariestad U","Period3","IBK Lockerud Mariestad U - IBK Tygriket 99","Straff","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"9","Missad straff","08:16","","Maja Josefsson","Skövde IBF","Period1","Skövde IBF - Tvåstad KIK","Straff","David Karlsson","Dan Pettersson","David Karlsson, Dan Pettersson"
"10","Missad straff","10:16","","Rebeca Lööf","Tvåstad KIK","Period2","Tvåstad KIK - IBK Lidköping","Straff","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"11","Straffmål","06:53","5-4","Louise Andersson","Fristads GoIF","Period3","Fagerhult Habo IBK - Fristads GoIF","Straff","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"12","Missad straff","15:06","","Nathalie Ljungberg","BK Halna","Period1","IBK Tygriket 99 - BK Halna","Straff","Ola Forsberg","Carl Larsson","Ola Forsberg, Carl Larsson"
"13","Missad straff","18:53","","Nelly Johansson","IBK Alingsås","Period3","Mullsjö AIS - IBK Alingsås","Straff","Christoffer Danielsson","Mikael Magnusson","Christoffer Danielsson, Mikael Magnusson"
"14","Missad straff","16:29","","Sara Magnusson","IBK Lidköping","Period3","Fristads GoIF - IBK Lidköping","Straff","Ola Forsberg","David Karlsson","Ola Forsberg, David Karlsson"
"15","Straffmål","07:32","4-4","Amanda Pesonen","IBK Lockerud Mariestad U","Period3","IBK Lockerud Mariestad U - Mullsjö AIS","Straff","Christoffer Danielsson","Kronoslav Kis","Christoffer Danielsson, Kronoslav Kis"
"16","Räddad straff","10:42","","Ebba Friberg","Mullsjö AIS","Period2","Skövde IBF - Mullsjö AIS","Straff","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"17","Räddad straff","04:27","","Matilda Karlsson","Mullsjö AIS","Period3","Skövde IBF - Mullsjö AIS","Straff","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"18","Missad straff","00:33","","Emma Sandstedt","IBK Lockerud Mariestad U","Period2","IBK Lockerud Mariestad U - Fagerhult Habo IBK","Straff","Per Johansson","Eino Vuoluterä","Per Johansson, Eino Vuoluterä"
"19","Missad straff","01:43","","Nathalie Ljungberg","BK Halna","Period3","BK Halna - Mullsjö AIS","Straff","Linus Svensson","Eino Vuoluterä","Linus Svensson, Eino Vuoluterä"
"20","Straffmål","10:10","1-1","Ebba Friberg","Mullsjö AIS","Period1","Tvåstad KIK - Mullsjö AIS","Straff","Kenth Lindqvist","Dan Pettersson","Kenth Lindqvist, Dan Pettersson"
"21","Straffmål","18:32","6-4","Nelly Johansson","IBK Alingsås","Period3","IBK Lidköping - IBK Alingsås","Straff","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
