"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Räddad straff","14:25","","Malin Gustafsson","Linköping IBK","Period1","Linköping IBK - Västra Mälardalen IB","Straff","Philip Aronsson-Elffors","Claes Knutsson","Philip Aronsson-Elffors, Claes Knutsson"
"2","Missad straff","13:49","","Tone Einstulen","IBF Falun","Period3","IBF Falun - Älvsjö AIK IBF","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"3","Räddad straff","16:55","","Johanna Holmbom","IBF Falun","Period3","IBF Falun - Älvsjö AIK IBF","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"4","Missad straff","18:34","","Emelie Lindbohm","Strömsbro IF","Period2","Strömsbro IF - Hammarby IF IBF","Straff","Håkan Thunman","Jakob Westerlund","Håkan Thunman, Jakob Westerlund"
"5","Räddad straff","17:07","","Patricia Forsell","IBF Falun","Period3","Åkersberga IBF - IBF Falun","Straff","Pierre Borghoff","Tobias Ekmark","Pierre Borghoff, Tobias Ekmark"
"6","Räddad straff","11:52","","Ellen Rännar","Västerås IBS","Period3","Västra Mälardalen IB - Västerås IBS","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"7","Straffmål","19:17","2-1","Evelina Nydén","IBF Linköping","Period1","IBK Lockerud Mariestad - IBF Linköping","Straff","Thomas Bergström","Jonas Einarsson","Thomas Bergström, Jonas Einarsson"
"8","Missad straff","04:39","","Evelina Nydén","IBF Linköping","Period3","IBK Lockerud Mariestad - IBF Linköping","Straff","Thomas Bergström","Jonas Einarsson","Thomas Bergström, Jonas Einarsson"
"9","Räddad straff","02:43","","Moa Schönning","Fröjereds IF","Period2","Telge SIBK - Fröjereds IF","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"10","Missad straff","08:48","","Stina Sjögren","Linköping IBK","Period2","Linköping IBK - Telge SIBK","Straff","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
"11","Straffmål","01:21","3-3","Emelie Eliasson","Team Kalix IBK","Period2","Team Kalix IBK - Notvikens IK","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"12","Missad straff","04:40","","Emma Svensson","Hovslätts IK","Period2","Hovslätts IK - Röke IBK","Straff","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"13","Straffmål","18:33","5-3","Linda Augustsson","Åstorp/Kvidinge IBS","Period3","Åstorp/Kvidinge IBS - Lindome IBK","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"14","Missad straff","17:03","","Anna Lindell","IBK Lund Elit","Period3","IBK Lund Elit - Skoghalls IBK","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"15","Missad straff","13:45","","Anna Lindell","IBK Lund Elit","Period1","Lindås Rasta IBK - IBK Lund Elit","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"16","Missad straff","02:19","","Frida Dahlström","Lindås Rasta IBK","Period3","Lindås Rasta IBK - IBK Lund Elit","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"17","Räddad straff","13:56","","Mira Sandström","IKSU Ungdom","Period3","Ersboda SK - IKSU Ungdom","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"18","Missad straff","00:57","","Moa Håkansson","Notvikens IK","Period2","Notvikens IK - IBF Falun","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"19","Straffmål","04:11","3-9","Moa Håkansson","Notvikens IK","Period3","Notvikens IK - IBF Falun","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"20","Straffmål","08:54","2-1","Emma Lunman","Lindome IBK","Period1","Lindome IBK - IBK Lund Elit","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"21","Straffmål","05:05","5-5","Johanna Kauppinen","FBI Tullinge","Period3","Strömsbro IF - FBI Tullinge","Straff","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"22","Missad straff","06:09","","Anna Lindell","IBK Lund Elit","Period3","FBC Kalmarsund - IBK Lund Elit","Straff","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
