"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1",1,"Straffmål","18:05","4-3","Elvira Strandberg","Spöland Vännäs IF","Period1","Spöland Vännäs IF - Gimonäs Umeå IF","Straff","Tony Cederholm","Joni Güzel","Tony Cederholm, Joni Güzel"
"2",2,"Straffmål","11:47","2-2","Hanna Kristoffersson","Örnsköldsvik IBF","Period3","Örnsköldsvik IBF - Skellefteå IBK","Straff","Maria Dahlin","Elin Lindgren","Maria Dahlin, Elin Lindgren"
"3",3,"Straffmål","02:02","3-3","Hanna Markstedt","Kågedalens AIF","Period3","Ersboda SK - Kågedalens AIF","Straff","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"4",4,"Missad straff","10:12","","Hanna Markstedt","Kågedalens AIF","Period3","Ersboda SK - Kågedalens AIF","Straff","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"5",5,"Straffmål","13:21","1-1","Moa Pettersson","Gullänget-Kroksta IBS","Period2","Gullänget-Kroksta IBS - Ersboda SK","Straff","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"6",6,"Missad straff","09:07","","Hanna Markstedt","Kågedalens AIF","Period2","Örnsköldsvik IBF - Kågedalens AIF","Straff","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"7",7,"Missad straff","18:15","","Amelia Lidgren","Sandåkerns SK","Period1","Sandåkerns SK - Gimonäs Umeå IF","Straff","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"8",8,"Missad straff","13:26","","Sofia Marklund","Ersboda SK","Period2","Ersboda SK - Röbäcks IF","Straff","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"9",9,"Räddad straff","19:34","","Moa Bergsdorf","Gimonäs Umeå IF","Period3","Gimonäs Umeå IF - Ersboda SK","Straff","Ulf Stödberg","Rasmus Säfvenberg","Ulf Stödberg, Rasmus Säfvenberg"
"10",10,"Missad straff","19:48","","Sofia Ninnes","Sävar IK","Period2","Örnsköldsvik IBF - Sävar IK","Straff","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"11",11,"Missad straff","01:40","","Hanna Markstedt","Kågedalens AIF","Period3","Kågedalens AIF - Örnsköldsvik IBF","Straff","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"12",12,"Straffmål","11:49","5-3","Moa Pettersson","Gullänget-Kroksta IBS","Period2","Gullänget-Kroksta IBS - Gimonäs Umeå IF","Straff","Peter Poopuu","Ulf Stödberg","Peter Poopuu, Ulf Stödberg"
"13",13,"Missad straff","05:49","","Hanna Kristoffersson","Örnsköldsvik IBF","Period2","Örnsköldsvik IBF - Skellefteå IBK","Straff","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
