"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","20:00","2-6","My Sahlen","Gullänget-Kroksta IBS","Period2","Umeå City IBF - Gullänget-Kroksta IBS","Straff","Klas Höglund","Robert Segerstedt","Klas Höglund, Robert Segerstedt"
"2","Missad straff","17:54","","Alva Åsberg","IBF Dalen DJ17","Period1","IBF Dalen/Sandåkerns SK - IBF Dalen DJ17","Straff","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"3","Missad straff","16:48","","Cajsa Alm","IKSU/IKSU Ungdom","Period3","IKSU/IKSU Ungdom - Vindelns IF","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"4","Räddad straff","10:27","","Lina Söderlund","Kågedalens AIF","Period3","Röbäcks IF - Kågedalens AIF","Straff","Joakim Broman","Daniel Degerman","Joakim Broman, Daniel Degerman"
"5","Missad straff","05:43","","Tilda Boström","Sävar IK/Täfteå IK","Period2","Umeå City IBF - Sävar IK/Täfteå IK","Straff","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"6","Missad straff","18:10","","Moa Jakobsson","Hissjö SK /IBF Dalen","Period3","Umeå City IBF - Hissjö SK /IBF Dalen","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"7","Straffmål","07:30","6-3","Tova Söderberg","Gimonäs Umeå IF /F04","Period3","Umeå City IBF - Gimonäs Umeå IF /F04","Straff","Kim Fallbjörk","David Karlsson","Kim Fallbjörk, David Karlsson"
"8","Räddad straff","07:39","","Moa Lindfors","Clemensnäs IF","Period3","Clemensnäs IF - Kågedalens AIF","Straff","Elias Bark Pettersson","Alvin Gustavsson","Elias Bark Pettersson, Alvin Gustavsson"
"9","Räddad straff","04:03","","Rebecca Järnskoog","IBF Dalen /Hissjö SK","Period2","Umeå City IBF - IBF Dalen /Hissjö SK","Straff","Klas Höglund","Daniel Johannesson","Klas Höglund, Daniel Johannesson"
"10","Räddad straff","05:15","","Tuva-Lee Josér","Umeå City IBF","Period2","Gullänget-Kroksta IBS - Umeå City IBF","Straff","Simon Hedkvist","Ivica Matanovic","Simon Hedkvist, Ivica Matanovic"
"11","Räddad straff","16:44","","Tilde Salomosson","Gullänget-Kroksta IBS","Period2","Gullänget-Kroksta IBS - Umeå City IBF","Straff","Simon Hedkvist","Ivica Matanovic","Simon Hedkvist, Ivica Matanovic"
"12","Räddad straff","12:20","","Emmy Frisk","Umeå City IBF","Period2","Umeå City IBF - Clemensnäs IF","Straff","Elias Bark Pettersson","Micael Holmbom","Elias Bark Pettersson, Micael Holmbom"
"13","Straffmål","19:19","2-5","Svea Gelfgren","Gimonäs Umeå IF","Period2","Kågedalens AIF - Gimonäs Umeå IF","Straff","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"14","Straffmål","10:09","1-2","Lina Söderlund","Kågedalens AIF","Period1","Umeå City IBF - Kågedalens AIF","Straff","Patrik Häggström","Andreas Åström","Patrik Häggström, Andreas Åström"
"15","Straffmål","20:00","1-0","Wilma Selin","Jäbo IK","Period1","Jäbo IK - Sävar IK/Täfteå IK","Straff","Maria Dahlin","Peder Lövdahl","Maria Dahlin, Peder Lövdahl"
"16","Straffmål","10:50","5-2","Hilma Ahnlund","Gullänget-Kroksta IBS","Period2","Gullänget-Kroksta IBS - IKSU/IKSU Ungdom","Straff","Henrik Johansson","Peder Lövdahl","Henrik Johansson, Peder Lövdahl"
