"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","10:37","8-4","Johan Gustafsson","Södra Tolvfors IF","Period3","IBK Östhammar - Södra Tolvfors IF","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"2","Straffmål","09:41","2-0","Jonathan Sundberg","IBF Borlänge","Period1","IBF Gagnef - IBF Borlänge","Straff","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"3","Missad straff","19:12","","Alexander Wahlberg","IBK Östhammar","Period1","IBK Östhammar - KFUM Falun","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"4","Räddad straff","02:35","","Carl Svedare","Björklinge BK","Period1","Lokomotiv Grillby IBK - Björklinge BK","Straff","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"5","Missad straff","19:13","","Ludvig Jakobsson","Skutskärs IBK","Period2","Skutskärs IBK - KFUM Falun","Straff","Erik Lindberg","Magnus Undén","Erik Lindberg, Magnus Undén"
"6","Missad straff","05:43","","Johannes Leissner","Björklinge BK","Period2","Björklinge BK - IBK Östhammar","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"7","Straffmål","07:47","8-1","Viktor Johansson","Björklinge BK","Period3","Björklinge BK - IBK Östhammar","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"8","Straffmål","13:10","7-2","Simon Äng","Lokomotiv Grillby IBK","Period2","Lokomotiv Grillby IBK - KFUM Falun","Straff","Mikael Eriksson","Tony Nyberg","Mikael Eriksson, Tony Nyberg"
"9","Straffmål","14:05","2-2","Johan Strandberg Andersson","IK Sirius FBC","Period1","Skutskärs IBK - IK Sirius FBC","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"10","Straffmål","08:48","8-6","Jonathan Sundberg","IBF Borlänge","Period3","IBF Borlänge - Livets Ord IF","Straff","Jonathan Blank","Erik Lindberg","Jonathan Blank, Erik Lindberg"
