"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","04:12","6-4","Felix Andersson","Kustens IF","Period3","Kustens IF - Veddige IBK","Straff","Nico Berg","Petter Niklasson","Nico Berg, Petter Niklasson"
"2","Straffmål","15:49","8-7","Simon Krantz","Veddige IBK","Period3","Kustens IF - Veddige IBK","Straff","Nico Berg","Petter Niklasson","Nico Berg, Petter Niklasson"
"3","Straffmål","14:42","6-1","Mathias Gunneklint","Särö IBK","Period2","Onsala IBK - Särö IBK","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"4","Straffmål","04:37","2-11","Simon Krantz","Veddige IBK","Period3","Sandö IBK - Veddige IBK","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"5","Straffmål","12:53","3-4","Filip Erheden","Vinbergs IBS","Period2","Träslövsläge IF - Vinbergs IBS","Straff","Henrik Andersson","Peter Bergstrand","Henrik Andersson, Peter Bergstrand"
"6","Straffmål","04:04","2-2","Filip Erheden","Vinbergs IBS","Period3","Falkenbergs IBK - Vinbergs IBS","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"7","Straffmål","09:38","5-2","Filip Erheden","Vinbergs IBS","Period2","Vinbergs IBS - Särö IBK","Straff","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"8","Missad straff","17:22","","Leo Thoren","Veddige IBK","Period3","Särö IBK - Veddige IBK","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"9","Straffmål","03:37","0-1","Simon Krantz","Veddige IBK","Period1","Onsala IBK - Veddige IBK","Straff","Henrik Andersson","Tobias Sandblom","Henrik Andersson, Tobias Sandblom"
"10","Straffmål","02:07","1-0","Jimmy Carman","Kustens IF","Period1","Sandö IBK - Kustens IF","Straff","Nico Berg","Magnus Gullquist","Nico Berg, Magnus Gullquist"
"11","Straffmål","13:54","1-1","Kim Alexandersson","Sandö IBK","Period1","Träslövsläge IF - Sandö IBK","Straff","Henrik Andersson","Magnus Gullquist","Henrik Andersson, Magnus Gullquist"
"12","Räddad straff","17:13","","Emil Josefsson","Träslövsläge IF","Period2","Träslövsläge IF - Sandö IBK","Straff","Henrik Andersson","Magnus Gullquist","Henrik Andersson, Magnus Gullquist"
"13","Missad straff","18:41","","Kim Alexandersson","Sandö IBK","Period3","Träslövsläge IF - Sandö IBK","Straff","Henrik Andersson","Magnus Gullquist","Henrik Andersson, Magnus Gullquist"
"14","Straffmål","08:06","0-4","Filip Erheden","Vinbergs IBS","Period1","Särö IBK - Vinbergs IBS","Straff","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"15","Missad straff","14:10","","Magnus Nilsson","Särö IBK","Period2","Särö IBK - Warberg IBF","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"16","Missad straff","14:09","","Patrik Wemenas","Särö IBK","Period3","Särö IBK - Warberg IBF","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"17","Straffmål","05:17","2-0","Filip Erheden","Vinbergs IBS","Period1","Onsala IBK - Vinbergs IBS","Straff","Henrik Andersson","Nico Berg","Henrik Andersson, Nico Berg"
"18","Missad straff","15:47","","Marcus Jarl","Onsala IBK","Period2","Sandö IBK - Onsala IBK","Straff","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"19","Missad straff","19:59","","Dan Sällylä","Särö IBK","Period1","Veddige IBK - Särö IBK","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"20","Straffmål","19:52","10-5","Christoffer Lindberg","Warberg IBF","Period3","Onsala IBK - Warberg IBF","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"21","Straffmål","15:08","4-2","Filip Erheden","Vinbergs IBS","Period1","Vinbergs IBS - Warberg IBF","Straff","Jonas Söderberg","Mattias Torbiörnson","Jonas Söderberg, Mattias Torbiörnson"
"22","Straffmål","06:22","10-5","Christoffer Lindberg","Warberg IBF","Period3","Vinbergs IBS - Warberg IBF","Straff","Jonas Söderberg","Mattias Torbiörnson","Jonas Söderberg, Mattias Torbiörnson"
"23","Räddad straff","05:32","","Jesper Larsson","Falkenbergs IBK","Period3","Kustens IF - Falkenbergs IBK","Straff","Mats Andersson","Daniel Hultberg","Mats Andersson, Daniel Hultberg"
"24","Straffmål","08:37","5-3","Albin Wernebäck","Kustens IF","Period3","Kustens IF - Falkenbergs IBK","Straff","Mats Andersson","Daniel Hultberg","Mats Andersson, Daniel Hultberg"
"25","Straffmål","12:29","3-1","Filip Erheden","Vinbergs IBS","Period1","Sandö IBK - Vinbergs IBS","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
"26","Straffmål","03:29","6-1","Filip Erheden","Vinbergs IBS","Period2","Sandö IBK - Vinbergs IBS","Straff","Peter Bergstrand","Tobias Sandblom","Peter Bergstrand, Tobias Sandblom"
