"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","17:31","2-5","Mattias Hjalmarsson","KFUM Norrköping IBF","Period2","IBF Norrköping - KFUM Norrköping IBF","Straff","Tom Nilsson","Sonny Weideborg","Tom Nilsson, Sonny Weideborg"
"2","Missad straff","11:57","","Mattias Sjödin","IBK Succé","Period1","IBK Succé - Solfjäderstaden IBK","Straff","Jimmy Eliasson","Jesper Liedberg","Jimmy Eliasson, Jesper Liedberg"
"3","Missad straff","15:03","","Christoffer Hallberg","Rimforsa IF","Period3","KFUM Norrköping IBF - Rimforsa IF","Straff","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"4","Straffmål","19:26","8-7","Sebastian Håkansson","IBF Norrköping","Period2","IBF Norrköping - Finspång IBK","Straff","Magnus Jakobsson","Johan Wiggur","Magnus Jakobsson, Johan Wiggur"
"5","Straffmål","04:43","9-1","Max Fredriksson","Linköping IBK Ungdom","Period3","Rimforsa IF - Linköping IBK Ungdom","Straff","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
"6","Missad straff","08:13","","Tobias Claesson","Rimforsa IF","Period3","Rimforsa IF - Linköping IBK Ungdom","Straff","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
"7","Missad straff","18:45","","Adam von Below","Söderköpings IBK","Period2","Söderköpings IBK - Linköping Legends FBC","Straff","Jimmy Eliasson","Daniel Hermansson","Jimmy Eliasson, Daniel Hermansson"
"8","Straffmål","00:42","10-4","Jesper Örtnäs-Gotenstam","IBK Succé","Period3","Linköpings Universitets AIF IBK - IBK Succé","Straff","Magnus Jakobsson","Johan Wiggur","Magnus Jakobsson, Johan Wiggur"
"9","Räddad straff","14:36","","Tobias Samuelsson","IBK Succé","Period3","Linköpings Universitets AIF IBK - IBK Succé","Straff","Magnus Jakobsson","Johan Wiggur","Magnus Jakobsson, Johan Wiggur"
"10","Straffmål","16:02","5-5","Gustav Strandberg","Linköpings Universitets AIF IBK","Period3","Linköpings Universitets AIF IBK - Rimforsa IF","Straff","Jimmy Eliasson","Jesper Liedberg","Jimmy Eliasson, Jesper Liedberg"
"11","Räddad straff","11:30","","Markus Eriksson","Linköping Legends FBC","Period1","Linköping Legends FBC - Solfjäderstaden IBK","Straff","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
"12","Straffmål","07:55","5-3","Gustav Strandberg","Linköpings Universitets AIF IBK","Period2","Bergs IK - Linköpings Universitets AIF IBK","Straff","Tom Nilsson","Sonny Weideborg","Tom Nilsson, Sonny Weideborg"
"13","Straffmål","18:05","13-4","Christoffer Jonsson","Solfjäderstaden IBK","Period3","Solfjäderstaden IBK - Finspång IBK","Straff","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"14","Missad straff","16:52","","Mattias Sjödin","IBK Succé","Period3","IBK Succé - Linköping Legends FBC","Straff","Daniel Hermansson","Henric Lundeborg","Daniel Hermansson, Henric Lundeborg"
"15","Missad straff","10:40","","Jerry Hjort","IBK Succé","Period2","IBK Succé - Rimforsa IF","Straff","Martin Eriksson","Emil Glenngård","Martin Eriksson, Emil Glenngård"
"16","Straffmål","14:48","10-2","Marcus Karlsson","Rimforsa IF","Period3","Rimforsa IF - Bergs IK","Straff","Daniel Hermansson","Henric Lundeborg","Daniel Hermansson, Henric Lundeborg"
"17","Missad straff","06:24","","Marcus Karlsson","Rimforsa IF","Period2","Finspång IBK - Rimforsa IF","Straff","Thomas Nystrand","Peter Ström","Thomas Nystrand, Peter Ström"
