"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","17:29","3-3","Oscar Skog","Lomma FBC H2","Period2","Lomma FBC H2 - Palmstaden IK H2","Straff","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"2","Straffmål","05:51","2-2","William Jönsson","Munka Ljungby IBK Akademi","Period3","Munka Ljungby IBK Akademi - Willands IBK H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"3","Missad straff","01:48","","Mattias Pettersson","Lönsboda IBK","Period1","Lönsboda IBK - FBC Helsingborg","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"4","Missad straff","17:41","","Joel Nilsson Westerlund","Palmstaden IK H2","Period3","IBS Svedala H2 - Palmstaden IK H2","Straff","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"5","Straffmål","18:47","8-4","Mattias Pettersson","Lönsboda IBK","Period3","Åstorp/Kvidinge IBS H2 - Lönsboda IBK","Straff","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"6","Missad straff","03:36","","Isak Amundsson","Bjärreds IBK H2","Period3","Bjärreds IBK H2 - Munka Ljungby IBK Akademi","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"7","Missad straff","08:15","","Rasmus Henriksen","Lomma FBC H2","Period3","Palmstaden IK H2 - Lomma FBC H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"8","Missad straff","10:31","","Robin Mardell","Palmstaden IK H2","Period3","Palmstaden IK H2 - Lomma FBC H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"9","Räddad straff","18:56","","Hugo Krahner","FBC Helsingborg","Period3","FBC Helsingborg - IBK Höllviken H2","Straff","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"10","Straffmål","16:38","6-8","Isak Amundsson","Bjärreds IBK H2","Period3","Bjärreds IBK H2 - Lomma FBC H2","Straff","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
"11","Straffmål","01:28","4-5","Elliott Windfeldt","FBC Helsingborg","Period3","FBC Helsingborg - IBS Svedala H2","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"12","Straffmål","19:45","3-4","Fredrik Theander","IBK Höllviken H2","Period2","IBK Höllviken H2 - Åstorp/Kvidinge IBS H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"13","Straffmål","04:11","3-1","Alexander Wedberg","Willands IBK H2","Period2","Willands IBK H2 - Bjärreds IBK H2","Straff","Hampe Gustavsson","Kevin Prahl","Hampe Gustavsson, Kevin Prahl"
"14","Missad straff","18:05","","William Göransson","Åstorp/Kvidinge IBS H2","Period3","Munka Ljungby IBK Akademi - Åstorp/Kvidinge IBS H2","Straff","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"15","Missad straff","16:10","","Gustaf Starbrant","FBC Engelholm H2","Period1","FBC Engelholm H2 - IBS Svedala H2","Straff","Ola Nilsson","Sigge Svensson Martell","Ola Nilsson, Sigge Svensson Martell"
"16","Straffmål","10:41","2-9","Julian Nihlén","IBK Höllviken H2","Period2","IBK Höllviken H2 - Willands IBK H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"17","Straffmål","18:30","6-2","Marcus Johnsson","Munka Ljungby IBK Akademi","Period2","Munka Ljungby IBK Akademi - IBK Höllviken H2","Straff","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
"18","Räddad straff","11:50","","Christoffer Norell","IBS Svedala H2","Period2","IBS Svedala H2 - Bjärreds IBK H2","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"19","Missad straff","09:57","","Albin Nilsson","FBC Helsingborg","Period2","FBC Helsingborg - Bjärreds IBK H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"20","Räddad straff","09:48","","André Svensson","Lönsboda IBK","Period1","FBC Helsingborg - Lönsboda IBK","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"21","Straffmål","04:57","5-2","Robin Mardell","Palmstaden IK H2","Period3","Palmstaden IK H2 - Åstorp/Kvidinge IBS H2","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
