"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","13:12","","Martin Berggren","Ingelstad IBK","Period2","Vetlanda IBF - Ingelstad IBK","Straff","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"2","Missad straff","18:36","","Anton Andersson","Nybro IBK","Period2","Ingelstad IBK - Nybro IBK","Straff","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"3","Straffmål","07:01","3-6","Adrian Brorsson","Vimmerby IBK","Period3","FBC Karlskrona - Vimmerby IBK","Straff","Per Elofsson","Ulf Åberg","Per Elofsson, Ulf Åberg"
"4","Räddad straff","19:10","","Niklas Karlsson","FBC Karlskrona","Period3","FBC Karlskrona - Vimmerby IBK","Straff","Per Elofsson","Ulf Åberg","Per Elofsson, Ulf Åberg"
"5","Räddad straff","14:23","","Rasmus Nilsson","Månsarps IBK","Period3","Månsarps IBK - Vetlanda IBF","Straff","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"6","Missad straff","11:41","","Kalle Schwartz","CL98IC","Period1","CL98IC - Ingelstad IBK","Straff","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"7","Straffmål","19:46","8-7","Felix Jotarv","Stenåsa-Sandby-Gårdby IF","Period3","Stenåsa-Sandby-Gårdby IF - FBC Karlskrona","Straff","Niklas Dahlberg","Edo Sabanovic","Niklas Dahlberg, Edo Sabanovic"
"8","Straffmål","19:09","2-6","Melvin Domeij","FBC Karlskrona","Period2","Månsarps IBK - FBC Karlskrona","Straff","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"9","Missad straff","19:40","","Viktor Brajdic","CL98IC","Period3","CL98IC - Stenåsa-Sandby-Gårdby IF","Straff","Jonas Hellberg","Anders Stenberg","Jonas Hellberg, Anders Stenberg"
"10","Räddad straff","00:57","","Eric Carlsson","Gnosjö IBK","Period2","Gnosjö IBK - Slätafly/SK IBK","Straff","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"11","Straffmål","07:55","5-2","Oliver Landberg","Gnosjö IBK","Period3","Gnosjö IBK - Slätafly/SK IBK","Straff","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"12","Straffmål","02:00","2-1","Jesper Jonsson","Sävsjö IBK","Period2","Slätafly/SK IBK - Sävsjö IBK","Straff","Anders Stenberg","Jonas Widenstedt","Anders Stenberg, Jonas Widenstedt"
"13","Straffmål","04:21","1-3","Adrian Brorsson","Vimmerby IBK","Period2","Vimmerby IBK - Stenåsa-Sandby-Gårdby IF","Straff","Per Elofsson","Ulf Åberg","Per Elofsson, Ulf Åberg"
