"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","17:53","3-3","Mikael Hansson","IK Standard","Period2","Ekbackskyrkans IBK - IK Standard","Straff","Göran Engfors","Stefan Öberg","Göran Engfors, Stefan Öberg"
"2","Missad straff","05:47","","Oscar Strömwall","Onyx IBS","Period2","Onyx IBS - Telge SIBK","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"3","Straffmål","01:37","1-1","Jonathan Neander","IFK Gnesta","Period2","Nykvarns IF - IFK Gnesta","Straff","Richard Himberg","Daniel Pettersson","Richard Himberg, Daniel Pettersson"
"4","Straffmål","10:08","6-5","Leo Åhamn","Onyx IBS","Period3","Onyx IBS - IK Standard","Straff","Christian Jarl","Daniel Lindbom-Rydell","Christian Jarl, Daniel Lindbom-Rydell"
"5","Straffmål","15:01","6-5","Adam Ericson","Flens IBF","Period2","Flens IBF - Katrineholms IBF","Straff","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"6","Missad straff","15:39","","Alexander Eriksson","Onyx IBS","Period2","FBC Nyköping - Onyx IBS","Straff","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"7","Straffmål","07:43","8-2","Mikael Hansson","IK Standard","Period3","IK Standard - Trosa Edanö IBK","Straff","Mikael Celik","Stefan Öberg","Mikael Celik, Stefan Öberg"
"8","Straffmål","14:53","7-3","Anton Malmqvist Scott","Telge SIBK","Period1","Katrineholms IBF - Telge SIBK","Straff","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"9","Straffmål","10:54","4-1","Jonathan Neander","IFK Gnesta","Period1","Katrineholms IBF - IFK Gnesta","Straff","Mikael Celik","Christian Johnsson","Mikael Celik, Christian Johnsson"
"10","Straffmål","13:12","0-2","Jesper Kangosjärvi","Flens IBF","Period1","Trosa Edanö IBK - Flens IBF","Straff","Mattias Lönnborg","Stefan Öberg","Mattias Lönnborg, Stefan Öberg"
"11","Straffmål","08:34","1-0","Mattias Karlström","Nykvarns IF","Period1","Nykvarns IF - Trosa Edanö IBK","Straff","Aarre Hietanen","Ken Johansson","Aarre Hietanen, Ken Johansson"
"12","Straffmål","06:48","3-3","Niklas Davidsson","Katrineholms IBF","Period2","Katrineholms IBF - IK Standard","Straff","Christian Johnsson","Daniel Pettersson","Christian Johnsson, Daniel Pettersson"
"13","Missad straff","09:39","","Jacob Milde","Ekbackskyrkans IBK","Period3","Ekbackskyrkans IBK - Telge SIBK","Straff","Mikael Celik","Richard Himberg","Mikael Celik, Richard Himberg"
"14","Straffmål","18:44","2-1","Leo Åhamn","Onyx IBS","Period1","Onyx IBS - Katrineholms IBF","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"15","Räddad straff","18:42","","Martin Lind","Katrineholms IBF","Period3","Onyx IBS - Katrineholms IBF","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"16","Straffmål","08:20","0-4","Tobias Nilsson-Lindström","Flens IBF","Period1","Onyx IBS - Flens IBF","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"17","Straffmål","05:35","3-7","Daniel Johansson","IFK Gnesta","Period3","Katrineholms IBF - IFK Gnesta","Straff","Aarre Hietanen","Henrik Ibjer","Aarre Hietanen, Henrik Ibjer"
"18","Missad straff","07:03","","Tobias Nilsson-Lindström","Flens IBF","Period1","Flens IBF - Trosa Edanö IBK","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"19","Straffmål","14:15","1-1","Fredrik Lexell","Trosa Edanö IBK","Period1","Flens IBF - Trosa Edanö IBK","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"20","Straffmål","18:06","7-6","Fredrik Lexell","Trosa Edanö IBK","Period3","Trosa Edanö IBK - Ekbackskyrkans IBK","Straff","Dennis Wagermark","Stefan Öberg","Dennis Wagermark, Stefan Öberg"
"21","Straffmål","12:50","2-3","Mattias Karlström","Nykvarns IF","Period2","Nykvarns IF - Onyx IBS","Straff","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
