"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","07:53","","Markus Tysk","Hammarbyhöjden IBK","Period3","Åkersberga IBF (A) - Hammarbyhöjden IBK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"2","Räddad straff","19:52","","Fredrik Jigland","Grimsta AIK","Period1","Grimsta AIK - Balrog B/S IK","Straff","Fabian Fahimi","Arash Sohrevardi","Fabian Fahimi, Arash Sohrevardi"
"3","Straffmål","19:59","1-1","Robert Axelsson Sjöblom","Balrog B/S IK","Period1","Grimsta AIK - Balrog B/S IK","Straff","Fabian Fahimi","Arash Sohrevardi","Fabian Fahimi, Arash Sohrevardi"
"4","Räddad straff","05:08","","Robert Axelsson Sjöblom","Balrog B/S IK","Period3","Grimsta AIK - Balrog B/S IK","Straff","Fabian Fahimi","Arash Sohrevardi","Fabian Fahimi, Arash Sohrevardi"
"5","Straffmål","06:04","2-1","Johan Vestin","Runby IBK","Period1","Ingarö IF (A) - Runby IBK","Straff","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"6","Räddad straff","10:47","","Christoffer Leijon","Tumba GOIF","Period3","Tumba GOIF - Åkersberga IBF (A)","Straff","David Berger","Tobias Berger","David Berger, Tobias Berger"
"7","Missad straff","14:10","","Vilde Westerlund","Ingarö IF (A)","Period3","Ingarö IF (A) - Balrog B/S IK","Straff","Janne Ahonen","Aleksi Partanen","Janne Ahonen, Aleksi Partanen"
"8","Straffmål","06:50","3-6","Tobias Björnsson","Ekerö IK","Period2","Runby IBK - Ekerö IK","Straff","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"9","Missad straff","13:36","","Kalle Berglund","Grimsta AIK","Period1","Grimsta AIK - Tumba GOIF","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"10","Straffmål","18:50","5-0","Kalle Berglund","Grimsta AIK","Period1","Grimsta AIK - Tumba GOIF","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"11","Straffmål","18:01","1-2","Joel Ekdal","Råsunda IS","Period1","Runby IBK - Råsunda IS","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"12","Straffmål","15:26","6-3","Johan Vestin","Runby IBK","Period2","Runby IBK - Råsunda IS","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"13","Missad straff","04:04","","Johan Vestin","Runby IBK","Period3","Runby IBK - Råsunda IS","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"14","Räddad straff","06:05","","Max Österman","Råsunda IS","Period3","Råsunda IS - Runby IBK","Straff","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"15","Missad straff","15:48","","Fredrik Leijon","Tumba GOIF","Period1","Balrog B/S IK - Tumba GOIF","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"16","Straffmål","15:07","10-2","Sam Elkhoury","Tumba GOIF","Period2","Balrog B/S IK - Tumba GOIF","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"17","Räddad straff","10:14","","Vilde Westerlund","Ingarö IF (A)","Period2","Värmdö IF (B) - Ingarö IF (A)","Straff","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"18","Straffmål","15:41","2-5","Erik Forsgren","Hammarbyhöjden IBK","Period2","Nacka Wallenstam IBK - Hammarbyhöjden IBK","Straff","Kari Karke","Patric Terelius","Kari Karke, Patric Terelius"
"19","Räddad straff","11:50","","Robert Axelsson Sjöblom","Balrog B/S IK","Period3","Balrog B/S IK - Runby IBK","Straff","Jonas Edström","Shari Tingman","Jonas Edström, Shari Tingman"
"20","Straffmål","14:26","3-5","Vilde Westerlund","Ingarö IF (A)","Period2","Nacka Wallenstam IBK - Ingarö IF (A)","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"21","Straffmål","07:16","5-10","Johan Vestin","Runby IBK","Period3","Åkersberga IBF (A) - Runby IBK","Straff","Jonas Håmark","Alexander Sommensjö","Jonas Håmark, Alexander Sommensjö"
"22","Straffmål","01:24","1-5","Kalle Berglund","Grimsta AIK","Period2","Ekerö IK - Grimsta AIK","Straff","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"23","Straffmål","10:17","3-0","Melker Klingström-Adelmor","Ekerö IK","Period1","Ekerö IK - Åkersberga IBF (A)","Straff","Johan Larsson","Sebastian Öhman","Johan Larsson, Sebastian Öhman"
"24","Missad straff","09:00","","Jonathan Andersson","Nacka Wallenstam IBK","Period2","Nacka Wallenstam IBK - Runby IBK","Straff","David Berger","Martin Johansson","David Berger, Martin Johansson"
"25","Straffmål","08:45","5-13","Leo Johansson","Nacka Wallenstam IBK","Period3","Råsunda IS - Nacka Wallenstam IBK","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"26","Missad straff","03:48","","Joel Ekdal","Råsunda IS","Period3","Ingarö IF (A) - Råsunda IS","Straff","Fredrik Berglund Sonesson","Johan Larsson","Fredrik Berglund Sonesson, Johan Larsson"
"27","Straffmål","07:57","4-8","Johan Vestin","Runby IBK","Period3","Tumba GOIF - Runby IBK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"28","Straffmål","18:24","3-2","Elvis Lyttegård","Huddinge IBS","Period3","Huddinge IBS - Ingarö IF (A)","Straff","Andreas Bengtsson","Fabian Fahimi","Andreas Bengtsson, Fabian Fahimi"
"29","Missad straff","01:22","","Niklas Fischerström","Hammarbyhöjden IBK","Period2","Åkersberga IBF (A) - Hammarbyhöjden IBK","Straff","Elis Erbing","Martin Johansson","Elis Erbing, Martin Johansson"
"30","Räddad straff","05:27","","Vilde Westerlund","Ingarö IF (A)","Period1","Ekerö IK - Ingarö IF (A)","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"31","Missad straff","12:09","","Joel Ekdal","Råsunda IS","Period2","Råsunda IS - Balrog B/S IK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"32","Missad straff","07:29","","Joel Pierre","Åkersberga IBF (A)","Period2","Värmdö IF (B) - Åkersberga IBF (A)","Straff","Fredrik Berglund Sonesson","Jimmy Rittervall","Fredrik Berglund Sonesson, Jimmy Rittervall"
"33","Straffmål","10:14","2-8","Fredrik Berg","Åkersberga IBF (A)","Period3","Värmdö IF (B) - Åkersberga IBF (A)","Straff","Fredrik Berglund Sonesson","Jimmy Rittervall","Fredrik Berglund Sonesson, Jimmy Rittervall"
"34","Straffmål","06:20","4-0","Johan Vestin","Runby IBK","Period1","Runby IBK - Tumba GOIF","Straff","Emil Glenngård","Christian Högberg","Emil Glenngård, Christian Högberg"
"35","Straffmål","10:25","7-3","Robin Eneroth","Balrog B/S IK","Period3","Balrog B/S IK - Hammarbyhöjden IBK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"36","Straffmål","07:45","3-15","Christoffer Leijon","Tumba GOIF","Period3","Tumba GOIF - Ingarö IF (A)","Straff","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"37","Straffmål","02:45","2-5","Kalle Berglund","Grimsta AIK","Period2","Tumba GOIF - Grimsta AIK","Straff","Jonas Holm","Emilia Tuomela","Jonas Holm, Emilia Tuomela"
"38","Straffmål","17:24","3-18","Kalle Berglund","Grimsta AIK","Period3","Tumba GOIF - Grimsta AIK","Straff","Jonas Holm","Emilia Tuomela","Jonas Holm, Emilia Tuomela"
"39","Missad straff","15:26","","Simon Sköldborg","Huddinge IBS","Period2","Huddinge IBS - Runby IBK","Straff","Andreas Bengtsson","Johannes Ekenberg","Andreas Bengtsson, Johannes Ekenberg"
"40","Straffmål","05:58","3-3","Johan Vestin","Runby IBK","Period2","Balrog B/S IK - Runby IBK","Straff","Elis Erbing","Shari Tingman","Elis Erbing, Shari Tingman"
"41","Straffmål","13:36","4-5","Robert Axelsson Sjöblom","Balrog B/S IK","Period2","Balrog B/S IK - Runby IBK","Straff","Elis Erbing","Shari Tingman","Elis Erbing, Shari Tingman"
