"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","18:27","1-8","Marcus Frödén","IFK Väse","Period2","Grums IBK - IFK Väse","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"2","Missad straff","03:07","","Robin Sangré","Karlskoga IBF","Period4","Karlskoga IBF - Karlstad IBF Ungdom","Straff","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"3","Straffmål","09:18","3-1","Benjamin Middleton","Karlstad IBF Ungdom","Period2","Hultsberg/Björkås IBF - Karlstad IBF Ungdom","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"4","Missad straff","10:44","","Daniel Augustsson","IFK Väse","Period3","IFK Väse - Skoghalls IBK Utveckling","Straff","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"5","Straffmål","15:11","9-4","Nils Palmqvist","Skoghalls IBK Utveckling","Period3","IFK Väse - Skoghalls IBK Utveckling","Straff","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"6","Straffmål","10:02","5-3","Hjalmar Eleholm","Hultsberg/Björkås IBF","Period3","IFK Väse - Hultsberg/Björkås IBF","Straff","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"7","Straffmål","17:02","2-8","Martin Johansson","Grums IBK","Period2","Grums IBK - Skattkärrs IK","Straff","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"8","Räddad straff","17:11","","Michael Andersson","Skattkärrs IK","Period3","Skattkärrs IK - Nilsby IK","Straff","Henrik Jansson","Nicklas Johansson","Henrik Jansson, Nicklas Johansson"
"9","Straffmål","06:09","2-0","Daniel Rebane","Nilsby IK","Period1","Hultsberg/Björkås IBF - Nilsby IK","Straff","Adam Haglund","Tobias Jäderqvist","Adam Haglund, Tobias Jäderqvist"
"10","Straffmål","17:44","8-1","Hjalmar Eleholm","Hultsberg/Björkås IBF","Period2","Hultsberg/Björkås IBF - Nilsby IK","Straff","Adam Haglund","Tobias Jäderqvist","Adam Haglund, Tobias Jäderqvist"
"11","Missad straff","05:09","","Martin Johansson","Grums IBK","Period3","Grums IBK - Karlskoga IBF","Straff","Nicklas Johansson","Pierre Malmgren","Nicklas Johansson, Pierre Malmgren"
"12","Missad straff","19:58","","Andreas Vestlund","IFK Väse","Period3","SK Örnen - IFK Väse","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"13","Missad straff","13:50","","Daniel Rebane","Nilsby IK","Period3","Grums IBK - Nilsby IK","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"14","Missad straff","02:14","","Marcus Olsson","Karlstad IBF Ungdom","Period1","IFK Väse - Karlstad IBF Ungdom","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"15","Straffmål","09:22","3-3","Marcus Olsson","Karlstad IBF Ungdom","Period2","IFK Väse - Karlstad IBF Ungdom","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"16","Missad straff","11:31","","Mattheus Thorin","Åmåls IBK","Period2","Grums IBK - Åmåls IBK","Straff","Johan Friman","Jonas Snäll","Johan Friman, Jonas Snäll"
"17","Straffmål","14:44","2-2","Martin Ström","SK Örnen","Period2","SK Örnen - Karlskoga IBF","Straff","Erik Bergström","Christoffer Frykestam","Erik Bergström, Christoffer Frykestam"
"18","Straffmål","12:59","7-3","Martin Ström","SK Örnen","Period2","SK Örnen - Grums IBK","Straff","Lars Larsson","Pierre Malmgren","Lars Larsson, Pierre Malmgren"
