"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","00:17","4-9","Felix Pihlajamaa-Jonsson","Täfteå IK","Period3","IBK Umeå Norr - Täfteå IK","Straff","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"2","Missad straff","18:10","","NA","Clemensnäs IF","Period2","Obbola IK - Clemensnäs IF","Straff","Thomas Jonsson","Mats Öster","Thomas Jonsson, Mats Öster"
"3","Missad straff","10:15","","Niklas Eriksson","Gullänget-Kroksta IBS","Period3","Gullänget-Kroksta IBS - Obbola IK","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"4","Straffmål","13:10","6-9","Jim Johansson","Obbola IK","Period3","Gullänget-Kroksta IBS - Obbola IK","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"5","Straffmål","15:28","11-8","Jonathan Larsson","Gimonäs Umeå IBF","Period3","Gimonäs Umeå IBF - IBK Umeå Norr","Straff","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"6","Straffmål","19:45","4-4","Erik Morin","IK SPIF Umeå","Period3","IK SPIF Umeå - Hörnefors IF","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"7","Räddad straff","11:24","","Sören Landby","IBK Umeå Norr","Period2","IBK Umeå Norr - IK SPIF Umeå","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"8","Straffmål","16:20","7-9","William Löf","Rönnskär Railcare IF","Period3","Umeå City IBF - Rönnskär Railcare IF","Straff","Johan Rönnberg","Andreas Åström","Johan Rönnberg, Andreas Åström"
"9","Straffmål","08:32","1-9","Joakim Hagenmalm","IBK Umeå Norr","Period2","IBK Umeå Norr - Obbola IK","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"10","Räddad straff","00:32","","David Raiting","IBS Dalen","Period3","Hörnefors IF - IBS Dalen","Straff","Jonas Ahlehjelm","Thomas Jonsson","Jonas Ahlehjelm, Thomas Jonsson"
"11","Räddad straff","08:45","","Peder Bodén","IBK Umeå Norr","Period1","Täfteå IK - IBK Umeå Norr","Straff","Björn Glad"," ","Björn Glad"
"12","Missad straff","03:23","","Kalle Zetterström","IK SPIF Umeå","Period3","FBC Moröbacke - IK SPIF Umeå","Straff","Jonas Ahlehjelm","Mats Öster","Jonas Ahlehjelm, Mats Öster"
