"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Räddad straff","19:46","","Petter Jääskö","Borås IBF","Period3","Skövde IBF - Borås IBF","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"2","Missad straff","06:53","","Jerker Frick","Stöpen IBK","Period2","Fröjereds IF - Stöpen IBK","Straff","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"3","Räddad straff","00:16","","Joakim Elofsson","Stöpen IBK","Period3","Fröjereds IF - Stöpen IBK","Straff","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"4","Straffmål","08:51","7-4","Fredrik Hermansson","BK Halna","Period3","Skövde IBF - BK Halna","Straff","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"5","Räddad straff","15:38","","Hannes Gustavsson","IBK Vänersborg","Period2","Rydboholms SK - IBK Vänersborg","Straff","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"6","Straffmål","01:37","4-3","Oscar Garyd","Vara IBK","Period3","Vara IBK - Sandareds IBS","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"7","Räddad straff","12:50","","Fredrik Hermansson","BK Halna","Period3","Tranemo IBK - BK Halna","Straff","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"8","Straffmål","18:47","1-5","Jesper Löfvenius","Wårgårda IBK","Period1","Wårgårda IBK - IBK Tygriket 99","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"9","Straffmål","19:37","6-8","Alfons Svensson","IBK Tygriket 99","Period3","Sandareds IBS - IBK Tygriket 99","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"10","Räddad straff","12:40","","Emil Whass","Wårgårda IBK","Period2","Skövde IBF - Wårgårda IBK","Straff","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"11","Missad straff","07:36","","Hugo Klahr","Fröjereds IF","Period2","Fröjereds IF - Vara IBK","Straff","Magnus Jansson","Erling Josefsson","Magnus Jansson, Erling Josefsson"
"12","Straffmål","00:30","0-1","Dennis Vallin-Lans","Skövde IBF","Period1","Skövde IBF - BK Halna","Straff","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"13","Straffmål","03:21","1-2","Marko Salo","BK Halna","Period1","Skövde IBF - BK Halna","Straff","Kronoslav Kis","Mikael Magnusson","Kronoslav Kis, Mikael Magnusson"
"14","Straffmål","19:46","2-7","Dennis Vallin-Lans","Skövde IBF","Period2","Sandareds IBS - Skövde IBF","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"15","Straffmål","02:47","4-7","Adam Sjölander","Sandareds IBS","Period3","Sandareds IBS - Skövde IBF","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"16","Räddad straff","18:35","","Mikael Rosell","Tranemo IBK","Period3","Tranemo IBK - IBK Vänersborg","Straff","Erling Josefsson","Sven Persson","Erling Josefsson, Sven Persson"
"17","Räddad straff","05:52","","Oscar Garyd","Vara IBK","Period1","Stöpen IBK - Vara IBK","Straff","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"18","Straffmål","03:24","3-3","Simon Larsson","Rydboholms SK","Period2","Rydboholms SK - Borås IBF","Straff","Mattias Furbo","Sven Persson","Mattias Furbo, Sven Persson"
"19","Räddad straff","11:22","","Marcus Sjöholm","Stöpen IBK","Period3","IBK Vänersborg - Stöpen IBK","Straff","Magnus Jansson","Pedram Koublani","Magnus Jansson, Pedram Koublani"
"20","Straffmål","06:17","0-1","Adam Sjölander","Sandareds IBS","Period1","Rydboholms SK - Sandareds IBS","Straff","Erling Josefsson","Joakim Mattsson","Erling Josefsson, Joakim Mattsson"
"21","Straffmål","15:39","7-4","Marcus Sjöholm","Stöpen IBK","Period3","Tranemo IBK - Stöpen IBK","Straff","David Persson","Harri Tjäder","David Persson, Harri Tjäder"
"22","Missad straff","06:51","","Alexander Lindahl","IBK Vänersborg","Period3","IBK Vänersborg - Fröjereds IF","Straff","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
