"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Räddad straff","19:02","","Jonny Swahn","FBC Lo","Period2","Alfta IBK - FBC Lo","Straff","Johnny Sundberg","Leif Sundberg","Johnny Sundberg, Leif Sundberg"
"2","Räddad straff","02:36","","Pontus Mickelsson","Alfta IBK","Period3","Jemtland Innebandy Utv - Alfta IBK","Straff","Niclas Engström","Robert Olofsson","Niclas Engström, Robert Olofsson"
"3","Missad straff","03:20","","Oskar Olsén","Alfta IBK","Period4","Jemtland Innebandy Utv - Alfta IBK","Straff","Niclas Engström","Robert Olofsson","Niclas Engström, Robert Olofsson"
"4","Missad straff","09:25","","Jonny Swahn","FBC Lo","Period2","FBC Lo - Wallviks IK","Straff","Johnny Sundberg","Leif Sundberg","Johnny Sundberg, Leif Sundberg"
"5","Straffmål","11:48","5-5","Erik Edström","Sundsvall City IBC U","Period3","IBK Härnösand - Sundsvall City IBC U","Straff","Joakim Nydahl","Fredrik Söderholm","Joakim Nydahl, Fredrik Söderholm"
"6","Straffmål","01:50","5-2","Anders Wester","Hudik/Björkberg U","Period3","Sundsvall FBC Ungdom - Hudik/Björkberg U","Straff","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"7","Räddad straff","19:58","","Petter Melinder","Sundsvall FBC Utveckling","Period2","Sundsvall City IBC U - Sundsvall FBC Utveckling","Straff","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"8","Straffmål","20:00","5-9","Erik Zacco","Hudik/Björkberg U","Period2","FBC Lo - Hudik/Björkberg U","Straff","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"9","Missad straff","11:56","","Tobias Söderberg","FBC Lo","Period3","FBC Lo - Hudik/Björkberg U","Straff","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"10","Straffmål","13:37","8-13","Anders Wester","Hudik/Björkberg U","Period3","FBC Lo - Hudik/Björkberg U","Straff","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"11","Räddad straff","15:53","","William Engström","Klockarbergets BK","Period2","Fränsta IK - Klockarbergets BK","Straff","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"12","Straffmål","10:52","5-5","Emil Malmrot","Jemtland Innebandy Utv","Period2","Jemtland Innebandy Utv - Fränsta IK","Straff","Mats Finke","Urban Larsson","Mats Finke, Urban Larsson"
"13","Straffmål","10:49","7-7","Olle Domander-Ivarsson","Jemtland Innebandy Utv","Period3","Jemtland Innebandy Utv - Fränsta IK","Straff","Mats Finke","Urban Larsson","Mats Finke, Urban Larsson"
"14","Räddad straff","13:47","","Vilmer Åsenstam","Jemtland Innebandy Utv","Period3","Jemtland Innebandy Utv - Fränsta IK","Straff","Mats Finke","Urban Larsson","Mats Finke, Urban Larsson"
"15","Missad straff","13:31","","Stefan Westman","IBK Härnösand","Period2","IBK Härnösand - Fränsta IK","Straff","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"16","Räddad straff","04:13","","Victor Hanold","Wallviks IK","Period1","Wallviks IK - Alfta IBK","Straff","Johnny Sundberg","Leif Sundberg","Johnny Sundberg, Leif Sundberg"
"17","Straffmål","05:56","2-7","Nawzad Palani","Wallviks IK","Period3","Wallviks IK - Alfta IBK","Straff","Johnny Sundberg","Leif Sundberg","Johnny Sundberg, Leif Sundberg"
