"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","19:23","4-4","Niklas Bengtsson","Guldhedens IK H2","Period2","Guldhedens IK H2 - Burås IK H2","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"2","Missad straff","03:30","","Martin Jellvert Börjeson","IBK Kungälv H2","Period1","IBK Kungälv H2 - IBK Göteborg H2","Straff","Joakim Amri Nilsson","Hajrudin Begic","Joakim Amri Nilsson, Hajrudin Begic"
"3","Straffmål","06:46","1-5","Martin Jellvert Börjeson","IBK Kungälv H2","Period2","IBK Kungälv H2 - Guldhedens IK H2","Straff","Besim Mehmedagic","Adnan Tongur","Besim Mehmedagic, Adnan Tongur"
"4","Straffmål","05:53","2-3","Andreas Duvsund","Partille IBS H2","Period2","Frölunda IBK H2 - Partille IBS H2","Straff","Pelle Hellberg","Joakim Jögi","Pelle Hellberg, Joakim Jögi"
"5","Missad straff","07:04","","Mattias Öhrn","Torslanda IBF H2","Period3","Torslanda IBF H2 - Lindome IBK H2","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"6","Missad straff","13:19","","Martin Ledstam","Guldhedens IK H2","Period1","Burås IK H2 - Guldhedens IK H2","Straff","Pelle Hellberg","Joakim Jögi","Pelle Hellberg, Joakim Jögi"
"7","Missad straff","13:27","","Joakim Örneflo","Landvetter IBK H2","Period2","Frölunda IBK H2 - Landvetter IBK H2","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"8","Straffmål","18:52","4-7","Emil Kronaas","IBF Backadalen","Period3","IBF Backadalen - Guldhedens IK H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"9","Straffmål","19:51","6-5","Oscar Larsson","Lindome IBK H2","Period3","Burås IK H2 - Lindome IBK H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"10","Missad straff","19:59","","Almir Mehmedagic","Romelanda UF H2","Period2","Romelanda UF H2 - Partille IBS H2","Straff","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"11","Räddad straff","03:05","","Almir Mehmedagic","Romelanda UF H2","Period2","Romelanda UF H2 - IBK Kungälv H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"12","Straffmål","17:05","6-3","William Jansson","IBF Backadalen","Period2","IBK Göteborg H2 - IBF Backadalen","Straff","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"13","Straffmål","17:44","2-2","Filip Hamretz","Frölunda IBK H2","Period1","Frölunda IBK H2 - Burås IK H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"14","Straffmål","14:42","8-4","Jacob Hafrén","Lindome IBK H2","Period3","Lindome IBK H2 - Partille IBS H2","Straff","Jesper Dammert","Besim Mehmedagic","Jesper Dammert, Besim Mehmedagic"
"15","Straffmål","08:05","4-3","Andreas Esmyr","Landvetter IBK H2","Period3","Partille IBS H2 - Landvetter IBK H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"16","Straffmål","10:42","2-6","Pontus Blomberg","Partille IBS H2","Period2","Guldhedens IK H2 - Partille IBS H2","Straff","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"17","Missad straff","19:20","","Rasmus Johansson","Partille IBS H2","Period3","Partille IBS H2 - IBF Backadalen","Straff","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"18","Missad straff","14:06","","Oscar Larsson","Lindome IBK H2","Period1","Lindome IBK H2 - Romelanda UF H2","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"19","Räddad straff","14:30","","Pontus Blomberg","Partille IBS H2","Period2","IBK Kungälv H2 - Partille IBS H2","Straff","Aldin Hadziselmovic","Alexander Pavlovic","Aldin Hadziselmovic, Alexander Pavlovic"
"20","Straffmål","03:30","5-6","Martin Jellvert Börjeson","IBK Kungälv H2","Period4","IBK Kungälv H2 - IBK Göteborg H2","Straff","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
