"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","15:06","1-1","Fredrik Holtz","Hagunda IF","Period1","IBK Runsten - Hagunda IF","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"2","Straffmål","13:03","4-3","Joakim Rollén","IBK Runsten","Period2","IBK Runsten - Hagunda IF","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"3","Straffmål","02:52","3-1","Anton Arvidsson","Gävle GIK","Period2","KAIS Mora IF - Gävle GIK","Straff","Johan Jäderlund","Anders Westerberg","Johan Jäderlund, Anders Westerberg"
"4","Straffmål","00:21","1-0","Viktor Palm","Onyx IBK","Period1","Onyx IBK - Strängnäs IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"5","Missad straff","02:58","","Simon Zetterling","Craftstadens IBK Oskarshamn","Period3","FBC Lerum - Craftstadens IBK Oskarshamn","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"6","Straffmål","08:22","2-5","Andreas Lennartsson","Craftstadens IBK Oskarshamn","Period3","FBC Lerum - Craftstadens IBK Oskarshamn","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"7","Straffmål","19:52","4-6","Anton Rieden","FBC Lerum","Period3","FBC Lerum - Craftstadens IBK Oskarshamn","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"8","Missad straff","16:41","","Jakob Lundmark","KAIS Mora IF","Period3","KAIS Mora IF - Djurgårdens IF IBS","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"9","Straffmål","19:59","3-1","Viktor Palm","Onyx IBK","Period1","Onyx IBK - Craftstadens IBK Oskarshamn","Straff","Peter Hagelin","Edwin Simonian","Peter Hagelin, Edwin Simonian"
"10","Räddad straff","10:13","","Patrik Gustavsson","Salems IF","Period2","Djurgårdens IF IBS - Salems IF","Straff","David Berger","Tobias Berger","David Berger, Tobias Berger"
"11","Straffmål","09:01","2-0","Oskar Löwdahl","Lillån IBK","Period2","Lillån IBK - Lagan IBK","Straff","Ki Sandholm","Petter Seger Undén","Ki Sandholm, Petter Seger Undén"
"12","Straffmål","16:30","2-5","Marcus Renberg","Wibax-Piteå IBK","Period3","RIG Umeå IBF - Wibax-Piteå IBK","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"13","Straffmål","03:54","1-0","Kim Clemedtson","Warberg IC","Period1","Visby IBK - Warberg IC","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"14","Räddad straff","11:51","","Anton Arvidsson","Gävle GIK","Period1","Gävle GIK - Hagunda IF","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"15","Missad straff","17:49","","Joakim Rollén","IBK Runsten","Period2","Hudik/Björkberg IBK - IBK Runsten","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"16","Missad straff","11:45","","Alexander Hallvars Persson","Hudik/Björkberg IBK","Period3","Hudik/Björkberg IBK - IBK Runsten","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"17","Missad straff","19:17","","Jakob Jonsson","Hudik/Björkberg IBK","Period3","Hudik/Björkberg IBK - IBK Runsten","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"18","Straffmål","17:01","2-3","Viktor Palm","Onyx IBK","Period2","Onyx IBK - Visby IBK","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"19","Missad straff","18:58","","Jacob Carleson","Malmö FBC","Period3","Strängnäs IBK - Malmö FBC","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"20","Missad straff","18:52","","William Almlöf","AIK IBF","Period3","AIK IBF - Team Thorengruppen SK","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"21","Straffmål","09:43","1-1","Marcus Renberg","Wibax-Piteå IBK","Period2","Wibax-Piteå IBK - Hudik/Björkberg IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"22","Straffmål","11:07","4-3","Alexander Hallvars Persson","Hudik/Björkberg IBK","Period3","Wibax-Piteå IBK - Hudik/Björkberg IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"23","Missad straff","05:43","","Gustav Rundgren","Malmö FBC","Period2","Malmö FBC - FBC Lerum","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"24","Straffmål","14:13","1-1","Adam Nilsson","Strängnäs IBK","Period1","Visby IBK - Strängnäs IBK","Straff","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"25","Räddad straff","18:00","","Dennis Forsgren","FBI Tullinge","Period1","Djurgårdens IF IBS - FBI Tullinge","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"26","Straffmål","14:01","1-3","Viktor Palm","Onyx IBK","Period1","Strängnäs IBK - Onyx IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"27","Straffmål","08:53","6-3","Adam Nilsson","Strängnäs IBK","Period2","Strängnäs IBK - Onyx IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"28","Straffmål","13:29","12-7","Viktor Palm","Onyx IBK","Period3","Strängnäs IBK - Onyx IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"29","Missad straff","16:24","","Elliot Gordon Engberg","Djurgårdens IF IBS","Period2","Djurgårdens IF IBS - RIG Umeå IBF","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"30","Missad straff","17:52","","Kim Clemedtson","Warberg IC","Period1","FBC Lerum - Warberg IC","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"31","Straffmål","17:12","6-3","Anton Rieden","FBC Lerum","Period2","Craftstadens IBK Oskarshamn - FBC Lerum","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"32","Missad straff","02:26","","Daniel Hernandez","Team Thorengruppen SK","Period3","Salems IF - Team Thorengruppen SK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"33","Straffmål","19:53","9-6","Patrik Gustavsson","Salems IF","Period3","Salems IF - Team Thorengruppen SK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"34","Straffmål","10:04","2-1","Wilmer Viinamäki","Visby IBK","Period3","Visby IBK - Fagerhult Habo IBK","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"35","Straffmål","05:26","0-1","Anton Arvidsson","Gävle GIK","Period2","IBK Runsten - Gävle GIK","Straff","David Berger","Tobias Berger","David Berger, Tobias Berger"
"36","Straffmål","14:58","2-6","William Park","Lagan IBK","Period3","Lagan IBK - Malmö FBC","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"37","Missad straff","13:07","","Alexander Johansson","Hagunda IF","Period3","Hagunda IF - Salems IF","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
