"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1",1,"Straffmål","16:36","1-1","Jim Johansson","Obbola IK","Period1","Gimonäs Umeå IBF - Obbola IK","Straff","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"2",2,"Straffmål","08:31","4-0","Peder Bodén","IBK Umeå Norr","Period1","IBK Umeå Norr - Spöland Vännäs IF","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"3",3,"Straffmål","18:40","6-3","Anton Sigvardsson","Spöland Vännäs IF","Period1","IBK Umeå Norr - Spöland Vännäs IF","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"4",4,"Straffmål","06:00","2-0","Jim Johansson","Obbola IK","Period1","Obbola IK - Rönnskär Railcare IF","Straff","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"5",5,"Missad straff","12:41","","Tadeas Melisek","Gimonäs Umeå IBF","Period2","Gimonäs Umeå IBF - IBF Skellefteå","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"6",6,"Straffmål","04:16","2-3","Tobias Ekstrand","IK SPIF Umeå","Period2","Örnsköldsvik IBF - IK SPIF Umeå","Straff","Simon Hedkvist","Andreas Nyman","Simon Hedkvist, Andreas Nyman"
"7",7,"Straffmål","05:05","1-1","Anton Nystedt","Rönnskär Railcare IF","Period1","IBK Umeå Norr - Rönnskär Railcare IF","Straff","Jens Marklund","Johan Rönnberg","Jens Marklund, Johan Rönnberg"
"8",8,"Räddad straff","10:02","","Isak Morén","IBF Skellefteå","Period3","Obbola IK - IBF Skellefteå","Straff","Jörgen Lundberg","Jens Marklund","Jörgen Lundberg, Jens Marklund"
"9",9,"Straffmål","13:11","1-3","Ludvig Essebro","Spöland Vännäs IF","Period2","IK SPIF Umeå - Spöland Vännäs IF","Straff","Peter Poopuu","Ulf Stödberg","Peter Poopuu, Ulf Stödberg"
"10",10,"Missad straff","05:06","","Tim Sjögren","IBF Skellefteå","Period3","IBF Skellefteå - IK SPIF Umeå","Straff","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"11",11,"Missad straff","13:26","","William Henriksson","Obbola IK","Period2","IBK Umeå Norr - Obbola IK","Straff"," "," ","  "
"12",12,"Missad straff","09:22","","Filip Nordström","IBS Dalen","Period3","Gullänget-Kroksta IBS - IBS Dalen","Straff","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"13",13,"Straffmål","15:41","7-5","Isak Morén","IBF Skellefteå","Period2","IBF Skellefteå - Team Thorengruppen Ungdom SK","Straff","Jens Marklund","Johan Rönnberg","Jens Marklund, Johan Rönnberg"
"14",14,"Straffmål","18:13","7-7","Kristoffer Moström","Team Thorengruppen Ungdom SK","Period2","IBF Skellefteå - Team Thorengruppen Ungdom SK","Straff","Jens Marklund","Johan Rönnberg","Jens Marklund, Johan Rönnberg"
"15",15,"Missad straff","10:57","","Peter Hansson","IBK Umeå Norr","Period2","Örnsköldsvik IBF - IBK Umeå Norr","Straff","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"16",16,"Straffmål","14:45","14-1","Peder Bodén","IBK Umeå Norr","Period2","IBK Umeå Norr - Gimonäs Umeå IBF","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"17",17,"Missad straff","18:13","","Albin Bredberg","IBS Dalen","Period3","Örnsköldsvik IBF - IBS Dalen","Straff","Henrik Johansson","Joakim Nydahl","Henrik Johansson, Joakim Nydahl"
"18",18,"Straffmål","14:09","16-10","Samuel Persson","Örnsköldsvik IBF","Period3","Obbola IK - Örnsköldsvik IBF","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"19",19,"Straffmål","01:08","8-13","Peder Bodén","IBK Umeå Norr","Period3","IBK Umeå Norr - IBF Skellefteå","Straff","Daniel Degerman","Jens Marklund","Daniel Degerman, Jens Marklund"
"20",20,"Missad straff","19:36","","Albin Berglund","Täfteå IK","Period3","IBS Dalen - Täfteå IK","Straff","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"21",21,"Straffmål","07:12","6-3","Anton Sigvardsson","Spöland Vännäs IF","Period3","Spöland Vännäs IF - Örnsköldsvik IBF","Straff","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"22",22,"Missad straff","00:06","","Christoffer Ström","Team Thorengruppen Ungdom SK","Period3","Gimonäs Umeå IBF - Team Thorengruppen Ungdom SK","Straff","Viktor Grahn","Peter Poopuu","Viktor Grahn, Peter Poopuu"
"23",23,"Missad straff","13:09","","Vincent Bonn","IBS Dalen","Period2","IBS Dalen - Gimonäs Umeå IBF","Straff","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"24",24,"Straffmål","13:26","5-7","Alexander Lundqvist","Clemensnäs IF","Period2","Clemensnäs IF - Rönnskär Railcare IF","Straff","Lasse Ekesryd","Micael Holmbom","Lasse Ekesryd, Micael Holmbom"
"25",25,"Straffmål","17:47","5-10","Anton Nystedt","Rönnskär Railcare IF","Period2","Clemensnäs IF - Rönnskär Railcare IF","Straff","Lasse Ekesryd","Micael Holmbom","Lasse Ekesryd, Micael Holmbom"
"26",26,"Missad straff","09:48","","Hugo Englund","IBS Dalen","Period2","Team Thorengruppen Ungdom SK - IBS Dalen","Straff","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"27",27,"Missad straff","15:58","","Ludvig Wikström","IBS Dalen","Period3","Spöland Vännäs IF - IBS Dalen","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"28",28,"Straffmål","15:56","6-8","Kalle Zetterström","IK SPIF Umeå","Period3","Gimonäs Umeå IBF - IK SPIF Umeå","Straff","Tony Cederholm","Therese Jensen","Tony Cederholm, Therese Jensen"
"29",29,"Straffmål","03:59","7-3","Felix Pihlajamaa-Jonsson","Täfteå IK","Period3","Täfteå IK - Rönnskär Railcare IF","Straff","Jonas Ahlehjelm","David Lundberg","Jonas Ahlehjelm, David Lundberg"
"30",30,"Räddad straff","12:12","","Andreas Andersson","IBS Dalen","Period3","IBS Dalen - Örnsköldsvik IBF","Straff","Mattias Karlsson","Roger Karlsson","Mattias Karlsson, Roger Karlsson"
"31",31,"Straffmål","10:27","6-3","Anton Nystedt","Rönnskär Railcare IF","Period2","Rönnskär Railcare IF - IBF Skellefteå","Straff","Jens Marklund","Melker Westerberg","Jens Marklund, Melker Westerberg"
"32",32,"Straffmål","17:53","10-4","Anton Nystedt","Rönnskär Railcare IF","Period2","Rönnskär Railcare IF - IBF Skellefteå","Straff","Jens Marklund","Melker Westerberg","Jens Marklund, Melker Westerberg"
