"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","08:57","4-4","Mika Mikkonen","Olofströms IBK","Period3","Olofströms IBK - Hovshaga AIF","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"2","Straffmål","05:14","6-4","Oscar Wedmark","Sandvikens AIK","Period3","Sandvikens AIK - Jakobsbergs IBF","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"3","Missad straff","18:28","","Joakim Strand","Varla IBK","Period1","Varla IBK - Stenungsunds IBK","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"4","Straffmål","00:35","2-3","Viktor Strömquist","IBK Uppsala Teknologer","Period2","Rotebro IS IBK - IBK Uppsala Teknologer","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"5","Straffmål","07:41","5-4","Rasmus Olsson","Herrestads AIF","Period2","Herrestads AIF - FBC Sisjön","Straff","Jesper Axelsson","Henrik Lord Johansson","Jesper Axelsson, Henrik Lord Johansson"
"6","Straffmål","17:56","1-4","Dennis Wallin","Täby FC","Period2","IK Sätra - Täby FC","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"7","Missad straff","08:45","","Martin Roos","Varla IBK","Period2","IK Zenith - Varla IBK","Straff","Peter Jaeger","Måns Löfgren","Peter Jaeger, Måns Löfgren"
"8","Straffmål","15:52","4-1","Carl Nilsson","Munka-Ljungby IBK","Period2","Munka-Ljungby IBK - Olofströms IBK","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"9","Straffmål","18:41","10-3","Rasmus Olsson","Herrestads AIF","Period2","Herrestads AIF - IBK Alingsås","Straff","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"10","Straffmål","19:27","11-7","Kevin Keijsner","IBK Alingsås","Period3","Herrestads AIF - IBK Alingsås","Straff","Pontus Ekengränd","Adam Kruse","Pontus Ekengränd, Adam Kruse"
"11","Räddad straff","19:57","","Oliver Samuelsson","FBC Kalmarsund Ungdom","Period3","FBC Kalmarsund Ungdom - Skurups IBK","Straff","Johan Holmåker","Jens Staaf","Johan Holmåker, Jens Staaf"
"12","Straffmål","06:19","2-4","Oliver Frykman","IK Sätra","Period3","Bele Barkarby IF IBF - IK Sätra","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"13","Straffmål","07:36","3-4","Helmer Hernegran","Bele Barkarby IF IBF","Period3","Bele Barkarby IF IBF - IK Sätra","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"14","Missad straff","05:33","","Anton Dahlström","Mölndals IBF","Period2","Mölndals IBF - Varla IBK","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"15","Missad straff","04:21","","Linus Almkvist","Varla IBK","Period3","Mölndals IBF - Varla IBK","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"16","Missad straff","16:59","","Johan Falkman","Järfälla IBK","Period2","Järfälla IBK - Rasbo IK","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"17","Straffmål","19:44","4-4","Linus Malmström","Åstorp/Kvidinge IBS","Period2","Olofströms IBK - Åstorp/Kvidinge IBS","Straff","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"18","Missad straff","13:43","","Viktor Ojala","Växjö IBK U","Period3","Munka-Ljungby IBK - Växjö IBK U","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"19","Missad straff","08:36","","Victor Schedin","Hässelby SK IBK","Period3","Rotebro IS IBK - Hässelby SK IBK","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"20","Straffmål","10:17","3-2","Mikael Leijon","Järfälla IBK","Period3","Järfälla IBK - IK Sätra","Straff","Johan Jäderlund","Anders Westerberg","Johan Jäderlund, Anders Westerberg"
"21","Straffmål","13:17","4-6","Marcus Mildenberger","Rotebro IS IBK","Period3","Rotebro IS IBK - Hässelby SK IBK","Straff","Anders Fredriksson","Pierre Malmgren","Anders Fredriksson, Pierre Malmgren"
"22","Räddad straff","16:44","","Oliver Frykman","IK Sätra","Period1","IK Sätra - Järfälla IBK","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"23","Straffmål","08:21","3-1","Olof Berggren","IBK Uppsala Teknologer","Period2","IBK Uppsala Teknologer - Rasbo IK","Straff","Håkan Thunman","Shari Tingman","Håkan Thunman, Shari Tingman"
"24","Missad straff","07:32","","Tobias Ronnerfors","IK Sätra","Period2","IBK Uppsala Teknologer - IK Sätra","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"25","Missad straff","18:02","","Jesper Johansson","Skoghalls IBK","Period1","Skoghalls IBK - Hagfors IBS","Straff","Marcus Karlström","Edo Sabanovic","Marcus Karlström, Edo Sabanovic"
"26","Missad straff","07:17","","Marcus Hellström","Rasbo IK","Period1","Rasbo IK - Alunda IBF","Straff","Peter Hagelin","Edwin Simonian","Peter Hagelin, Edwin Simonian"
"27","Missad straff","19:58","","Andre Lundgren","Stenungsunds IBK","Period1","Stenungsunds IBK - Pixbo Wallenstam IBF","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"28","Straffmål","12:04","4-1","Ludvig Eriksson","Stenungsunds IBK","Period2","Stenungsunds IBK - Pixbo Wallenstam IBF","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"29","Missad straff","07:20","","Oskar Weissbach","Pixbo Wallenstam IBF","Period3","Stenungsunds IBK - Pixbo Wallenstam IBF","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"30","Straffmål","07:04","0-3","Victor Schedin","Hässelby SK IBK","Period2","Hässelby SK IBK - Jakobsbergs IBF","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"31","Missad straff","11:27","","Nicklas Hedengran","Järfälla IBK","Period2","Järfälla IBK - Täby FC","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
