"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","07:32","4-4","Alexander Holmgren","IBF Dalen /Vit","Period2","Umeå City IBF - IBF Dalen /Vit","Straff","Kim Fallbjörk","Louise Ramebäck","Kim Fallbjörk, Louise Ramebäck"
"2","Straffmål","06:40","5-1","Jonas Sjöstedt","Skellefteå IBK","Period2","Spöland Vännäs IF - Skellefteå IBK","Straff","Daniel Degerman","Andreas Åström","Daniel Degerman, Andreas Åström"
"3","Missad straff","05:24","","Lukas Vallgren","Ersboda SK","Period3","Gimonäs Umeå IF/IBF - Ersboda SK","Straff","Gustav Broadhall","Daniel Johannesson","Gustav Broadhall, Daniel Johannesson"
"4","Straffmål","15:29","3-3","Hampus Nyback","Umeå City IBF","Period1","Umeå City IBF/P04Vit - Umeå City IBF","Straff","Kim Fallbjörk","David Karlsson","Kim Fallbjörk, David Karlsson"
"5","Missad straff","18:41","","Carl From","Gamla Stan IBK","Period3","Gamla Stan IBK - IBF Dalen /IBS Dalen","Straff","Mats Erelund","Thomas Jonsson","Mats Erelund, Thomas Jonsson"
"6","Straffmål","08:37","5-4","Joel Sällinen","Holmsund City IBC","Period3","Robertsfors IK - Holmsund City IBC","Straff"," "," ","  "
"7","Straffmål","14:18","4-2","Hugo Bertilsson","Vindelns IF","Period1","Gullänget-Kroksta IBS - Vindelns IF","Straff","Andreas Nyman","Fredrik Söderholm","Andreas Nyman, Fredrik Söderholm"
"8","Straffmål","14:01","2-2","Abdul Rubeya","Ersboda SK","Period1","Ersboda SK - IBF Dalen /IBS Dalen","Straff","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"9","Missad straff","17:54","","Elias Holmström","Team Thorengruppen SK","Period2","Team Thorengruppen SK - Umeå City IBF/P04Vit","Straff","Albin Berglund","Linus Berglund","Albin Berglund, Linus Berglund"
"10","Missad straff","18:37","","Ville Mikkonen","Gamla Stan IBK","Period2","Gullänget-Kroksta IBS - Gamla Stan IBK","Straff","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"11","Missad straff","07:31","","Abdul Rubeya","Ersboda SK","Period1","Ersboda SK - Team Thorengruppen SK","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"12","Missad straff","06:55","","Markus Sjöström","Ersboda SK","Period3","Ersboda SK - Team Thorengruppen SK","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"13","Straffmål","00:39","2-1","Joel Sällinen","Holmsund City IBC","Period2","Skellefteå IBK - Holmsund City IBC","Straff","Elias Bark Pettersson","Daniel Degerman","Elias Bark Pettersson, Daniel Degerman"
"14","Straffmål","12:43","2-4","Emil Lindberg","Umeå City IBF","Period3","Umeå City IBF - IBF Dalen /IBS Dalen","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"15","Missad straff","19:32","","Casper Lundqvist","Gullänget-Kroksta IBS","Period1","Gullänget-Kroksta IBS - Skellefteå IBK","Straff","Mikael Berglund","Stefan Nyberg","Mikael Berglund, Stefan Nyberg"
"16","Missad straff","12:18","","Hampus Nyback","Umeå City IBF","Period1","Umeå City IBF - Vindelns IF","Straff","David Karlsson","Roger Karlsson","David Karlsson, Roger Karlsson"
"17","Missad straff","19:56","","Mikael Johansson","Umeå City IBF","Period3","Umeå City IBF - Vindelns IF","Straff","David Karlsson","Roger Karlsson","David Karlsson, Roger Karlsson"
"18","Straffmål","19:15","17-3","Ludwig Hörlin","Gamla Stan IBK","Period3","IBF Dalen/IBS Dalen - Gamla Stan IBK","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"19","Straffmål","18:13","5-8","Theodor Jonsson","Rönnskär Railcare IF","Period3","IBF Dalen/IBS Dalen - Rönnskär Railcare IF","Straff","Joakim Broman","Andreas Åström","Joakim Broman, Andreas Åström"
"20","Missad straff","18:03","","NA","Gimonäs Umeå IF/IBF","Period3","Gimonäs Umeå IF/IBF - Umeå City IBF","Straff","Jimmy Halldin","Erik Hörnros","Jimmy Halldin, Erik Hörnros"
"21","Straffmål","13:37","2-4","Abdul Rubeya","Ersboda SK","Period2","Gullänget-Kroksta IBS - Ersboda SK","Straff","Ivica Matanovic","Göran Norberg","Ivica Matanovic, Göran Norberg"
"22","Straffmål","17:20","1-2","Philip Hörlin","Gamla Stan IBK","Period2","Gamla Stan IBK - IBF Dalen /IBS Dalen","Straff","Per Andersson","Joakim Broman","Per Andersson, Joakim Broman"
