"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1",1,"Missad straff","17:02","","Willy Sedin","Örnsköldsvik IBF /IBK","Period2","Vindelns IF - Örnsköldsvik IBF /IBK","Straff","Johnnie Lundmark","Fredrik Söderholm","Johnnie Lundmark, Fredrik Söderholm"
"2",2,"Missad straff","15:29","","Dennis Perttula","Rönnskär Railcare IF/CIF","Period2","Gimonäs Umeå IF - Rönnskär Railcare IF/CIF","Straff","Daniel Degerman","Ville Hedsberg","Daniel Degerman, Ville Hedsberg"
"3",3,"Straffmål","17:06","13-2","Lucas Blomberg","Umeå City IBF","Period3","Umeå City IBF - Gimonäs Umeå IF","Straff","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"4",4,"Missad straff","11:30","","William Bodén","IBF Dalen","Period2","IBF Dalen - Skellefteå IBK","Straff","Magnus Fessé","Daniel Johannesson","Magnus Fessé, Daniel Johannesson"
"5",5,"Missad straff","11:41","","Viktor Sjödin","Örnsköldsvik IBF /IBK","Period2","Örnsköldsvik IBF /IBK - IBF Dalen","Straff","Henrik Johansson","Peder Lövdahl","Henrik Johansson, Peder Lövdahl"
"6",6,"Missad straff","06:53","","Lukas Palm","Umeå City IBF","Period2","Gimonäs Umeå IF - Umeå City IBF","Straff","David Karlsson","Mattias Karlsson","David Karlsson, Mattias Karlsson"
"7",7,"Missad straff","07:46","","Viktor Sjödin","Örnsköldsvik IBF /IBK","Period3","Örnsköldsvik IBF /IBK - Umeå City IBF","Straff","Peder Lövdahl","Stefan Nyberg","Peder Lövdahl, Stefan Nyberg"
"8",8,"Straffmål","14:44","3-7","Tadeas Melisek","Gimonäs Umeå IF","Period3","Umeå City IBF - Gimonäs Umeå IF","Straff","Bjarne Andersson","Ulf Stödberg","Bjarne Andersson, Ulf Stödberg"
"9",9,"Räddad straff","15:21","","August Flod","IBF Dalen","Period3","IBF Dalen - Robertsfors IK","Straff","David Karlsson","Christoffer Lind","David Karlsson, Christoffer Lind"
"10",10,"Missad straff","01:20","",NA,"Skellefteå IBK","Period3","Gimonäs Umeå IF - Skellefteå IBK","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
