"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","08:00","","Lisa Carlsson","Täby FC IBK","Period1","Warberg IC - Täby FC IBK","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"2","Räddad straff","04:39","","Madeleine Grundström","Örnsköldsvik IBK","Period3","Örnsköldsvik IBK - IBK Göteborg","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"3","Straffmål","16:24","13-1","Frida Ahlstrand","IBK Göteborg","Period2","IBK Göteborg - KAIS Mora IF","Straff","Anders Asp","Per Rosén","Anders Asp, Per Rosén"
"4","Räddad straff","02:59","","Ellen Rasmussen","Malmö FBC","Period3","Malmö FBC - Pixbo Wallenstam IBK","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"5","Missad straff","15:36","","Gabriella Strandberg","Jönköpings IK","Period1","Täby FC IBK - Jönköpings IK","Straff","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"6","Straffmål","05:13","2-6","Adina Augustsson","Karlstad IBF","Period2","IBK Göteborg - Karlstad IBF","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"7","Straffmål","12:56","8-2","Ellen Rasmussen","Malmö FBC","Period2","Malmö FBC - Örnsköldsvik IBK","Straff","Thomas Bergström","Jonas Einarsson","Thomas Bergström, Jonas Einarsson"
"8","Straffmål","19:48","5-0","Moa Gustafsson","KAIS Mora IF","Period3","KAIS Mora IF - Jönköpings IK","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"9","Straffmål","11:27","0-3","Stina Ander","Endre IF","Period1","Malmö FBC - Endre IF","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"10","Missad straff","11:01","","Klara Molin","IK Sirius FBC","Period3","IK Sirius FBC - Warberg IC","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"11","Straffmål","18:07","0-2","Eliska Krupnova","Pixbo Wallenstam IBK","Period1","Örnsköldsvik IBK - Pixbo Wallenstam IBK","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"12","Straffmål","13:46","2-8","Linnéa Nilsson","Västerås Rönnby IBK","Period2","IBK Göteborg - Västerås Rönnby IBK","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"13","Missad straff","18:18","","Pernilla Hermansson","IBK Göteborg","Period3","IBK Göteborg - Västerås Rönnby IBK","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"14","Straffmål","12:33","1-2","Elina Hirvi","Örnsköldsvik IBK","Period1","Endre IF - Örnsköldsvik IBK","Straff","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"15","Straffmål","15:37","8-2","Moa Gustafsson","KAIS Mora IF","Period3","Malmö FBC - KAIS Mora IF","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"16","Räddad straff","04:07","","Lisa Carlsson","Täby FC IBK","Period2","KAIS Mora IF - Täby FC IBK","Straff","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"17","Missad straff","19:53","","My Kippilä","KAIS Mora IF","Period3","KAIS Mora IF - Täby FC IBK","Straff","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"18","Straffmål","00:35","2-8","Madeleine Grundström","Örnsköldsvik IBK","Period3","Örnsköldsvik IBK - Endre IF","Straff","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"19","Missad straff","17:03","","Linnéa Nilsson","Västerås Rönnby IBK","Period3","Västerås Rönnby IBK - Karlstad IBF","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"20","Räddad straff","13:17","","Klara Loneberg","Pixbo Wallenstam IBK","Period3","Pixbo Wallenstam IBK - IBK Dalen","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"21","Räddad straff","17:56","","Henny Hägglund","IBK Dalen","Period2","IBK Dalen - Pixbo Wallenstam IBK","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"22","Räddad straff","15:37","","Linnéa Nilsson","Västerås Rönnby IBK","Period1","Täby FC IBK - Västerås Rönnby IBK","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"23","Straffmål","11:01","0-1","Ellen Rasmussen","Malmö FBC","Period1","Karlstad IBF - Malmö FBC","Straff","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"24","Missad straff","16:42","","Kajsa Reingård","Jönköpings IK","Period2","IBK Dalen - Jönköpings IK","Straff","Anders Asp","Per Rosén","Anders Asp, Per Rosén"
"25","Räddad straff","15:02","","Johanna Claesson","IK Sirius FBC","Period3","Pixbo Wallenstam IBK - IK Sirius FBC","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"26","Straffmål","01:05","1-0","Frida Ahlstrand","IBK Göteborg","Period1","IBK Göteborg - IBK Dalen","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"27","Straffmål","10:10","5-6","Izabell Rydell","Västerås Rönnby IBK","Period3","Malmö FBC - Västerås Rönnby IBK","Straff","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"28","Räddad straff","15:37","","Ellen Rasmussen","Malmö FBC","Period3","Malmö FBC - Västerås Rönnby IBK","Straff","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"29","Straffmål","10:04","5-3","Anna Wijk","KAIS Mora IF","Period3","KAIS Mora IF - Västerås Rönnby IBK","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"30","Missad straff","12:54","","Julia Croneld","Täby FC IBK","Period3","Örnsköldsvik IBK - Täby FC IBK","Straff","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"31","Räddad straff","05:05","","Sofie Karlsson","Warberg IC","Period3","Warberg IC - IBK Göteborg","Straff","Anders Fredriksson","Pierre Malmgren","Anders Fredriksson, Pierre Malmgren"
"32","Missad straff","02:20","","Frida Eriksson","IBK Dalen","Period3","Täby FC IBK - IBK Dalen","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"33","Räddad straff","19:25","","Veera Kauppi","IKSU","Period3","KAIS Mora IF - IKSU","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"34","Räddad straff","06:09","","My Kippilä","KAIS Mora IF","Period1","KAIS Mora IF - IK Sirius FBC","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"35","Straffmål","01:53","3-3","Veera Kauppi","IKSU","Period2","IKSU - Västerås Rönnby IBK","Straff","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
