"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","09:08","","Matej Jendrisak","Linköping IBK","Period1","Linköping IBK - IBF Falun","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"2","Straffmål","10:11","2-1","Adam Berglund","Team Thorengruppen SK","Period1","IBF Falun - Team Thorengruppen SK","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"3","Räddad straff","15:10","","Alexander Galante Carlström","IBF Falun","Period1","IBF Falun - Team Thorengruppen SK","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"4","Straffmål","19:58","6-3","Andreas Stefansson","AIK IBF","Period3","IBF Falun - AIK IBF","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"5","Straffmål","11:33","7-3","Filip Eriksson","IK Sirius IBK","Period2","AIK IBF - IK Sirius IBK","Straff","Mattias Alm-Nielsen","Klas Sjölin","Mattias Alm-Nielsen, Klas Sjölin"
"6","Straffmål","16:17","4-3","Thomas Holmgren","IBF Falun","Period3","IBF Falun - Team Thorengruppen SK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"7","Missad straff","09:50","","Matej Jendrisak","Linköping IBK","Period3","Jönköpings IK - Linköping IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"8","Missad straff","08:11","","Michael Jansson","Storvreta IBK","Period1","FC Helsingborg - Storvreta IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"9","Räddad straff","18:18","","Henrik Stenberg","Storvreta IBK","Period3","FC Helsingborg - Storvreta IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"10","Straffmål","02:04","1-2","Max Wahlgren","Pixbo Wallenstam IBK","Period4","FC Helsingborg - Pixbo Wallenstam IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"11","Straffmål","02:31","1-0","Albin Sjögren","Storvreta IBK","Period1","Storvreta IBK - FC Helsingborg","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"12","Räddad straff","14:00","","Mika Kohonen","FC Helsingborg","Period2","Storvreta IBK - FC Helsingborg","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"13","Räddad straff","18:28","","Alexander Galante Carlström","IBF Falun","Period1","Team Thorengruppen SK - IBF Falun","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"14","Straffmål","00:08","4-5","Rasmus Enström","IBF Falun","Period3","Team Thorengruppen SK - IBF Falun","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"15","Straffmål","17:54","5-3","Simon Palmén","IBF Örebro","Period3","Mullsjö AIS - IBF Örebro","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"16","Missad straff","07:09","","David Gillek","Mullsjö AIS","Period3","Linköping IBK - Mullsjö AIS","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"17","Straffmål","14:06","3-5","Max Wahlgren","Pixbo Wallenstam IBK","Period2","AIK IBF - Pixbo Wallenstam IBK","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"18","Missad straff","13:55","","Emil Nilsen","Jönköpings IK","Period1","Jönköpings IK - Linköping IBK","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"19","Missad straff","00:12","","Eric Björk","Linköping IBK","Period3","Linköping IBK - Jönköpings IK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
