"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","14:52","","Sara Mörk","IBF Hedemora","Period1","Otillåten trängning",2,"IBF Hedemora - IBF Falun Ungdom","Erik Lindberg","Sean Norouz","Erik Lindberg, Sean Norouz"
"2","Utvisning","12:39","","Tova Hahn","IBF Falun Ungdom","Period3","Matchstraff 1",20,"IBF Hedemora - IBF Falun Ungdom","Erik Lindberg","Sean Norouz","Erik Lindberg, Sean Norouz"
"3","Utvisning","19:52","","Matilda Parkkila","Alunda IBF","Period1","Slag",2,"IK Sirius IBK - Alunda IBF","Oliver Halvarsson","Bo Pettersson Loklint","Oliver Halvarsson, Bo Pettersson Loklint"
"4","Utvisning","00:23","","Paulin Andersson","Alunda IBF","Period3","Slag",2,"IK Sirius IBK - Alunda IBF","Oliver Halvarsson","Bo Pettersson Loklint","Oliver Halvarsson, Bo Pettersson Loklint"
"5","Utvisning","03:51","","Fanny Schenning","Storvreta IBK","Period3","Slag",2,"Storvreta IBK - IBF Borlänge","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"6","Utvisning","13:02","","Amanda Gezelius","Storvreta IBK","Period3","Liggande spel",2,"Storvreta IBK - IBF Borlänge","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"7","Utvisning","02:51","","Elin Hultmark","KAIS Mora UIF","Period1","Otillåten trängning",2,"KAIS Mora UIF - Alunda IBF","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"8","Utvisning","15:27","","Emilia Eriksson","Alunda IBF","Period1","Slag",2,"KAIS Mora UIF - Alunda IBF","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"9","Utvisning","16:23","","Sofia Eriksson","Alunda IBF","Period1","Obstruktion",2,"KAIS Mora UIF - Alunda IBF","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"10","Utvisning","04:58","","Matilda Parkkila","Alunda IBF","Period2","Slag",2,"KAIS Mora UIF - Alunda IBF","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"11","Utvisning","18:38","","Frida Noaksson","Alunda IBF","Period3","Hårt spel 2",2,"KAIS Mora UIF - Alunda IBF","Viktor Snöborgs","Joacim Svensson","Viktor Snöborgs, Joacim Svensson"
"12","Utvisning","06:21","","Lisa Gyllenram","Gävle GIK","Period3","Slag",2,"Gävle GIK - Hagunda IF","Erik Lindberg","Marcus Svedinger","Erik Lindberg, Marcus Svedinger"
"13","Utvisning","13:02","","Maja Lindberg","Hagunda IF","Period3","Hårt spel 2",2,"Gävle GIK - Hagunda IF","Erik Lindberg","Marcus Svedinger","Erik Lindberg, Marcus Svedinger"
"14","Utvisning","20:00","","Paulina Löf","Hagunda IF","Period3","Hårt spel 2",2,"Gävle GIK - Hagunda IF","Erik Lindberg","Marcus Svedinger","Erik Lindberg, Marcus Svedinger"
"15","Utvisning","06:32","","Michelle Sederström","IBF Falun Ungdom","Period2","Slag",2,"IBF Falun Ungdom - IBF Borlänge","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"16","Utvisning","00:00","","Lisa Svantesson","IBF Falun Ungdom","Period3","Fördröjande av spelet",2,"IBF Falun Ungdom - IBF Borlänge","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"17","Utvisning","02:16","","Ameli Norström","IBF Falun Ungdom","Period3","Upprepade förseelser",2,"IBF Falun Ungdom - IBF Borlänge","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"18","Utvisning","17:40","","Hanna Töpfer","IBF Borlänge","Period3","Otillåten trängning",2,"IBF Falun Ungdom - IBF Borlänge","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"19","Utvisning","19:16","","Othilia Forsberg","IBF Falun Ungdom","Period3","Upprepade förseelser",2,"IBF Falun Ungdom - IBF Borlänge","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"20","Utvisning","03:39","","Felicia Eklund","Stenhagens KK","Period1","Hands",2,"KAIS Mora UIF - Stenhagens KK","Arvid Englund","Marko Spasic","Arvid Englund, Marko Spasic"
"21","Utvisning","17:26","","Jennifer Lundblad","Stenhagens KK","Period1","Låsning av klubba",2,"KAIS Mora UIF - Stenhagens KK","Arvid Englund","Marko Spasic","Arvid Englund, Marko Spasic"
"22","Utvisning","05:55","","Johanna Lind","IK Sirius IBK","Period1","Felaktigt avstånd",2,"Gävle GIK - IK Sirius IBK","Håkan Thunman","Magnus Undén","Håkan Thunman, Magnus Undén"
"23","Utvisning","07:05","","Johanna Milestad","Gävle GIK","Period3","Hårt spel 2",2,"Gävle GIK - IK Sirius IBK","Håkan Thunman","Magnus Undén","Håkan Thunman, Magnus Undén"
"24","Utvisning","09:16","","Erika Andersson","IBF Borlänge","Period2","Obstruktion",2,"IBF Borlänge - IK Sirius IBK","Fredrik Andersson","Michelle Unger","Fredrik Andersson, Michelle Unger"
"25","Utvisning","16:07","","Jonna Westerholm","IK Sirius IBK","Period2","Slag",2,"IBF Borlänge - IK Sirius IBK","Fredrik Andersson","Michelle Unger","Fredrik Andersson, Michelle Unger"
"26","Utvisning","15:05","","Rafaella Sandström","IK Sirius IBK","Period3","Slag",2,"IBF Borlänge - IK Sirius IBK","Fredrik Andersson","Michelle Unger","Fredrik Andersson, Michelle Unger"
"27","Utvisning","06:27","","Felicia Eklund","Stenhagens KK","Period3","Hårt spel 2",2,"IBF Falun Ungdom - Stenhagens KK","Arvid Englund","Alexander Sommensjö","Arvid Englund, Alexander Sommensjö"
