"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","15:23","","Malin Botsjö","Tvååkers IBK","Period1","Obstruktion",2,"Tvååkers IBK - Halmstads IBK","Simon Brekell","Marcus Yngvesson","Simon Brekell, Marcus Yngvesson"
"2","Utvisning","14:39","","Linnea Brynell","Halmstads IBK","Period2","Upprepade förseelser",2,"Tvååkers IBK - Halmstads IBK","Simon Brekell","Marcus Yngvesson","Simon Brekell, Marcus Yngvesson"
"3","Utvisning","09:08","","Evelina Henriksson","Tvååkers IBK","Period3","Lyftning av klubba",2,"Tvååkers IBK - Halmstads IBK","Simon Brekell","Marcus Yngvesson","Simon Brekell, Marcus Yngvesson"
"4","Utvisning","13:57","","Klara Faxén","Varla IBK Dam","Period3","Liggande spel",2,"Varla IBK Dam - Halmstads IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"5","Utvisning","19:43","","Amanda Mohlin","Halmstads IBK","Period3","Slag",2,"Varla IBK Dam - Halmstads IBK","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"6","Utvisning","09:47","","Emma Fasth","Tvååkers IBK","Period1","Felaktigt byte",2,"Tvååkers IBK - Varla IBK Dam","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"7","Utvisning","14:31","","Filippa Dahlström","Varla IBK Dam","Period1","Upprepade förseelser",2,"Tvååkers IBK - Varla IBK Dam","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"8","Utvisning","19:58","","Anna Samuelsson","Tvååkers IBK","Period3","Slag",2,"Tvååkers IBK - Varla IBK Dam","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"9","Utvisning","03:08","","Jessica Larsson","Falkenbergs IBK","Period3","Otillåten trängning",2,"Falkenbergs IBK - Warberg IBF Dam Div1","Mats Andersson","Magnus Gullquist","Mats Andersson, Magnus Gullquist"
"10","Utvisning","16:23","","Thea Löfborg","Warberg IBF Dam Div1","Period3","Slag",2,"Falkenbergs IBK - Warberg IBF Dam Div1","Mats Andersson","Magnus Gullquist","Mats Andersson, Magnus Gullquist"
"11","Utvisning","19:25","","Sofia Bjurström","Halmstads IBK","Period1","Slag",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"12","Utvisning","19:25","","Tilde Hermansson","Onsala IBK Dam 1","Period1","Fasthållning",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"13","Utvisning","09:41","","Linnéa Åkerblom","Onsala IBK Dam 1","Period2","Upprepade förseelser",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"14","Utvisning","15:13","","Therese Högberg","Onsala IBK Dam 1","Period2","Slag",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"15","Utvisning","18:18","","Felicia Beckius","Halmstads IBK","Period2","Låsning av klubba",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"16","Utvisning","11:32","","Linnea Jönsson","Onsala IBK Dam 1","Period3","Slag",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Marcus Yngvesson","Mats Andersson, Marcus Yngvesson"
"17","Utvisning","19:03","","Sara Strångert","Varla IBK Dam","Period3","Slag",2,"Varla IBK Dam - Warberg IBF Dam Div1","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"18","Utvisning","13:49","","Felicia Alfredsson","Varla IBK Dam","Period1","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Jacob Johansson","Oscar Strömberg","Jacob Johansson, Oscar Strömberg"
"19","Utvisning","09:55","","Tea Ekman","Falkenbergs IBK","Period2","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Jacob Johansson","Oscar Strömberg","Jacob Johansson, Oscar Strömberg"
"20","Utvisning","15:02","","Josefine Leander","Falkenbergs IBK","Period3","Hårt spel 2",2,"Falkenbergs IBK - Varla IBK Dam","Jacob Johansson","Oscar Strömberg","Jacob Johansson, Oscar Strömberg"
"21","Utvisning","17:08","","Therese Högberg","Onsala IBK Dam 1","Period1","Obstruktion",2,"Onsala IBK Dam 1 - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"22","Utvisning","09:26","","Anna Thyrman","Onsala IBK Dam 1","Period2","Låsning av klubba",2,"Onsala IBK Dam 1 - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"23","Utvisning","18:09","","Malin Botsjö","Tvååkers IBK","Period2","Hårt spel 2",2,"Onsala IBK Dam 1 - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"24","Utvisning","06:38","","Tilde Hermansson","Onsala IBK Dam 1","Period3","Hårt spel 2",2,"Onsala IBK Dam 1 - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"25","Utvisning","18:07","","Evelina Henriksson","Tvååkers IBK","Period3","Obstruktion",2,"Onsala IBK Dam 1 - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"26","Utvisning","02:43","","Michaela Sandberg","Halmstads IBK","Period1","Slag",2,"Halmstads IBK - Warberg IBF Dam Div1","Eino Kozan","Daniel Stoltz","Eino Kozan, Daniel Stoltz"
"27","Utvisning","04:47","","Emma Eriksson","Warberg IBF Dam Div1","Period2","Hårt spel 2",2,"Halmstads IBK - Warberg IBF Dam Div1","Eino Kozan","Daniel Stoltz","Eino Kozan, Daniel Stoltz"
"28","Utvisning","06:14","","Evelina Jönsson","Falkenbergs IBK","Period1","Upprepade förseelser",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"29","Utvisning","18:29","","Tilda Lövberg","Varla IBK Dam","Period1","Hårt spel 2",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"30","Utvisning","06:38","","Matilda Thulin","Varla IBK Dam","Period2","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"31","Utvisning","01:00","","Sanna Eineskog","Varla IBK Dam","Period3","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"32","Utvisning","10:54","","Emilia Renken","Varla IBK Dam","Period3","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"33","Utvisning","13:45","","","","Period3","Ej avlägsnat avslagna klubbdelar",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"34","Utvisning","17:54","","Maja Åkesson","Falkenbergs IBK","Period3","Slag",2,"Falkenbergs IBK - Varla IBK Dam","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"35","Utvisning","06:01","","Molly Croona","Onsala IBK Dam 1","Period1","Felaktigt avstånd",2,"Onsala IBK Dam 1 - Tvååkers IBK","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"36","Utvisning","15:43","","Amanda Yngve","Onsala IBK Dam 1","Period2","Hög klubba",2,"Onsala IBK Dam 1 - Tvååkers IBK","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"37","Utvisning","16:56","","Evelina Henriksson","Tvååkers IBK","Period3","Otillåten trängning",2,"Onsala IBK Dam 1 - Tvååkers IBK","Mats Andersson","Christoffer Söderström","Mats Andersson, Christoffer Söderström"
"38","Utvisning","07:06","","Anna Thyrman","Onsala IBK Dam 1","Period1","Låsning av klubba",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Jonas Löfwander","Mats Andersson, Jonas Löfwander"
"39","Utvisning","09:47","","Tilde Hermansson","Onsala IBK Dam 1","Period2","Fördröjande av spelet",2,"Onsala IBK Dam 1 - Halmstads IBK","Mats Andersson","Jonas Löfwander","Mats Andersson, Jonas Löfwander"
"40","Utvisning","13:08","","Elin Averius","Onsala IBK Dam 1","Period1","Hög klubba",2,"Warberg IBF Dam Div1 - Onsala IBK Dam 1","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"41","Utvisning","09:16","","Emma Petersson","Onsala IBK Dam 1","Period3","Slag",2,"Warberg IBF Dam Div1 - Onsala IBK Dam 1","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"42","Utvisning","19:39","","Emma Petersson","Onsala IBK Dam 1","Period3","Slag",2,"Warberg IBF Dam Div1 - Onsala IBK Dam 1","Jonas Söderberg","Christoffer Söderström","Jonas Söderberg, Christoffer Söderström"
"43","Utvisning","10:01","","Tea Ekman","Falkenbergs IBK","Period1","Slag",2,"Falkenbergs IBK - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"44","Utvisning","17:14","","Sofia Eliasson","Tvååkers IBK","Period2","Hårt spel 2",2,"Falkenbergs IBK - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"45","Utvisning","04:25","","Anna Samuelsson","Tvååkers IBK","Period3","Slag",2,"Falkenbergs IBK - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"46","Utvisning","10:13","","Hanna Ericsson","Tvååkers IBK","Period3","Upprepade förseelser",2,"Falkenbergs IBK - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"47","Utvisning","13:23","","Isabella Ekvall","Tvååkers IBK","Period3","Slag",2,"Falkenbergs IBK - Tvååkers IBK","Nico Berg","Daniel Hultberg","Nico Berg, Daniel Hultberg"
"48","Utvisning","03:55","","Linnéa Åkerblom","Onsala IBK Dam 1","Period2","Obstruktion",2,"Varla IBK Dam - Onsala IBK Dam 1","Nico Berg","Stefan Olsson","Nico Berg, Stefan Olsson"
"49","Utvisning","04:43","","Therese Högberg","Onsala IBK Dam 1","Period3","Låsning av klubba",2,"Varla IBK Dam - Onsala IBK Dam 1","Nico Berg","Stefan Olsson","Nico Berg, Stefan Olsson"
"50","Utvisning","10:47","","Amanda Mohlin","Halmstads IBK","Period1","Hårt spel 2",2,"Tvååkers IBK - Halmstads IBK","Tobias Jernsand","Björn Österberg","Tobias Jernsand, Björn Österberg"
"51","Utvisning","14:55","","Susanne Svensson","Tvååkers IBK","Period2","Upprepade förseelser",2,"Tvååkers IBK - Halmstads IBK","Tobias Jernsand","Björn Österberg","Tobias Jernsand, Björn Österberg"
"52","Utvisning","19:30","","Susanne Svensson","Tvååkers IBK","Period2","Slag",2,"Tvååkers IBK - Halmstads IBK","Tobias Jernsand","Björn Österberg","Tobias Jernsand, Björn Österberg"
"53","Utvisning","11:54","","Mona Glittervik","Tvååkers IBK","Period3","Otillåten trängning",2,"Tvååkers IBK - Halmstads IBK","Tobias Jernsand","Björn Österberg","Tobias Jernsand, Björn Österberg"
"54","Utvisning","15:00","","Karin Johansson","Falkenbergs IBK","Period3","Slag",2,"Falkenbergs IBK - Halmstads IBK","Simon Brekell","Eino Kozan","Simon Brekell, Eino Kozan"
"55","Utvisning","19:44","","Tea Ekman","Falkenbergs IBK","Period3","Hårt spel 2",2,"Falkenbergs IBK - Halmstads IBK","Simon Brekell","Eino Kozan","Simon Brekell, Eino Kozan"
"56","Utvisning","19:59","","Amanda Mohlin","Halmstads IBK","Period3","Hårt spel 2",2,"Falkenbergs IBK - Halmstads IBK","Simon Brekell","Eino Kozan","Simon Brekell, Eino Kozan"
"57","Utvisning","06:00","","Susanne Svensson","Tvååkers IBK","Period2","Slag",2,"Tvååkers IBK - Warberg IBF Dam Div1","Tobias Anderberg","Jacob Johansson","Tobias Anderberg, Jacob Johansson"
"58","Utvisning","05:33","","Hanna Ericsson","Tvååkers IBK","Period3","Hårt spel 2",2,"Tvååkers IBK - Warberg IBF Dam Div1","Tobias Anderberg","Jacob Johansson","Tobias Anderberg, Jacob Johansson"
"59","Utvisning","16:14","","Linnéa Åkerblom","Onsala IBK Dam 1","Period1","Fasthållning",2,"Falkenbergs IBK - Onsala IBK Dam 1","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"60","Utvisning","12:24","","Cassandra Josefsson","Falkenbergs IBK","Period2","Hårt spel 2",2,"Falkenbergs IBK - Onsala IBK Dam 1","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"61","Utvisning","12:24","","Linnea Jönsson","Onsala IBK Dam 1","Period2","Hårt spel 2",2,"Falkenbergs IBK - Onsala IBK Dam 1","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"62","Utvisning","18:26","","Olivia Wallin","Falkenbergs IBK","Period2","Upprepade förseelser",2,"Falkenbergs IBK - Onsala IBK Dam 1","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
"63","Utvisning","01:20","","Cassandra Josefsson","Falkenbergs IBK","Period3","Lyftning av klubba",2,"Falkenbergs IBK - Onsala IBK Dam 1","Henrik Andersson","Mats Andersson","Henrik Andersson, Mats Andersson"
