"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:24","","Nora Vähäjärvi","Haparanda AIK D1","Period1","Slag",2,"Haparanda AIK D1 - Sunderby SK D1","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"2","Utvisning","12:17","","Sandra Isaksson","Sunderby SK D1","Period1","För många spelare på plan",2,"Haparanda AIK D1 - Sunderby SK D1","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"3","Utvisning","15:09","","Elin Innala","Haparanda AIK D1","Period1","Slag",2,"Haparanda AIK D1 - Sunderby SK D1","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"4","Utvisning","01:18","","Jasmin Lind","Haparanda AIK D1","Period2","Slag",2,"Haparanda AIK D1 - IBK Boden D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
"5","Utvisning","09:12","","Kajsa Erixon","IBK Boden D1","Period2","Hårt spel 2",2,"Haparanda AIK D1 - IBK Boden D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
"6","Utvisning","10:11","","Saga Keskinen","Haparanda AIK D1","Period2","Upprepade förseelser",2,"Haparanda AIK D1 - IBK Boden D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
"7","Utvisning","05:01","","Jasmin Lind","Haparanda AIK D1","Period3","Slag",2,"Haparanda AIK D1 - IBK Boden D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
"8","Utvisning","09:57","","Julia Groth","IBK Boden D1","Period3","Otillåten trängning",2,"Haparanda AIK D1 - IBK Boden D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
"9","Utvisning","16:06","","Emma Westerlund","IBF Argentum 91 / K4 IF D1","Period1","Slag",2,"IBF Argentum 91 / K4 IF D1 - IBK Boden D1","Jörgen Eriksson","Christoffer Flemström","Jörgen Eriksson, Christoffer Flemström"
"10","Utvisning","18:30","","Julia Groth","IBK Boden D1","Period2","Felaktigt avstånd",2,"IBF Argentum 91 / K4 IF D1 - IBK Boden D1","Jörgen Eriksson","Christoffer Flemström","Jörgen Eriksson, Christoffer Flemström"
"11","Utvisning","08:34","","Annie Fredriksson","Team Kalix IBK D1","Period3","Hands",2,"Sunderby SK D1 - Team Kalix IBK D1","Juha Pasma","Pasi Ronkainen","Juha Pasma, Pasi Ronkainen"
"12","Utvisning","17:36","","Linnea Lundbäck","Team Kalix IBK D1","Period1","Lyftning av klubba",2,"Team Kalix IBK D1 - Notvikens IK Vets D1","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
"13","Utvisning","04:18","","Julia Brandt","Team Kalix IBK D1","Period2","Slag",2,"Team Kalix IBK D1 - Notvikens IK Vets D1","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
"14","Utvisning","03:09","","Maja Utterström","Team Kalix IBK D1","Period3","Slag",2,"Team Kalix IBK D1 - Notvikens IK Vets D1","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
"15","Utvisning","10:50","","Fanny Nordberg","Sunderby SK D1","Period2","Obstruktion",2,"Öjebyns IBF D1 - Sunderby SK D1","Petter Lindkvist","Alexander Pettersson","Petter Lindkvist, Alexander Pettersson"
