"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","03:48","","Johanna Ejdelind","IBK Landskrona","Period1","Liggande spel",2,"IBK Landskrona - FC Helsingborg","Malena Björnlund","Mats Ekblad-Thun","Malena Björnlund, Mats Ekblad-Thun"
"2","Utvisning","10:00","","Frida Björk","FC Helsingborg","Period3","Låsning av klubba",2,"IBK Landskrona - FC Helsingborg","Malena Björnlund","Mats Ekblad-Thun","Malena Björnlund, Mats Ekblad-Thun"
"3","Utvisning","12:10","","Julia Sfaiter","FC Helsingborg","Period3","Otillåten trängning",2,"IBK Landskrona - FC Helsingborg","Malena Björnlund","Mats Ekblad-Thun","Malena Björnlund, Mats Ekblad-Thun"
"4","Utvisning","05:50","","Lina Ottosson","FBC Engelholm D1","Period3","Slag",2,"IK Stanstad - FBC Engelholm D1","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"5","Utvisning","02:06","","Johanna Falkenback","FBC Engelholm D1","Period4","Hög klubba",2,"IK Stanstad - FBC Engelholm D1","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"6","Utvisning","02:25","","Emma Johansson","IK Stanstad","Period2","Slag",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"7","Utvisning","05:51","","Anna Pettersson","Häljarps SK","Period2","Otillåten trängning",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"8","Utvisning","14:57","","Merita Ibraimi","Häljarps SK","Period2","Otillåten trängning",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"9","Utvisning","00:59","","Sara Gemback","IK Stanstad","Period3","Slag",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"10","Utvisning","04:16","","Elin Nyborg","Häljarps SK","Period3","Slag",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"11","Utvisning","12:36","","Jenny Friberg","Häljarps SK","Period3","Upprepade förseelser",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"12","Utvisning","15:53","","Merita Ibraimi","Häljarps SK","Period3","Protest mot domslut",2,"IK Stanstad - Häljarps SK","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"13","Utvisning","09:47","","Isabella Hellsviken","Munka-Ljungby IBK","Period2","Upprepade förseelser",2,"Höllvikens IBF - Munka-Ljungby IBK","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"14","Utvisning","13:19","","Sofia Otterström","Höllvikens IBF","Period2","Slag",2,"Höllvikens IBF - Munka-Ljungby IBK","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"15","Utvisning","05:39","","Sofia Otterström","Höllvikens IBF","Period3","Slag",2,"Höllvikens IBF - Munka-Ljungby IBK","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"16","Utvisning","07:27","","Carolina Karlsson","Munka-Ljungby IBK","Period3","Slag",2,"Höllvikens IBF - Munka-Ljungby IBK","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"17","Utvisning","18:06","","Sofia Otterström","Höllvikens IBF","Period3","Obstruktion",2,"Höllvikens IBF - Munka-Ljungby IBK","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"18","Utvisning","03:11","","Nelly Werstroh","Malmö FBC Ungdom","Period2","Slag",2,"IBK Landskrona - Malmö FBC Ungdom","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"19","Utvisning","06:28","","Nea Filling","Malmö FBC Ungdom","Period3","Slag",2,"IBK Landskrona - Malmö FBC Ungdom","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"20","Utvisning","14:42","","Malin Svahn","IBK Landskrona","Period3","Slag",2,"IBK Landskrona - Malmö FBC Ungdom","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"21","Utvisning","16:55","","Linnéa Selmerhagen","IBK Landskrona","Period3","Slag",2,"IBK Landskrona - Malmö FBC Ungdom","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"22","Utvisning","17:41","","Elin Johansson","Malmö FBC Ungdom","Period3","Slag",2,"IBK Landskrona - Malmö FBC Ungdom","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"23","Utvisning","10:42","","Frida Söderberg","Willands IBK","Period1","Otillåten trängning",2,"Willands IBK - FBC Engelholm D1","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"24","Utvisning","06:27","","Isabella Gustafsson","Willands IBK","Period3","Otillåten trängning",2,"Willands IBK - FBC Engelholm D1","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"25","Utvisning","10:20","","Sandra Lilja","FBC Engelholm D1","Period3","Låsning av klubba",2,"Willands IBK - FBC Engelholm D1","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"26","Utvisning","16:49","","Linn Ahlin","Willands IBK","Period3","Upprepade förseelser",2,"Willands IBK - FBC Engelholm D1","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"27","Utvisning","00:00","","Emma Sundman","IBK Lund D1","Period3","Upprepade förseelser",2,"FC Helsingborg - IBK Lund D1","Björn Grahn","Jürgen Neuenhofen","Björn Grahn, Jürgen Neuenhofen"
"28","Utvisning","03:07","","Merita Ibraimi","Häljarps SK","Period1","För många spelare på plan",2,"Willands IBK - Häljarps SK","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"29","Utvisning","00:18","","Therese Andersson","Häljarps SK","Period2","Hands",2,"Willands IBK - Häljarps SK","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"30","Utvisning","05:01","","Isabella Gustafsson","Willands IBK","Period2","Hands",2,"Willands IBK - Häljarps SK","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"31","Utvisning","02:22","","Sara Berglind","IK Stanstad","Period1","Fasthållning",2,"IK Stanstad - Munka-Ljungby IBK","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"32","Utvisning","10:40","","Lisa Gottmo","IK Stanstad","Period1","Slag",2,"IK Stanstad - Munka-Ljungby IBK","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"33","Utvisning","16:23","","Emilia Cleasby","Munka-Ljungby IBK","Period1","Slag",2,"IK Stanstad - Munka-Ljungby IBK","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"34","Utvisning","04:53","","Emilia Cleasby","Munka-Ljungby IBK","Period2","Slag",2,"IK Stanstad - Munka-Ljungby IBK","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"35","Utvisning","19:27","","Rebecca Mårtensson","Höllvikens IBF","Period1","Protest mot domslut",2,"Höllvikens IBF - FBC Engelholm D1","Malena Björnlund","Ronja Ottosson","Malena Björnlund, Ronja Ottosson"
