"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","15:04","","Alma Ohlsson","Värnamo IK","Period3","Hög klubba",2,"Vetlanda IBF - Värnamo IK","Senad Hamula","Gustav Svensson","Senad Hamula, Gustav Svensson"
"2","Utvisning","07:20","","Frida Thalin","Sävsjö IBK","Period1","Låsning av klubba",2,"Sävsjö IBK - NA","Johan Ferm","Magnus Widlund","Johan Ferm, Magnus Widlund"
"3","Utvisning","04:20","","Elvira Du Rietz","Sävsjö IBK","Period2","Felaktigt avstånd",2,"Sävsjö IBK - NA","Johan Ferm","Magnus Widlund","Johan Ferm, Magnus Widlund"
"4","Utvisning","13:56","","Rebecca Gustafsson","Sävsjö IBK","Period3","Otillåten trängning",2,"Sävsjö IBK - NA","Johan Ferm","Magnus Widlund","Johan Ferm, Magnus Widlund"
"5","Utvisning","16:10","","Therese Johansson","CL98IC","Period1","Slag",2,"Olofströms IBK - CL98IC","Marcus Ingolf","Edo Sabanovic","Marcus Ingolf, Edo Sabanovic"
"6","Utvisning","08:38","","Michaela Mrsa","Olofströms IBK","Period3","Otillåten trängning",2,"Olofströms IBK - CL98IC","Marcus Ingolf","Edo Sabanovic","Marcus Ingolf, Edo Sabanovic"
"7","Utvisning","16:03","","Hanna Bergqvist","Gransholms IF","Period1","Upprepade förseelser",2,"Gransholms IF - Östra SK","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"8","Utvisning","03:21","","Elin Hallberg","Östra SK","Period3","Hårt spel 2",2,"Gransholms IF - Östra SK","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"9","Utvisning","05:13","","Linn Forsmark","Gransholms IF","Period3","Upprepade förseelser",2,"Gransholms IF - Östra SK","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"10","Utvisning","17:40","","Lovisa Lim","Gransholms IF","Period3","Otillåten trängning",2,"Gransholms IF - Östra SK","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"11","Utvisning","08:08","","Stina Nilsson","FBC Kalmarsund Ungdom","Period3","Hårt spel 2",2,"IBF Tranås - FBC Kalmarsund Ungdom","Fredrik Fältskog","Johan Nero Wikstrand","Fredrik Fältskog, Johan Nero Wikstrand"
"12","Utvisning","04:08","","Tove Söderberg","Värnamo IK","Period1","Liggande spel",2,"Ryds SK - Värnamo IK","Marcus Ingolf","Leif Johansson","Marcus Ingolf, Leif Johansson"
"13","Utvisning","06:17","","Tove Söderberg","Värnamo IK","Period2","Obstruktion",2,"Ryds SK - Värnamo IK","Marcus Ingolf","Leif Johansson","Marcus Ingolf, Leif Johansson"
