"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","10:12","","Alexandra Näsman","Olofströms IBK","Period2","Hårt spel 2",2,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"2","Utvisning","14:00","","Ellen Franzen","Olofströms IBK","Period2","Otillåten trängning",2,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"3","Utvisning","14:19","","Maja Nilsson","Olofströms IBK","Period2","Obstruktion",2,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"4","Utvisning","17:59","","Felicia Åkerlind","IBF Tranås","Period2","Felaktigt avstånd",2,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"5","Utvisning","01:35","","Nellie Ståhl","IBF Tranås","Period3","Hårt spel 2",2,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"6","Utvisning","18:55","","Ellen Franzen","Olofströms IBK","Period3","Hakning",5,"IBF Tranås - Olofströms IBK","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"7","Utvisning","12:54","","Alva Hulten","CL98IC","Period3","Otillåten trängning",2,"FBC Kalmarsund Ungdom - CL98IC","Jonas Hellberg","Anders Stenberg","Jonas Hellberg, Anders Stenberg"
"8","Utvisning","16:05","","Amanda Nilsson","FBC Kalmarsund Ungdom","Period3","Otillåten trängning",2,"FBC Kalmarsund Ungdom - CL98IC","Jonas Hellberg","Anders Stenberg","Jonas Hellberg, Anders Stenberg"
"9","Utvisning","11:13","","Linnea Johansson","Gransholms IF","Period1","Otillåten trängning",2,"Sävsjö IBK - Gransholms IF","Anders Everstrand","Johan Nero Wikstrand","Anders Everstrand, Johan Nero Wikstrand"
"10","Utvisning","04:27","","Agnes Inemo ","Gransholms IF","Period2","Slag",2,"Sävsjö IBK - Gransholms IF","Anders Everstrand","Johan Nero Wikstrand","Anders Everstrand, Johan Nero Wikstrand"
"11","Utvisning","10:01","","Fredrika Konu","Gransholms IF","Period2","Fördröjande av spelet",2,"Sävsjö IBK - Gransholms IF","Anders Everstrand","Johan Nero Wikstrand","Anders Everstrand, Johan Nero Wikstrand"
"12","Utvisning","17:20","","Linnea Johansson","Gransholms IF","Period3","Låsning av klubba",2,"Sävsjö IBK - Gransholms IF","Anders Everstrand","Johan Nero Wikstrand","Anders Everstrand, Johan Nero Wikstrand"
"13","Utvisning","17:21","","Emilia Lindgren","Växjö IBK","Period2","Otillåten trängning",2,"Östra SK - Växjö IBK","Fredrik Billemark","Jonas Ottosson","Fredrik Billemark, Jonas Ottosson"
"14","Utvisning","12:40","","Linnea Linderholm","Östra SK","Period3","Låsning av klubba",2,"Östra SK - Växjö IBK","Fredrik Billemark","Jonas Ottosson","Fredrik Billemark, Jonas Ottosson"
"15","Utvisning","09:51","","Emmy Hansdotter","Vetlanda IBF","Period1","Otillåten trängning",2,"Vetlanda IBF - Craftstadens IBK Oskarshamn","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"16","Utvisning","05:48","","Thilda Similä","Craftstadens IBK Oskarshamn","Period2","Otillåten trängning",2,"Vetlanda IBF - Craftstadens IBK Oskarshamn","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"17","Utvisning","19:34","","Rebecca Gustafsson","Sävsjö IBK","Period3","Otillåten trängning",2,"Craftstadens IBK Oskarshamn - Sävsjö IBK","Jonas Hellberg","Anders Stenberg","Jonas Hellberg, Anders Stenberg"
"18","Utvisning","13:33","","Ella Johnsson","Olofströms IBK","Period1","Slag",2,"Olofströms IBK - Värnamo IK","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"19","Utvisning","12:34","","Sanna Moberg","Ryds SK","Period2","Slag",2,"Ryds SK - Växjö IBK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"20","Utvisning","01:11","","Isabelle Andersson","Ryds SK","Period3","Slag",2,"Ryds SK - Växjö IBK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"21","Utvisning","03:16","","Anna Hageskog","Växjö IBK","Period3","Felaktigt avstånd",2,"Ryds SK - Växjö IBK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"22","Utvisning","08:12","","Hanna Svensson","Ryds SK","Period3","Slag",2,"Ryds SK - Växjö IBK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"23","Utvisning","13:39","","Isabelle Andersson","Ryds SK","Period3","Slag",2,"Ryds SK - Växjö IBK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"24","Utvisning","14:31","","Johanna Ljungqvist","Vetlanda IBF","Period2","Upprepade förseelser",2,"Vetlanda IBF - CL98IC","Niklas Rosberg","Rasmus Wirstam","Niklas Rosberg, Rasmus Wirstam"
"25","Utvisning","15:32","","Ebba Andersson","Gransholms IF","Period1","Otillåten trängning",2,"Gransholms IF - FBC Kalmarsund Ungdom","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"26","Utvisning","10:38","","Agnes Inemo ","Gransholms IF","Period2","Otillåten trängning",2,"Gransholms IF - FBC Kalmarsund Ungdom","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"27","Utvisning","18:11","","Fredrika Konu","Gransholms IF","Period2","Hårt spel 2",2,"Gransholms IF - FBC Kalmarsund Ungdom","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"28","Utvisning","06:54","","Emelie Randau","Östra SK","Period2","Liggande spel",2,"Östra SK - IBF Tranås","Anders A Nilsson","Nicklas Bard","Anders A Nilsson, Nicklas Bard"
"29","Utvisning","04:58","","Johanna Ljungqvist","Vetlanda IBF","Period2","Otillåten trängning",2,"Sävsjö IBK - Vetlanda IBF","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"30","Utvisning","05:23","","Emmy Hansdotter","Vetlanda IBF","Period2","Fördröjande av spelet",2,"Sävsjö IBK - Vetlanda IBF","Casper Dahlberg","Niklas Dahlberg","Casper Dahlberg, Niklas Dahlberg"
"31","Utvisning","11:40","","Tove Söderberg","Värnamo IK","Period2","Låsning av klubba",2,"Vetlanda IBF - Värnamo IK","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"32","Utvisning","15:01","","Maja Johansson","Vetlanda IBF","Period2","Upprepade förseelser",2,"Vetlanda IBF - Värnamo IK","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"33","Utvisning","07:34","","Emmy Hansdotter","Vetlanda IBF","Period3","Hårt spel 2",2,"Vetlanda IBF - Värnamo IK","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"34","Utvisning","07:34","","Amalia Rommeskog","Värnamo IK","Period3","Hårt spel 2",2,"Vetlanda IBF - Värnamo IK","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"35","Utvisning","04:49","","Emmy Jämtin","FBC Kalmarsund Ungdom","Period2","Liggande spel",2,"FBC Kalmarsund Ungdom - Craftstadens IBK Oskarshamn","Leffe Henryson","Rolf Vatvedt","Leffe Henryson, Rolf Vatvedt"
"36","Utvisning","13:51","","Emmy Sjögren","FBC Kalmarsund Ungdom","Period2","Låsning av klubba",2,"FBC Kalmarsund Ungdom - Craftstadens IBK Oskarshamn","Leffe Henryson","Rolf Vatvedt","Leffe Henryson, Rolf Vatvedt"
"37","Utvisning","07:53","","Linnea Johansson","Gransholms IF","Period1","Låsning av klubba",2,"Gransholms IF - CL98IC","Muhidin Bahtanovic","Mikael Fransson","Muhidin Bahtanovic, Mikael Fransson"
"38","Utvisning","16:25","","Alva Hulten","CL98IC","Period2","Slag",2,"Gransholms IF - CL98IC","Muhidin Bahtanovic","Mikael Fransson","Muhidin Bahtanovic, Mikael Fransson"
"39","Utvisning","19:14","","Agnes Inemo ","Gransholms IF","Period2","Hårt spel 5",5,"Gransholms IF - CL98IC","Muhidin Bahtanovic","Mikael Fransson","Muhidin Bahtanovic, Mikael Fransson"
"40","Utvisning","17:52","","Hampus Larsson","Gransholms IF","Period3","Matchstraff 2",20,"Gransholms IF - CL98IC","Muhidin Bahtanovic","Mikael Fransson","Muhidin Bahtanovic, Mikael Fransson"
"41","Utvisning","07:54","","Ellen Henriksson","Ryds SK","Period2","Otillåten trängning",2,"Ryds SK - IBF Tranås","Roger Gardell","Dragan Zaharijev","Roger Gardell, Dragan Zaharijev"
"42","Utvisning","04:42","","Anna Hageskog","Växjö IBK","Period2","Otillåten trängning",2,"Växjö IBK - Värnamo IK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"43","Utvisning","16:25","","Emma Mårtensson","Växjö IBK","Period2","Hårt spel 5",5,"Växjö IBK - Värnamo IK","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"44","Utvisning","09:16","","Julia Andersson","FBC Kalmarsund Ungdom","Period1","Otillåten trängning",2,"FBC Kalmarsund Ungdom - Värnamo IK","Fredrik Billemark","Senad Hamula","Fredrik Billemark, Senad Hamula"
"45","Utvisning","19:54","","Isabelle Johansson","FBC Kalmarsund Ungdom","Period1","Upprepade förseelser",2,"FBC Kalmarsund Ungdom - Värnamo IK","Fredrik Billemark","Senad Hamula","Fredrik Billemark, Senad Hamula"
"46","Utvisning","14:16","","Amalia Rommeskog","Värnamo IK","Period2","Upprepade förseelser",2,"FBC Kalmarsund Ungdom - Värnamo IK","Fredrik Billemark","Senad Hamula","Fredrik Billemark, Senad Hamula"
"47","Utvisning","16:40","","Alva Hulten","CL98IC","Period1","Felaktigt avstånd",2,"Craftstadens IBK Oskarshamn - CL98IC","Per Elofsson","Mathias Linde","Per Elofsson, Mathias Linde"
"48","Utvisning","10:56","","Ida Hallgren","CL98IC","Period2","Låsning av klubba",2,"Craftstadens IBK Oskarshamn - CL98IC","Per Elofsson","Mathias Linde","Per Elofsson, Mathias Linde"
