"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","13:28","","Nelly Thomasdotter","Nykvarns IBF Ungdom","Period1","Hårt spel 2",2,"Nykvarns IBF Ungdom - Boxholms IBK","Bemir Brkic","Daniel Pettersson","Bemir Brkic, Daniel Pettersson"
"2","Utvisning","09:21","","Moa Dahl","Boxholms IBK","Period2","Hårt spel 2",2,"Nykvarns IBF Ungdom - Boxholms IBK","Bemir Brkic","Daniel Pettersson","Bemir Brkic, Daniel Pettersson"
"3","Utvisning","15:18","","Moa Ylvén","Boxholms IBK","Period2","Fördröjande av spelet",2,"Nykvarns IBF Ungdom - Boxholms IBK","Bemir Brkic","Daniel Pettersson","Bemir Brkic, Daniel Pettersson"
"4","Utvisning","14:23","","Kim Moberg Orrebring","Solfjäderstaden IBK/Bergs IK","Period2","Hög klubba",2,"Solfjäderstaden IBK/Bergs IK - Telge SIBK U-lag","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"5","Utvisning","03:33","","Peter Nilsson","Telge SIBK U-lag","Period3","Osportsligt uppträdande",12,"Solfjäderstaden IBK/Bergs IK - Telge SIBK U-lag","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"6","Utvisning","08:04","","Ebba Stolt","Solfjäderstaden IBK/Bergs IK","Period3","Upprepade förseelser",2,"Solfjäderstaden IBK/Bergs IK - Telge SIBK U-lag","Denis Ogresevic","Elvis Ogresevic","Denis Ogresevic, Elvis Ogresevic"
"7","Utvisning","06:30","","Jennifer Garcia Hägg","Telge SIBK U-lag","Period1","Låsning av klubba",2,"IBK Åtvidaberg/IBF Linköping U-lag - Telge SIBK U-lag","Ellen Brunnström","Rågher Godin","Ellen Brunnström, Rågher Godin"
"8","Utvisning","20:00","","Elin Palm/Blomqvist","Telge SIBK U-lag","Period1","Låsning av klubba",2,"IBK Åtvidaberg/IBF Linköping U-lag - Telge SIBK U-lag","Ellen Brunnström","Rågher Godin","Ellen Brunnström, Rågher Godin"
"9","Utvisning","12:16","","Madeleine Rooslien","Telge SIBK U-lag","Period2","Hårt spel 2",2,"IBK Åtvidaberg/IBF Linköping U-lag - Telge SIBK U-lag","Ellen Brunnström","Rågher Godin","Ellen Brunnström, Rågher Godin"
"10","Utvisning","17:25","","Agnes Lundberg","Telge SIBK U-lag","Period3","Slag",2,"IBK Åtvidaberg/IBF Linköping U-lag - Telge SIBK U-lag","Ellen Brunnström","Rågher Godin","Ellen Brunnström, Rågher Godin"
"11","Utvisning","01:40","","Elin Wemmer","Telge SIBK U-lag","Period4","Låsning av klubba",2,"IBK Åtvidaberg/IBF Linköping U-lag - Telge SIBK U-lag","Ellen Brunnström","Rågher Godin","Ellen Brunnström, Rågher Godin"
"12","Utvisning","01:11","","Mathilda Andersson","FBC Nyköping","Period2","Obstruktion",2,"FBC Nyköping - Nykvarns IBF Ungdom","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
