"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","19:00","","Veronica Danielsson","Sköndals IK","Period1","Hårt spel 2",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"2","Utvisning","06:56","","Sandra Olsson","Sköndals IK","Period2","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"3","Utvisning","08:38","","Lisa Johnsson","Råsunda IS","Period2","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"4","Utvisning","15:35","","Therese Hiertner","Råsunda IS","Period2","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"5","Utvisning","18:19","","Sandra Olsson","Sköndals IK","Period2","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"6","Utvisning","03:23","","Malin Eriksson","Råsunda IS","Period3","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"7","Utvisning","15:17","","Elin Olofsson","Sköndals IK","Period3","Hands",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"8","Utvisning","16:51","","Caroline Sjöqvist","Sköndals IK","Period3","Slag",2,"Råsunda IS - Sköndals IK","Stefano Bianque","Alexander Hellström","Stefano Bianque, Alexander Hellström"
"9","Utvisning","08:27","","Josefine Liiv","Tyresö Trollbäcken IBK","Period2","Upprepade förseelser",2,"Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"10","Utvisning","10:10","","Ellinor Karlqvist","Hässelby SK IBK (A)","Period2","Otillåten trängning",2,"Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"11","Utvisning","15:51","","Ebba Svanholm","Tyresö Trollbäcken IBK","Period2","Otillåten trängning",2,"Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"12","Utvisning","17:32","","Bruno Lundberg","Tyresö Trollbäcken IBK","Period2","Protest mot domslut",2,"Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"13","Utvisning","17:32","","Bruno Lundberg","Tyresö Trollbäcken IBK","Period2","Osportsligt uppträdande",12,"Tyresö Trollbäcken IBK - Hässelby SK IBK (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"14","Utvisning","18:02","","Michelle Nilsén","Rotebro IS IBK (A)","Period1","Otillåten trängning",2,"Rotebro IS IBK (A) - Sköndals IK","Christian Högberg","Daniel Kölborn","Christian Högberg, Daniel Kölborn"
"15","Utvisning","08:17","","Nora Tidlund","Rotebro IS IBK (A)","Period3","Farligt spel",5,"Rotebro IS IBK (A) - Sköndals IK","Christian Högberg","Daniel Kölborn","Christian Högberg, Daniel Kölborn"
"16","Utvisning","18:38","","Caroline Sjöqvist","Sköndals IK","Period3","Slag",2,"Rotebro IS IBK (A) - Sköndals IK","Christian Högberg","Daniel Kölborn","Christian Högberg, Daniel Kölborn"
"17","Utvisning","12:21","","Ellinor Karlqvist","Hässelby SK IBK (A)","Period1","Slag",2,"Hässelby SK IBK (A) - AIK IBF","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
"18","Utvisning","00:15","","Elisabeth Qvarfort ","Hässelby SK IBK (A)","Period3","Slag",2,"Hässelby SK IBK (A) - AIK IBF","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
"19","Utvisning","14:57","","Ellinor Karlqvist","Hässelby SK IBK (A)","Period3","Slag",2,"Hässelby SK IBK (A) - AIK IBF","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
"20","Utvisning","15:55","","Rebecca De Land","Vendelsö IK (A)","Period1","Protest mot domslut",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"21","Utvisning","18:31","","Jasmine Axelsson","Täby FC (A)","Period1","Hårt spel 2",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"22","Utvisning","02:52","","Malin Andersson","Vendelsö IK (A)","Period2","Slag",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"23","Utvisning","12:14","","Tilda Määttälä","Täby FC (A)","Period2","Slag",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"24","Utvisning","16:49","","Stina Westerlund","Vendelsö IK (A)","Period2","Obstruktion",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"25","Utvisning","19:44","","Fanny Virgin","Täby FC (A)","Period2","Protest mot domslut",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"26","Utvisning","15:44","","Emilia Jernberg","Täby FC (A)","Period3","Ej angiven förseelse",2,"Vendelsö IK (A) - Täby FC (A)","Elin Holm","Emilia Tuomela","Elin Holm, Emilia Tuomela"
"27","Utvisning","06:19","","Kajsa Sundquist","Rotebro IS IBK (A)","Period1","Felaktigt avstånd",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"28","Utvisning","04:14","","Sanna Rådström","Råsunda IS","Period2","Otillåten trängning",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"29","Utvisning","14:49","","Johanna Käck","Rotebro IS IBK (A)","Period2","Slag",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"30","Utvisning","06:46","","Danijela Rundqvist","Råsunda IS","Period3","Slag",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"31","Utvisning","16:05","","Johanna Käck","Rotebro IS IBK (A)","Period3","Slag",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"32","Utvisning","20:00","","Vilma Carlsson","Rotebro IS IBK (A)","Period3","Hands",2,"Råsunda IS - Rotebro IS IBK (A)","Stefano Bianque","Daniel Kölborn","Stefano Bianque, Daniel Kölborn"
"33","Utvisning","18:42","","Nathalie Andersson","Älvsjö AIK IBF (B)","Period3","Slag",2,"Älvsjö AIK IBF (B) - AIK IBF","Johannes Ekenberg","Linus Warrenstein","Johannes Ekenberg, Linus Warrenstein"
"34","Utvisning","00:19","","Maia Kollberg","Täby FC (A)","Period3","Otillåten trängning",2,"Tyresö Trollbäcken IBK - Täby FC (A)","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
"35","Utvisning","05:55","","Emma Rimbe","Täby FC (A)","Period3","Slag",2,"Tyresö Trollbäcken IBK - Täby FC (A)","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
"36","Utvisning","11:28","","Alma Pethrus","Täby FC (A)","Period3","Slag",2,"Tyresö Trollbäcken IBK - Täby FC (A)","Alexander Mattsson","Andreas Mattsson","Alexander Mattsson, Andreas Mattsson"
